rn	WebDivLabel
Br0942_aaaghlna-1	neurons_ambiguous_1
Br0942_aaaheagj-1	astrocytes_5
Br0942_aaajfmef-1	endothelial_mural_16
Br0942_aaalkobf-1	endothelial_mural_16
Br0942_aaaoadbb-1	endothelial_mural_16
Br0942_aaaolaff-1	inhibitory_4
Br0942_aaapbchk-1	endothelial_mural_16
Br0942_aabdkkko-1	endothelial_mural_16
Br0942_aabeddhk-1	endothelial_mural_16
Br0942_aabmhogi-1	inhibitory_4
Br0942_aacadhhc-1	endothelial_mural_16
Br0942_aacdgpno-1	inhibitory_4
Br0942_aaclbalj-1	inhibitory_25
Br0942_aacldhjc-1	inhibitory_4
Br0942_aadagija-1	endothelial_mural_16
Br0942_aadckmig-1	endothelial_mural_16
Br0942_aadfbkca-1	endothelial_mural_16
Br0942_aadkdgjg-1	OPCs_27
Br0942_aadkghki-1	neurons_ambiguous_2
Br0942_aadoccmj-1	endothelial_mural_16
Br0942_aadpkglh-1	oligodendrocytes_28
Br0942_aadpnhhe-1	astrocytes_5
Br0942_aaeaccge-1	endothelial_mural_16
Br0942_aaebbngo-1	astrocytes_5
Br0942_aaebpiek-1	astrocytes_5
Br0942_aaedbami-1	endothelial_mural_16
Br0942_aaedenid-1	astrocytes_5
Br0942_aaeijjka-1	astrocytes_5
Br0942_aaejbjdl-1	endothelial_mural_16
Br0942_aaejehpp-1	endothelial_mural_16
Br0942_aaekidcm-1	astrocytes_5
Br0942_aaendngj-1	astrocytes_5
Br0942_aaengdhn-1	endothelial_mural_16
Br0942_aaeolobf-1	inhibitory_25
Br0942_aaepanie-1	astrocytes_5
Br0942_aafddojo-1	astrocytes_5
Br0942_aafdfpkh-1	inhibitory_4
Br0942_aafgjbhk-1	astrocytes_5
Br0942_aafhaelk-1	endothelial_mural_16
Br0942_aafkiehb-1	oligodendrocytes_28
Br0942_aafljbcf-1	astrocytes_5
Br0942_aafmhfgd-1	astrocytes_5
Br0942_aafpacek-1	neurons_ambiguous_2
Br0942_aafpkmgo-1	neurons_ambiguous_2
Br0942_aagabgmg-1	inhibitory_4
Br0942_aagbjblh-1	neurons_ambiguous_2
Br0942_aaghckmd-1	oligodendrocytes_28
Br0942_aagkamjp-1	macrophages_microglia_15
Br0942_aaglnikm-1	inhibitory_4
Br0942_aagmdopd-1	endothelial_mural_16
Br0942_aagncfnn-1	endothelial_mural_16
Br0942_aagoneeh-1	endothelial_mural_16
Br0942_aagpfnde-1	endothelial_mural_16
Br0942_aahfblhf-1	macrophages_microglia_15
Br0942_aahgkbno-1	neurons_ambiguous_2
Br0942_aahhlald-1	neurons_ambiguous_2
Br0942_aahkehje-1	neurons_ambiguous_3
Br0942_aahmdhcf-1	inhibitory_25
Br0942_aaicagjd-1	neurons_ambiguous_2
Br0942_aaiecfjk-1	neurons_ambiguous_2
Br0942_aaieipah-1	astrocytes_5
Br0942_aaigjkmg-1	inhibitory_4
Br0942_aaihddmj-1	astrocytes_5
Br0942_aaihfdij-1	endothelial_mural_16
Br0942_aaiighmb-1	endothelial_mural_16
Br0942_aaijpade-1	astrocytes_5
Br0942_aailnhmm-1	endothelial_mural_16
Br0942_aaimmajn-1	OPCs_27
Br0942_aaimockm-1	oligodendrocytes_10
