rn,clusid
Br0942_aaaeanlo-1,X1
Br0942_aaaeiamh-1,X1
Br0942_aaafomlc-1,X2
Br0942_aaakcioo-1,X2
Br0942_aaalpdfg-1,X3
Br0942_aaaockdi-1,X4
Br0942_aaaolcmn-1,X3
Br0942_aaapahoo-1,X1
Br0942_aabaneke-1,X2
Br0942_aabdfhdg-1,X5
Br0942_aabfipca-1,X4
Br0942_aablceee-1,X6
Br0942_aacbbfjc-1,X7
Br0942_aacbimod-1,X3
Br0942_aacbkcke-1,X3
Br0942_aacdndok-1,X6
Br0942_aacfmepf-1,X3
Br0942_aacimnlh-1,X5
Br0942_aackednl-1,DISCARD
Br0942_aackfgdg-1,X1
Br0942_aackgbhn-1,X3
Br0942_aacldppb-1,X10
Br0942_aacnepcn-1,X3
Br0942_aadaecbk-1,X11
Br0942_aadgpmno-1,X11
Br0942_aadhmgao-1,X3
Br0942_aadjnefb-1,X11
Br0942_aadkcnbk-1,X10
Br0942_aaecgemh-1,X1
Br0942_aaeeamje-1,X3
Br0942_aaegmifb-1,X10
Br0942_aaejbccp-1,X10
Br0942_aaennjfl-1,X1
Br0942_aaepgmmg-1,X6
Br0942_aafogcii-1,X3
Br0942_aafpaole-1,X3
Br0942_aagenghi-1,X3
Br0942_aagfgjie-1,X11
Br0942_aagiakca-1,X12
Br0942_aagiogia-1,X3
Br0942_aagkeifg-1,X3
Br0942_aagkhfmn-1,X1
Br0942_aagokojo-1,X10
Br0942_aagomehj-1,X10
Br0942_aahbnnlm-1,X1
Br0942_aahcaaba-1,X10
Br0942_aahcfifp-1,X3
Br0942_aahcjchi-1,X1
Br0942_aahdcalc-1,X2
Br0942_aahepkfe-1,X2
Br0942_aahlngad-1,X13
Br0942_aahmhdco-1,X2
Br0942_aahomohe-1,X12
Br0942_aahpdcgk-1,X1
Br0942_aaibdohp-1,X1
Br0942_aaicpmbl-1,X7
Br0942_aaiebhgf-1,X12
Br0942_aaigeppm-1,X7
Br0942_aaikchii-1,X1
Br0942_aaiomfbl-1,X7
Br0942_aajaoamd-1,X11
Br0942_aajfjjaf-1,X1
Br0942_aajgflja-1,X11
Br0942_aajngnnj-1,X4
Br0942_aajniaec-1,X3
Br0942_aajoklgc-1,X10
Br0942_aakaodjo-1,X3
Br0942_aakbdmgf-1,X5
Br0942_aakffhoh-1,X3
Br0942_aakijdph-1,X10
Br0942_aakkbmhc-1,X1
Br0942_aakmfifb-1,X5
Br0942_aakodilg-1,X1
Br0942_aakpmoko-1,X1
Br0942_aalaellm-1,X11
Br0942_aaldfdkg-1,X11
Br0942_aalhndcn-1,X10
Br0942_aalibbng-1,X1
Br0942_aalmdbgk-1,X11
Br0942_aalniknk-1,X7
Br0942_aaloigie-1,X11
Br0942_aamefpnc-1,X11
Br0942_aamfpmgj-1,X11
Br0942_aamlmbfm-1,X1
Br0942_aamneone-1,X1
Br0942_aamonkif-1,X3
Br0942_aampnbfi-1,X14
Br0942_aanbjpbp-1,X11
Br0942_aanbnoci-1,X1
Br0942_aanelakl-1,X11
Br0942_aanfgock-1,X10
Br0942_aanggjli-1,X3
Br0942_aangholn-1,DISCARD
Br0942_aanigioh-1,X3
Br0942_aanilcmo-1,X3
Br0942_aanpajia-1,X3
Br0942_aaocnipe-1,X3
Br0942_aaogeple-1,X3
Br0942_aaoiknnf-1,X3
Br0942_aaoipjdj-1,X10
Br0942_aaomdecm-1,X5
Br0942_aaongglf-1,X10
Br0942_aapaaahk-1,X1
Br0942_aapccjkk-1,X1
