k1	k2	looseInDom	strictInDom
0.05	0.04	0.658083235107444	0.755283648498332
0.05	0.12	0.654819113246895	0.754542083796811
0.05	0.2	0.650648290869526	0.75120504263997
0.05	0.28	0.633420981049959	0.736002966258806
0.05	0.36	0.609846767612658	0.715980719317761
0.05	0.44	0.573850757094932	0.682424916573971
0.05	0.52	0.53477196482002	0.638857990359659
0.05	0.6	0.491975700426149	0.591212458286986
0.05	0.68	0.431952126212712	0.527252502780868
0.05	0.76	0.369480460603863	0.455320726733408
0.1	0.04	0.579381630247529	0.67760474601409
0.1	0.12	0.57611750838698	0.675194660734149
0.1	0.2	0.567141173270469	0.668335187245087
0.1	0.28	0.55072989391604	0.652576937337783
0.1	0.36	0.520808776861003	0.624212087504635
0.1	0.44	0.487079517635325	0.589358546533185
0.1	0.52	0.44972345634237	0.548943270300334
0.1	0.6	0.406201831535044	0.502410085279941
0.1	0.68	0.350711759905703	0.436596218020022
0.1	0.76	0.286970713573307	0.362068965517241
0.15	0.04	0.46758545652371	0.563032999629218
0.15	0.12	0.460875872699248	0.556544308490916
0.15	0.2	0.448544745670505	0.545977011494253
0.15	0.28	0.423157131199565	0.517797552836485
0.15	0.36	0.393870704506302	0.486281053021876
0.15	0.44	0.357874693988576	0.445865776789025
0.15	0.52	0.318161211351891	0.401742677048572
0.15	0.6	0.272735515459244	0.345569150908417
0.15	0.68	0.213074621452534	0.269558769002595
0.15	0.76	0.157947230029921	0.199851687059696
0.2	0.04	0.344364856287968	0.424175009269559
0.2	0.12	0.339559343548826	0.419725621060438
0.2	0.2	0.324961465228035	0.404523544679273
0.2	0.28	0.302293952307553	0.379866518353726
0.2	0.36	0.272372835252516	0.344642195031517
0.2	0.44	0.239368936440294	0.304226918798665
0.2	0.52	0.203100915767522	0.258620689655172
0.2	0.6	0.160576661528697	0.201520207638116
0.2	0.68	0.118052407289872	0.149239896180942
0.25	0.04	0.245625170006347	0.312384130515388
0.25	0.12	0.238371565871793	0.304412309974045
0.25	0.2	0.223592347447638	0.2862439747868
0.25	0.28	0.195756641581286	0.24990730441231
0.25	0.36	0.173361138815849	0.221171672228402
0.25	0.44	0.143621361864176	0.182610307749351
0.3	0.04	0.148245534499955	0.193362995921394
0.3	0.12	0.1409919303654	0.184093437152392
0.3	0.2	0.127210082509747	0.167037449017427
