sample_id	variable	N	total_cells	prop_of_sample_cells
Br0942	outlier_negProbe	334	21622	0.0154472296734807
Br0942	outlier_negCodeword	19	21622	0.000878734622144112
Br0942	outlier_depr	404	21622	0.0186846730182222
Br0942	outlier_unassigned	27	21622	0.00124872814725742
Br0942	outlier_any_neg	643	21622	0.0297382295809823
Br0946	outlier_negProbe	192	16102	0.0119239845981866
Br0946	outlier_negCodeword	9	16102	0.000558936778039995
Br0946	outlier_depr	279	16102	0.0173270401192398
Br0946	outlier_unassigned	22	16102	0.00136628990187554
Br0946	outlier_any_neg	450	16102	0.0279468389019998
Br1039	outlier_negProbe	213	14565	0.0146240988671473
Br1039	outlier_negCodeword	10	14565	0.000686577411603158
Br1039	outlier_depr	189	14565	0.0129763130792997
Br1039	outlier_unassigned	9	14565	0.000617919670442842
Br1039	outlier_any_neg	382	14565	0.0262272571232406
Br1039L	outlier_negProbe	146	14122	0.0103384789689846
Br1039L	outlier_negCodeword	8	14122	0.000566491998300524
Br1039L	outlier_depr	220	14122	0.0155785299532644
Br1039L	outlier_unassigned	4	14122	0.000283245999150262
Br1039L	outlier_any_neg	434	14122	0.0307321909078034
Br1105	outlier_negProbe	244	14052	0.0173640762880729
Br1105	outlier_negCodeword	4	14052	0.000284656988329064
Br1105	outlier_depr	208	14052	0.0148021633931113
Br1105	outlier_unassigned	7	14052	0.000498149729575861
Br1105	outlier_any_neg	435	14052	0.0309564474807857
Br1285	outlier_negProbe	121	13365	0.00905349794238683
Br1285	outlier_negCodeword	8	13365	0.000598578376356154
Br1285	outlier_depr	221	13365	0.0165357276468388
Br1285	outlier_unassigned	5	13365	0.000374111485222596
Br1285	outlier_any_neg	336	13365	0.0251402918069585
Br1556	outlier_negProbe	722	25347	0.0284846332899357
Br1556	outlier_negCodeword	22	25347	0.000867952814928788
Br1556	outlier_depr	505	25347	0.0199234623426836
Br1556	outlier_unassigned	33	25347	0.00130192922239318
Br1556	outlier_any_neg	981	25347	0.0387028050656883
Br1691L	outlier_negProbe	177	14381	0.012307906265211
Br1691L	outlier_negCodeword	2	14381	0.000139072387177526
Br1691L	outlier_depr	244	14381	0.0169668312356582
Br1691L	outlier_unassigned	11	14381	0.000764898129476392
Br1691L	outlier_any_neg	447	14381	0.031082678534177
Br1706	outlier_negProbe	169	12691	0.0133165235206052
Br1706	outlier_negCodeword	5	12691	0.000393979985816721
Br1706	outlier_depr	241	12691	0.0189898353163659
Br1706	outlier_unassigned	10	12691	0.000787959971633441
Br1706	outlier_any_neg	358	12691	0.0282089669844772
Br1884	outlier_negProbe	301	14165	0.0212495587716202
Br1884	outlier_negCodeword	13	14165	0.00091775503000353
Br1884	outlier_depr	288	14165	0.0203318037416167
Br1884	outlier_unassigned	12	14165	0.000847158489234028
Br1884	outlier_any_neg	467	14165	0.0329685845393576
Br2305	outlier_negProbe	259	17280	0.0149884259259259
Br2305	outlier_negCodeword	8	17280	0.000462962962962963
Br2305	outlier_depr	204	17280	0.0118055555555556
Br2305	outlier_unassigned	15	17280	0.000868055555555556
Br2305	outlier_any_neg	462	17280	0.0267361111111111
Br2305L	outlier_negProbe	181	11734	0.0154252599284132
Br2305L	outlier_negCodeword	7	11734	0.000596557013806034
Br2305L	outlier_depr	185	11734	0.015766149650588
Br2305L	outlier_unassigned	8	11734	0.000681779444349753
Br2305L	outlier_any_neg	357	11734	0.0304244077041077
Br2582	outlier_negProbe	240	12157	0.0197417125935675
Br2582	outlier_negCodeword	8	12157	0.00065805708645225
Br2582	outlier_depr	263	12157	0.0216336267171177
Br2582	outlier_unassigned	19	12157	0.00156288558032409
Br2582	outlier_any_neg	369	12157	0.03035288311261
Br3974	outlier_negProbe	389	20314	0.0191493551245447
Br3974	outlier_negCodeword	8	20314	0.00039381707197007
Br3974	outlier_depr	322	20314	0.0158511371467953
Br3974	outlier_unassigned	13	20314	0.000639952741951364
Br3974	outlier_any_neg	699	20314	0.0344097666633849
Br5367	outlier_negProbe	119	13595	0.00875321809488783
Br5367	outlier_negCodeword	1	13595	7.35564545788893e-05
Br5367	outlier_depr	228	13595	0.0167708716439868
Br5367	outlier_unassigned	10	13595	0.000735564545788893
Br5367	outlier_any_neg	331	13595	0.0243471864656124
Br5368	outlier_negProbe	305	13485	0.0226177233963663
Br5368	outlier_negCodeword	7	13485	0.000519095291064145
Br5368	outlier_depr	270	13485	0.0200222469410456
Br5368	outlier_unassigned	9	13485	0.000667408231368187
Br5368	outlier_any_neg	456	13485	0.0338153503893215
Br5415	outlier_negProbe	313	23793	0.013155129659984
Br5415	outlier_negCodeword	22	23793	0.00092464170134073
Br5415	outlier_depr	496	23793	0.0208464674484092
Br5415	outlier_unassigned	22	23793	0.00092464170134073
Br5415	outlier_any_neg	719	23793	0.0302189719665448
Br5426	outlier_negProbe	181	13858	0.013061047770241
Br5426	outlier_negCodeword	10	13858	0.000721604849184587
Br5426	outlier_depr	231	13858	0.0166690720161639
Br5426	outlier_unassigned	19	13858	0.00137104921345071
Br5426	outlier_any_neg	411	13858	0.0296579593014865
Br5460	outlier_negProbe	137	15478	0.00885127277426024
Br5460	outlier_negCodeword	8	15478	0.000516862643752423
Br5460	outlier_depr	299	15478	0.0193177413102468
Br5460	outlier_unassigned	14	15478	0.00090450962656674
Br5460	outlier_any_neg	412	15478	0.0266184261532498
Br5529	outlier_negProbe	282	13355	0.021115687008611
Br5529	outlier_negCodeword	1	13355	7.48783227255709e-05
Br5529	outlier_depr	168	13355	0.0125795582178959
Br5529	outlier_unassigned	8	13355	0.000599026581804568
Br5529	outlier_any_neg	409	13355	0.0306252339947585
Br5634	outlier_negProbe	122	11230	0.0108637577916296
Br5634	outlier_negCodeword	13	11230	0.00115761353517364
Br5634	outlier_depr	150	11230	0.0133570792520036
Br5634	outlier_unassigned	12	11230	0.00106856634016029
Br5634	outlier_any_neg	289	11230	0.0257346393588602
Br5854	outlier_negProbe	253	22863	0.0110659143594454
Br5854	outlier_negCodeword	10	22863	0.000437387919345668
Br5854	outlier_depr	353	22863	0.0154397935529021
Br5854	outlier_unassigned	20	22863	0.000874775838691335
Br5854	outlier_any_neg	599	22863	0.0261995363688055
Br5854L	outlier_negProbe	125	6975	0.017921146953405
Br5854L	outlier_negCodeword	4	6975	0.000573476702508961
Br5854L	outlier_depr	101	6975	0.0144802867383513
Br5854L	outlier_unassigned	6	6975	0.000860215053763441
Br5854L	outlier_any_neg	215	6975	0.0308243727598566
Br5941	outlier_negProbe	281	13564	0.0207166027720436
Br5941	outlier_negCodeword	5	13564	0.000368622825125332
Br5941	outlier_depr	272	13564	0.020053081686818
Br5941	outlier_unassigned	15	13564	0.001105868475376
Br5941	outlier_any_neg	511	13564	0.0376732527278089
Br6085	outlier_negProbe	150	8417	0.0178210763930141
Br6085	outlier_negCodeword	6	8417	0.000712843055720566
Br6085	outlier_depr	145	8417	0.017227040513247
Br6085	outlier_unassigned	8	8417	0.000950457407627421
Br6085	outlier_any_neg	298	8417	0.0354045384341214
Br6098	outlier_negProbe	149	15287	0.00974684372342513
Br6098	outlier_negCodeword	5	15287	0.000327075292732387
Br6098	outlier_depr	198	15287	0.0129521815922025
Br6098	outlier_unassigned	14	15287	0.000915810819650684
Br6098	outlier_any_neg	393	15287	0.0257081180087656
Br6119	outlier_negProbe	243	9381	0.0259034218100416
Br6119	outlier_negCodeword	1	9381	0.000106598443662723
Br6119	outlier_depr	142	9381	0.0151369790001066
Br6119	outlier_unassigned	4	9381	0.00042639377465089
Br6119	outlier_any_neg	366	9381	0.0390150303805565
Br6222	outlier_negProbe	323	15376	0.0210067637877211
Br6222	outlier_negCodeword	12	15376	0.000780437044745057
Br6222	outlier_depr	293	15376	0.0190556711758585
Br6222	outlier_unassigned	18	15376	0.00117065556711759
Br6222	outlier_any_neg	576	15376	0.0374609781477627
Br6263	outlier_negProbe	116	17441	0.00665099478240927
Br6263	outlier_negCodeword	9	17441	0.000516025457255891
Br6263	outlier_depr	263	17441	0.0150794105842555
Br6263	outlier_unassigned	10	17441	0.000573361619173213
Br6263	outlier_any_neg	400	17441	0.0229344647669285
Br6297	outlier_negProbe	216	14477	0.0149202182772674
Br6297	outlier_negCodeword	2	14477	0.000138150169233957
Br6297	outlier_depr	105	14477	0.00725288388478276
Br6297	outlier_unassigned	4	14477	0.000276300338467915
Br6297	outlier_any_neg	303	14477	0.0209297506389445
Br6423	outlier_negProbe	202	13384	0.0150926479378362
Br6423	outlier_negCodeword	6	13384	0.000448296473401076
Br6423	outlier_depr	273	13384	0.020397489539749
Br6423	outlier_unassigned	13	13384	0.000971309025702331
Br6423	outlier_any_neg	424	13384	0.031679617453676
Br6476	outlier_negProbe	312	13280	0.0234939759036145
Br6476	outlier_negCodeword	14	13280	0.00105421686746988
Br6476	outlier_depr	231	13280	0.017394578313253
Br6476	outlier_unassigned	8	13280	0.000602409638554217
Br6476	outlier_any_neg	390	13280	0.0293674698795181
Br6538	outlier_negProbe	292	13715	0.0212905577834488
Br6538	outlier_negCodeword	5	13715	0.000364564345607
Br6538	outlier_depr	236	13715	0.0172074371126504
Br6538	outlier_unassigned	10	13715	0.000729128691213999
Br6538	outlier_any_neg	474	13715	0.0345606999635436
