sample_id	variable	N	total_cells	prop_of_sample_cells
Br0942	outlier_negProbe	443	25978	0.0170528909076911
Br0942	outlier_negCodeword	20	25978	0.000769882208022173
Br0942	outlier_depr	470	25978	0.0180922318885211
Br0942	outlier_unassigned	33	25978	0.00127030564323659
Br0942	outlier_any_neg	823	25978	0.0316806528601124
Br0942	falsenuc	3277	25978	0.126145199784433
Br0946	outlier_negProbe	237	19438	0.012192612408684
Br0946	outlier_negCodeword	14	19438	0.000720238707685976
Br0946	outlier_depr	316	19438	0.016256816544912
Br0946	outlier_unassigned	26	19438	0.00133758617141681
Br0946	outlier_any_neg	560	19438	0.028809548307439
Br0946	falsenuc	2627	19438	0.135147648935076
Br1039	outlier_negProbe	214	14646	0.0146114980199372
Br1039	outlier_negCodeword	10	14646	0.000682780281305476
Br1039	outlier_depr	191	14646	0.0130411033729346
Br1039	outlier_unassigned	9	14646	0.000614502253174928
Br1039	outlier_any_neg	387	14646	0.0264235968865219
Br1039	falsenuc	14	14646	0.000955892393827666
Br1039L	outlier_negProbe	157	14254	0.0110144520836257
Br1039L	outlier_negCodeword	8	14254	0.000561245966044619
Br1039L	outlier_depr	225	14254	0.0157850427950049
Br1039L	outlier_unassigned	6	14254	0.000420934474533464
Br1039L	outlier_any_neg	474	14254	0.0332538234881437
Br1039L	falsenuc	22	14254	0.0015434264066227
Br1105	outlier_negProbe	294	17289	0.0170050321013361
Br1105	outlier_negCodeword	4	17289	0.000231360980970559
Br1105	outlier_depr	262	17289	0.0151541442535716
Br1105	outlier_unassigned	8	17289	0.000462721961941119
Br1105	outlier_any_neg	515	17289	0.0297877262999595
Br1105	falsenuc	2449	17289	0.141650760599225
Br1285	outlier_negProbe	126	13984	0.00901029748283753
Br1285	outlier_negCodeword	12	13984	0.00085812356979405
Br1285	outlier_depr	235	13984	0.0168049199084668
Br1285	outlier_unassigned	5	13984	0.000357551487414188
Br1285	outlier_any_neg	352	13984	0.0251716247139588
Br1285	falsenuc	393	13984	0.0281035469107552
