sample_id	variable	N	total_cells	prop_of_sample_cells
Br0942	outlier_negProbe	407	24413	0.01667144554131
Br0942	outlier_negCodeword	23	24413	0.000942121001105968
Br0942	outlier_depr	452	24413	0.0185147257608651
Br0942	outlier_unassigned	30	24413	0.00122885347970344
Br0942	outlier_any_neg	753	24413	0.0308442223405563
Br0942	falsenuc	1770	24413	0.0725023553025028
Br0946	outlier_negProbe	234	18887	0.0123894742415418
Br0946	outlier_negCodeword	11	18887	0.0005824111822947
Br0946	outlier_depr	321	18887	0.0169958172287817
Br0946	outlier_unassigned	29	18887	0.0015354476624133
Br0946	outlier_any_neg	546	18887	0.0289087732302642
Br0946	falsenuc	1926	18887	0.10197490337269
Br1039	outlier_negProbe	213	14643	0.0145461995492727
Br1039	outlier_negCodeword	8	14643	0.000546336133306017
Br1039	outlier_depr	191	14643	0.0130437751826811
Br1039	outlier_unassigned	9	14643	0.000614628149969269
Br1039	outlier_any_neg	382	14643	0.0260875503653623
Br1039	falsenuc	8	14643	0.000546336133306017
Br1039L	outlier_negProbe	158	14278	0.0110659756268385
Br1039L	outlier_negCodeword	9	14278	0.000630340383807256
Br1039L	outlier_depr	224	14278	0.0156884717747584
Br1039L	outlier_unassigned	7	14278	0.000490264742961199
Br1039L	outlier_any_neg	461	14278	0.0322874352150161
Br1039L	falsenuc	43	14278	0.00301162627819022
Br1105	outlier_negProbe	310	18697	0.0165802000320907
Br1105	outlier_negCodeword	5	18697	0.000267422581162753
Br1105	outlier_depr	271	18697	0.0144943038990212
Br1105	outlier_unassigned	7	18697	0.000374391613627855
Br1105	outlier_any_neg	558	18697	0.0298443600577633
Br1105	falsenuc	3039	18697	0.162539444830722
Br1285	outlier_negProbe	126	14207	0.00886886745970296
Br1285	outlier_negCodeword	8	14207	0.000563102695854156
Br1285	outlier_depr	241	14207	0.0169634687126065
Br1285	outlier_unassigned	5	14207	0.000351939184908848
Br1285	outlier_any_neg	364	14207	0.0256211726613641
Br1285	falsenuc	471	14207	0.0331526712184135
Br1556	outlier_negProbe	722	25385	0.0284419933031318
Br1556	outlier_negCodeword	25	25385	0.000984833563127831
Br1556	outlier_depr	496	25385	0.0195390978924562
Br1556	outlier_unassigned	33	25385	0.00129998030332874
Br1556	outlier_any_neg	983	25385	0.0387236557021863
Br1556	falsenuc	26	25385	0.00102422690565294
Br1691L	outlier_negProbe	246	19396	0.0126830274283357
Br1691L	outlier_negCodeword	5	19396	0.000257785110332027
Br1691L	outlier_depr	293	19396	0.0151062074654568
Br1691L	outlier_unassigned	16	19396	0.000824912353062487
Br1691L	outlier_any_neg	576	19396	0.0296968447102495
Br1691L	falsenuc	3674	19396	0.189420499071974
Br1706	outlier_negProbe	169	12780	0.0132237871674491
Br1706	outlier_negCodeword	7	12780	0.00054773082942097
Br1706	outlier_depr	248	12780	0.0194053208137715
Br1706	outlier_unassigned	10	12780	0.000782472613458529
Br1706	outlier_any_neg	366	12780	0.0286384976525822
Br1706	falsenuc	16	12780	0.00125195618153365
Br1884	outlier_negProbe	392	16977	0.0230900630264475
Br1884	outlier_negCodeword	13	16977	0.000765741886081169
Br1884	outlier_depr	356	16977	0.0209695470342228
Br1884	outlier_unassigned	16	16977	0.0009424515520999
Br1884	outlier_any_neg	628	16977	0.0369912234199211
Br1884	falsenuc	1544	16977	0.0909465747776403
Br2305	outlier_negProbe	261	17375	0.015021582733813
Br2305	outlier_negCodeword	8	17375	0.000460431654676259
Br2305	outlier_depr	208	17375	0.0119712230215827
Br2305	outlier_unassigned	14	17375	0.000805755395683453
Br2305	outlier_any_neg	477	17375	0.0274532374100719
Br2305	falsenuc	56	17375	0.00322302158273381
Br2305L	outlier_negProbe	183	11784	0.0155295315682281
Br2305L	outlier_negCodeword	7	11784	0.000594025797691785
Br2305L	outlier_depr	186	11784	0.0157841140529532
Br2305L	outlier_unassigned	8	11784	0.000678886625933469
Br2305L	outlier_any_neg	370	11784	0.0313985064494229
Br2305L	falsenuc	16	11784	0.00135777325186694
Br2582	outlier_negProbe	252	14543	0.0173279240871897
Br2582	outlier_negCodeword	5	14543	0.000343808017602971
Br2582	outlier_depr	286	14543	0.0196658186068899
Br2582	outlier_unassigned	19	14543	0.00130647046689129
Br2582	outlier_any_neg	409	14543	0.028123495839923
Br2582	falsenuc	2109	14543	0.145018221824933
Br3974	outlier_negProbe	391	20701	0.0188879764262596
