lam	res	gabor	kgeom
0	1	TRUE	15
0.2	1	TRUE	15
0.4	1	TRUE	15
0.6	1	TRUE	15
0.8	1	TRUE	15
1	1	TRUE	15
0	2	TRUE	15
0.2	2	TRUE	15
0.4	2	TRUE	15
0.6	2	TRUE	15
0.8	2	TRUE	15
1	2	TRUE	15
0	1	FALSE	15
0.2	1	FALSE	15
0.4	1	FALSE	15
0.6	1	FALSE	15
0.8	1	FALSE	15
1	1	FALSE	15
0	2	FALSE	15
0.2	2	FALSE	15
0.4	2	FALSE	15
0.6	2	FALSE	15
0.8	2	FALSE	15
1	2	FALSE	15
0	1	TRUE	30
0.2	1	TRUE	30
0.4	1	TRUE	30
0.6	1	TRUE	30
0.8	1	TRUE	30
1	1	TRUE	30
0	2	TRUE	30
0.2	2	TRUE	30
0.4	2	TRUE	30
0.6	2	TRUE	30
0.8	2	TRUE	30
1	2	TRUE	30
0	1	FALSE	30
0.2	1	FALSE	30
0.4	1	FALSE	30
0.6	1	FALSE	30
0.8	1	FALSE	30
1	1	FALSE	30
0	2	FALSE	30
0.2	2	FALSE	30
0.4	2	FALSE	30
0.6	2	FALSE	30
0.8	2	FALSE	30
1	2	FALSE	30
