k1	k2	looseInDom	strictInDom	nmfpredInDom
0.08	0.132	0.829721642941336	0.92955135335558	0.873832373640435
0.08	0.146	0.826457521080787	0.92714126807564	0.870249520153551
0.08	0.159	0.822286698703418	0.924916573971079	0.865898912348049
0.08	0.172	0.81811587632605	0.921950315164998	0.861548304542546
0.08	0.186	0.813219693535225	0.918984056358917	0.856813819577735
0.08	0.199	0.808051500589355	0.913422321097516	0.852719129878439
0.08	0.212	0.802792637591803	0.908972932888395	0.847344849648113
0.08	0.226	0.79653640402575	0.901371894697812	0.840690978886756
0.08	0.239	0.789736150149606	0.894327030033371	0.8340371081254
0.08	0.252	0.784386617100372	0.890063032999629	0.826231605886117
0.08	0.266	0.776679662707408	0.883018168335187	0.817658349328215
0.08	0.279	0.768700698159398	0.876714868372266	0.810748560460653
0.08	0.292	0.762353794541663	0.870596959584724	0.803071017274472
0.08	0.306	0.755553540665518	0.863181312569522	0.797056941778631
0.08	0.319	0.748027926375918	0.85632183908046	0.788995521433141
0.08	0.332	0.739776951672863	0.849276974416018	0.78042226487524
0.08	0.346	0.731344636866443	0.841490545050056	0.771209213051824
0.08	0.359	0.721824281439841	0.831850203930293	0.761228406909789
0.08	0.372	0.71239459606492	0.82239525398591	0.751887396033269
0.08	0.386	0.702964910689999	0.812384130515387	0.741522712731926
0.08	0.399	0.694713935986944	0.806266221727846	0.732949456174024
0.08	0.412	0.685828270922114	0.797552836484983	0.724376199616123
0.08	0.426	0.678030646477469	0.791249536522062	0.717594369801664
0.12	0.132	0.739958291776226	0.848535409714498	0.77274472168906
0.12	0.146	0.731163296763079	0.839822024471635	0.765706973768394
0.12	0.159	0.721733611388159	0.831108639228773	0.758157389635317
0.12	0.172	0.715386707770423	0.825361512791991	0.750735764555342
0.12	0.186	0.706410372653912	0.817389692250649	0.743058221369162
0.12	0.199	0.699791458881132	0.809974045235447	0.737044145873321
0.12	0.212	0.690905793816302	0.802373007044865	0.729622520793346
0.12	0.226	0.679572037356061	0.792361883574342	0.716442738323736
0.12	0.239	0.669779671774413	0.783648498331479	0.706078055022393
0.12	0.252	0.661256686916312	0.775120504263997	0.697632757517594
0.12	0.266	0.65273370205821	0.765294771968854	0.689571337172105
0.12	0.279	0.641581285701333	0.754542083796811	0.682021753039027
0.12	0.292	0.634690361773506	0.74860956618465	0.673448496481126
0.12	0.306	0.624716656088494	0.737486095661847	0.662955854126679
0.12	0.319	0.615468310816937	0.727474972191324	0.653486884197057
0.12	0.332	0.60476924471847	0.717463848720801	0.641330774152271
0.12	0.346	0.595792909601959	0.707638116425658	0.632245681381958
