k1	k2	looseInDom	strictInDom	nmfpredInDom
0.04	0.04	0.811224952398223	0.904152762328513	0.821625079974408
0.04	0.12	0.811224952398223	0.904152762328513	0.821625079974408
0.04	0.2	0.811134282346541	0.904152762328513	0.821625079974408
0.04	0.28	0.808595520899447	0.902484241750093	0.821369161868202
0.04	0.36	0.794723002992112	0.89228772710419	0.812412028150992
0.04	0.44	0.772690180433403	0.873007044864665	0.795649392194498
0.04	0.52	0.741137002448092	0.845198368557657	0.763659628918746
0.04	0.6	0.704234291413546	0.815535780496848	0.725655790147153
0.04	0.68	0.657720554900716	0.769929551353356	0.680870121561101
0.04	0.76	0.601233112702874	0.711716722284019	0.626999360204735
0.08	0.04	0.674947864720283	0.778642936596218	0.688291746641075
0.08	0.12	0.674131834255146	0.778457545420838	0.688291746641075
0.08	0.2	0.670867712394596	0.776789024842418	0.688163787587972
0.08	0.28	0.661619367123039	0.767890248424175	0.68381317978247
0.08	0.36	0.639314534409285	0.747497219132369	0.666666666666667
0.08	0.44	0.607852026475655	0.721171672228402	0.636212412028151
0.08	0.52	0.567594523528878	0.67853170189099	0.594369801663468
0.08	0.6	0.527971710943875	0.635335558027438	0.553550863723608
0.08	0.68	0.47882854293227	0.583055246570263	0.50595009596929
0.08	0.76	0.416266207271738	0.511308861698183	0.444785668586052
0.12	0.04	0.543566959833167	0.639784946236559	0.553934740882918
0.12	0.12	0.541753558799528	0.638116425658139	0.553806781829815
0.12	0.2	0.536585365853659	0.633296255098257	0.552399232245682
0.12	0.28	0.520718106809321	0.620133481646274	0.54254638515675
0.12	0.36	0.496871883216974	0.596588802373007	0.517338451695458
0.12	0.44	0.470124217970804	0.569150908416759	0.493921944977607
0.12	0.52	0.433040166832895	0.528921023359288	0.456685860524632
0.12	0.6	0.386979780578475	0.477938450129774	0.412539987204095
0.12	0.68	0.343186145616103	0.424731182795699	0.369545745361484
0.12	0.76	0.278810408921933	0.347237671486837	0.303262955854127
0.16	0.04	0.429866715024028	0.520949202817946	0.446449136276392
0.16	0.12	0.425967902801705	0.517426770485725	0.445681381957774
0.16	0.2	0.419439659080606	0.512421208750464	0.442482405630198
0.16	0.28	0.402665699519449	0.493696700037078	0.428278950735765
0.16	0.36	0.381811587632605	0.469410456062292	0.405502239283429
0.16	0.44	0.347719648200199	0.433073785687801	0.373000639795266
0.16	0.52	0.309728896545471	0.388765294771969	0.338067818298145
0.16	0.6	0.267204642306646	0.335928809788654	0.29149072296865
0.16	0.68	0.223411007344274	0.279940674823878	0.248624440179143
0.16	0.76	0.171547737782211	0.21449758991472	0.19488163787588
0.2	0.04	0.327862906881857	0.409343715239155	0.349712092130518
0.2	0.12	0.324326774866262	0.404523544679273	0.348048624440179
0.2	0.2	0.315894460059842	0.39432703003337	0.342290467050544
0.2	0.28	0.300027201015505	0.377456433073786	0.329110684580934
0.2	0.36	0.276543657629885	0.351872450871339	0.303007037747921
0.2	0.44	0.243811768972708	0.310159436410827	0.27191298784389
0.2	0.52	0.213709311814308	0.272895810159436	0.238643634037108
0.2	0.6	0.178166651554991	0.224879495736003	0.204606525911708
0.2	0.68	0.137999818659897	0.173526140155729	0.159309021113244
0.24	0.04	0.24109166742225	0.305339265850946	0.263083813179783
0.24	0.12	0.235560794269653	0.299592139414164	0.260396673064619
0.24	0.2	0.225224408377913	0.28698553948832	0.252079334612924
0.24	0.28	0.210354519902076	0.271227289581016	0.237747920665387
0.24	0.36	0.188684377550095	0.241008527994068	0.216378758797185
0.24	0.44	0.167920935714933	0.21542454579162	0.193985924504159
0.24	0.52	0.138815849125034	0.17723396366333	0.161868202175304
0.28	0.04	0.177894641399946	0.231182795698925	0.199232245681382
0.28	0.12	0.173089128660803	0.225064886911383	0.197312859884837
0.28	0.2	0.163659443285883	0.2137560252132	0.189123480486244
0.28	0.28	0.15132831625714	0.196700037078235	0.176327575175944
0.28	0.36	0.131924925197207	0.169447534297367	0.155982085732566
0.32	0.04	0.132740955662345	0.175936225435669	0.151247600767754
0.32	0.12	0.127210082509747	0.168149796069707	0.147792706333973
0.32	0.2	0.116692356514643	0.152762328513163	0.137811900191939
