sample_id	variable	N	total_cells	prop_of_sample_cells
sample01.1	outlier_negProbe	423	25562	0.0165480009388937
sample01.1	outlier_negCodeword	16	25562	0.000625929113527893
sample01.1	outlier_depr	448	25562	0.017526015178781
sample01.1	outlier_unassigned	32	25562	0.00125185822705579
sample01.1	outlier_any_neg	776	25562	0.0303575620061028
sample01.10	outlier_negProbe	392	17187	0.0228079362308722
sample01.10	outlier_negCodeword	14	17187	0.000814569151102578
sample01.10	outlier_depr	358	17187	0.0208296968639088
sample01.10	outlier_unassigned	16	17187	0.00093093617268866
sample01.10	outlier_any_neg	639	17187	0.0371792633967534
sample01.11	outlier_negProbe	191	12119	0.015760376268669
sample01.11	outlier_negCodeword	7	12119	0.00057760541298787
sample01.11	outlier_depr	188	12119	0.0155128310916742
sample01.11	outlier_unassigned	8	12119	0.000660120471986138
sample01.11	outlier_any_neg	370	12119	0.0305305718293589
sample01.12	outlier_negProbe	260	17381	0.0149588631264024
sample01.12	outlier_negCodeword	7	17381	0.000402738622633911
sample01.12	outlier_depr	210	17381	0.0120821586790173
sample01.12	outlier_unassigned	15	17381	0.000863011334215523
sample01.12	outlier_any_neg	464	17381	0.0266958172717335
sample01.13	outlier_negProbe	262	16285	0.016088424930918
sample01.13	outlier_negCodeword	5	16285	0.000307031010132023
sample01.13	outlier_depr	283	16285	0.0173779551734725
sample01.13	outlier_unassigned	19	16285	0.00116671783850169
sample01.13	outlier_any_neg	414	16285	0.0254221676389315
sample01.14	outlier_negProbe	509	25214	0.0201871975886412
sample01.14	outlier_negCodeword	21	25214	0.000832870627429206
sample01.14	outlier_depr	414	25214	0.0164194495121758
sample01.14	outlier_unassigned	34	25214	0.00134845720631395
sample01.14	outlier_any_neg	906	25214	0.03593241849766
sample01.15	outlier_negProbe	146	17612	0.00828980240744947
sample01.15	outlier_negCodeword	1	17612	5.67794685441744e-05
sample01.15	outlier_depr	272	17612	0.0154440154440154
sample01.15	outlier_unassigned	14	17612	0.000794912559618442
sample01.15	outlier_any_neg	399	17612	0.0226550079491256
sample01.16	outlier_negProbe	368	17449	0.0210900338128259
sample01.16	outlier_negCodeword	12	17449	0.000687718493896498
sample01.16	outlier_depr	323	17449	0.0185110894607141
sample01.16	outlier_unassigned	13	17449	0.000745028368387873
sample01.16	outlier_any_neg	554	17449	0.0317496704682217
sample01.17	outlier_negProbe	314	23937	0.0131177674729498
sample01.17	outlier_negCodeword	25	23937	0.00104440823829218
sample01.17	outlier_depr	497	23937	0.0207628357772486
sample01.17	outlier_unassigned	22	23937	0.000919079249697122
sample01.17	outlier_any_neg	722	23937	0.0301625099218783
sample01.18	outlier_negProbe	189	14067	0.0134357005758157
sample01.18	outlier_negCodeword	12	14067	0.000853060354020047
sample01.18	outlier_depr	240	14067	0.0170612070804009
sample01.18	outlier_unassigned	23	14067	0.00163503234520509
sample01.18	outlier_any_neg	444	14067	0.0315632330987417
sample01.19	outlier_negProbe	140	16113	0.00868863650468566
sample01.19	outlier_negCodeword	15	16113	0.000930925339787749
sample01.19	outlier_depr	308	16113	0.0191150003103084
sample01.19	outlier_unassigned	15	16113	0.000930925339787749
sample01.19	outlier_any_neg	430	16113	0.0266865264072488
sample01.2	outlier_negProbe	241	19448	0.0123920197449609
sample01.2	outlier_negCodeword	13	19448	0.000668449197860963
sample01.2	outlier_depr	321	19448	0.0165055532702592
sample01.2	outlier_unassigned	28	19448	0.00143973673385438
sample01.2	outlier_any_neg	554	19448	0.0284862196626903
sample01.20	outlier_negProbe	291	13823	0.0210518700716198
sample01.20	outlier_negCodeword	1	13823	7.23431961224047e-05
sample01.20	outlier_depr	186	13823	0.0134558344787673
sample01.20	outlier_unassigned	10	13823	0.000723431961224047
sample01.20	outlier_any_neg	424	13823	0.0306735151558996
sample01.21	outlier_negProbe	135	12088	0.011168100595632
sample01.21	outlier_negCodeword	14	12088	0.00115817339510258
sample01.21	outlier_depr	162	12088	0.0134017207147584
sample01.21	outlier_unassigned	14	12088	0.00115817339510258
sample01.21	outlier_any_neg	308	12088	0.0254798146922568
sample01.22	outlier_negProbe	341	11554	0.0295135883676649
sample01.22	outlier_negCodeword	8	11554	0.00069240090012117
sample01.22	outlier_depr	229	11554	0.0198199757659685
sample01.22	outlier_unassigned	14	11554	0.00121170157521205
sample01.22	outlier_any_neg	512	11554	0.0443136576077549
sample01.23	outlier_negProbe	339	26195	0.0129414010307311
sample01.23	outlier_negCodeword	12	26195	0.000458102691353312
sample01.23	outlier_depr	398	26195	0.0151937392632182
sample01.23	outlier_unassigned	23	26195	0.000878030158427181
sample01.23	outlier_any_neg	724	26195	0.0276388623783165
sample01.24	outlier_negProbe	284	13719	0.0207012172898899
sample01.24	outlier_negCodeword	5	13719	0.000364458050878344
sample01.24	outlier_depr	272	13719	0.0198265179677819
sample01.24	outlier_unassigned	15	13719	0.00109337415263503
sample01.24	outlier_any_neg	527	13719	0.0384138785625775
sample01.25	outlier_negProbe	151	8478	0.0178108044350083
sample01.25	outlier_negCodeword	5	8478	0.000589761736258552
sample01.25	outlier_depr	149	8478	0.0175748997405048
sample01.25	outlier_unassigned	8	8478	0.000943618778013682
sample01.25	outlier_any_neg	300	8478	0.0353857041755131
sample01.26	outlier_negProbe	196	17210	0.0113887274840209
sample01.26	outlier_negCodeword	5	17210	0.000290528762347472
sample01.26	outlier_depr	222	17210	0.0128994770482278
sample01.26	outlier_unassigned	15	17210	0.000871586287042417
sample01.26	outlier_any_neg	464	17210	0.0269610691458454
sample01.27	outlier_negProbe	249	9445	0.026363155108523
sample01.27	outlier_negCodeword	2	9445	0.000211752249867655
sample01.27	outlier_depr	148	9445	0.0156696664902065
sample01.27	outlier_unassigned	4	9445	0.00042350449973531
sample01.27	outlier_any_neg	368	9445	0.0389624139756485
sample01.28	outlier_negProbe	327	15687	0.0208452859055269
sample01.28	outlier_negCodeword	14	15687	0.000892458723784025
sample01.28	outlier_depr	296	15687	0.0188691273028622
sample01.28	outlier_unassigned	27	15687	0.00172117039586919
sample01.28	outlier_any_neg	588	15687	0.0374832663989291
sample01.29	outlier_negProbe	142	18516	0.00766904298984662
sample01.29	outlier_negCodeword	14	18516	0.000756102829984878
sample01.29	outlier_depr	284	18516	0.0153380859796932
sample01.29	outlier_unassigned	25	18516	0.001350183624973
sample01.29	outlier_any_neg	456	18516	0.0246273493195075
sample01.3	outlier_negProbe	157	14254	0.0110144520836257
sample01.3	outlier_negCodeword	8	14254	0.000561245966044619
sample01.3	outlier_depr	225	14254	0.0157850427950049
sample01.3	outlier_unassigned	6	14254	0.000420934474533464
sample01.3	outlier_any_neg	474	14254	0.0332538234881437
sample01.30	outlier_negProbe	217	14726	0.0147358413690072
sample01.30	outlier_negCodeword	2	14726	0.000135814206165965
sample01.30	outlier_depr	105	14726	0.00713024582371316
sample01.30	outlier_unassigned	4	14726	0.00027162841233193
sample01.30	outlier_any_neg	303	14726	0.0205758522341437
sample01.31	outlier_negProbe	213	14197	0.015003169683736
sample01.31	outlier_negCodeword	6	14197	0.000422624498133408
sample01.31	outlier_depr	292	14197	0.0205677255758259
sample01.31	outlier_unassigned	17	14197	0.00119743607804466
sample01.31	outlier_any_neg	454	14197	0.0319785870254279
sample01.32	outlier_negProbe	446	17065	0.026135364781717
sample01.32	outlier_negCodeword	17	17065	0.000996191034280691
sample01.32	outlier_depr	286	17065	0.0167594491649575
sample01.32	outlier_unassigned	16	17065	0.000937591561675945
sample01.32	outlier_any_neg	593	17065	0.0347494872546147
sample01.33	outlier_negProbe	292	13764	0.021214763150247
sample01.33	outlier_negCodeword	7	13764	0.000508573089218251
