sample_id	variable	N	total_cells	prop_of_sample_cells
sample01.33	outlier_depr	237	13764	0.0172188317349608
sample01.33	outlier_unassigned	12	13764	0.000871839581517001
sample01.33	outlier_any_neg	484	13764	0.035164196454519
sample01.4	outlier_negProbe	214	14646	0.0146114980199372
sample01.4	outlier_negCodeword	10	14646	0.000682780281305476
sample01.4	outlier_depr	191	14646	0.0130411033729346
sample01.4	outlier_unassigned	9	14646	0.000614502253174928
sample01.4	outlier_any_neg	387	14646	0.0264235968865219
sample01.5	outlier_negProbe	294	17289	0.0170050321013361
sample01.5	outlier_negCodeword	4	17289	0.000231360980970559
sample01.5	outlier_depr	262	17289	0.0151541442535716
sample01.5	outlier_unassigned	8	17289	0.000462721961941119
sample01.5	outlier_any_neg	515	17289	0.0297877262999595
sample01.6	outlier_negProbe	126	13984	0.00901029748283753
sample01.6	outlier_negCodeword	12	13984	0.00085812356979405
sample01.6	outlier_depr	235	13984	0.0168049199084668
sample01.6	outlier_unassigned	5	13984	0.000357551487414188
sample01.6	outlier_any_neg	352	13984	0.0251716247139588
sample01.7	outlier_negProbe	723	25386	0.0284802647128338
sample01.7	outlier_negCodeword	22	25386	0.000866619396517766
sample01.7	outlier_depr	506	25386	0.0199322461199086
sample01.7	outlier_unassigned	33	25386	0.00129992909477665
sample01.7	outlier_any_neg	986	25386	0.0388403056802962
sample01.9	outlier_negProbe	174	12994	0.0133907957518855
sample01.9	outlier_negCodeword	11	12994	0.000846544559027243
sample01.9	outlier_depr	259	12994	0.0199322764352778
sample01.9	outlier_unassigned	12	12994	0.000923503155302447
sample01.9	outlier_any_neg	376	12994	0.0289364321994767
