**** Job starts ****
Fri Nov 14 08:54:52 AM EST 2025
**** JHPCE info ****
User: mtippani
Job id: 24141940
Job name: 01_xeniumranger_NM_DAPI.sh
Hostname: 
Task id: 15
Loading LIBD SLURM module for xeniumranger/3.1.1
Reference files, for use with the '--transcriptome' argument, can be accessed
or downloaded into /dcs04/lieber/lcolladotor/annotationFiles_LIBD001/10x. 
brnum = Br5460
bundle = output-XETG00558__0068641__Br5460__20250501__172909
Martian Runtime - v4.0.13
Running preflight checks (please wait)...
2025-11-14 08:55:45 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS
2025-11-14 08:55:45 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS.fork0.split
2025-11-14 08:55:50 [runtime] (split_complete)  ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS
2025-11-14 08:55:50 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS.fork0.join
2025-11-14 08:56:02 [runtime] (join_complete)   ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_NUCLEAR_SEGMENTATION_DATASET
2025-11-14 08:56:02 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_NUCLEAR_SEGMENTATION_DATASET.fork0.split
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_SETUP_RELABEL
2025-11-14 08:56:02 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_SETUP_RELABEL.fork0.chnk0.main
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_UNZIP_TRANSCRIPTS
2025-11-14 08:56:02 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_UNZIP_TRANSCRIPTS.fork0.chnk0.main
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_CELL_SEGMENTATION_DATASET
2025-11-14 08:56:02 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_CELL_SEGMENTATION_DATASET.fork0.split
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.FORWARD_OUTS
2025-11-14 08:56:02 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.FORWARD_OUTS.fork0.chnk0.main
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.METRIC_CALCULATOR_CS.GENERATE_MORPHOLOGY_PLOTS
2025-11-14 08:56:02 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.METRIC_CALCULATOR_CS.GENERATE_MORPHOLOGY_PLOTS.fork0.split
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE.SETUP_CELL_SEGMENTOR_FINALIZER
2025-11-14 08:56:02 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE._CELL_SEGMENTOR_FINALIZER.SEGMENT_INTERIOR
