contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	2	2	0.0869565217391304	0
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	5	3	0.115384615384615	0.4
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	14	13	0.26	0.0714285714285714
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10	1	1	0.1	0
ACHE_SERT_Npep_Sex	57	31	28	0.491228070175439	0.0967741935483871
Astro_E2YRI_vs_E2CEU	20	3	2	0.1	0.333333333333333
Astro_E4CEU_vs_E2CEU	53	17	17	0.320754716981132	0
Astro_E4YRI_vs_E2YRI	39	20	20	0.512820512820513	0
Astro_E4YRI_vs_E4CEU	34	16	16	0.470588235294118	0
Astro_E4vE2	17	4	4	0.235294117647059	0
Astro_Sex	69	44	43	0.623188405797102	0.0227272727272727
LC_E2YRI_vs_E2CEU	7	3	3	0.428571428571429	0
LC_E4CEU_vs_E2CEU	21	4	3	0.142857142857143	0.25
LC_E4YRI_vs_E2YRI	13	7	6	0.461538461538462	0.142857142857143
LC_E4YRI_vs_E4CEU	15	1	1	0.0666666666666667	0
LC_E4vE2	26	2	2	0.0769230769230769	0
LC_Sex	57	29	24	0.421052631578947	0.172413793103448
Oligo_Astro_E2YRI_vs_E2CEU	25	5	4	0.16	0.2
Oligo_Astro_E4CEU_vs_E2CEU	49	13	13	0.26530612244898	0
Oligo_Astro_E4YRI_vs_E2YRI	29	10	10	0.344827586206897	0
Oligo_Astro_E4YRI_vs_E4CEU	38	6	6	0.157894736842105	0
Oligo_Astro_E4vE2	26	10	10	0.384615384615385	0
Oligo_Astro_Sex	50	26	24	0.48	0.0769230769230769
