k1	k2	looseInDom	strictInDom
0.05	0.05	0.719473907509546	0.842987249544627
0.05	0.1	0.71862537123462	0.842987249544627
0.05	0.15	0.716419176919813	0.842076502732241
0.05	0.2	0.714552397114977	0.840619307832423
0.05	0.25	0.710988544760289	0.837704918032787
0.05	0.3	0.699448451421298	0.826047358834244
0.05	0.35	0.679507848960543	0.806921675774135
0.05	0.4	0.658718710224862	0.791985428051002
0.05	0.45	0.641747984726347	0.77832422586521
0.05	0.5	0.614000848536275	0.751183970856102
0.05	0.55	0.583029274501485	0.719125683060109
0.05	0.6	0.558421722528638	0.692714025500911
0.05	0.65	0.529995757318625	0.65792349726776
0.05	0.7	0.491981332201952	0.615482695810565
0.05	0.75	0.441323716588884	0.556466302367942
0.05	0.8	0.406109461179465	0.516029143897996
0.05	0.85	0.347899872719559	0.445355191256831
0.1	0.05	0.657191344929996	0.777959927140255
0.1	0.1	0.657021637675011	0.777959927140255
0.1	0.15	0.654985150615189	0.776138433515483
0.1	0.2	0.651421298260501	0.773406193078324
0.1	0.25	0.642681374628765	0.766120218579235
0.1	0.3	0.630717013152312	0.755373406193078
0.1	0.35	0.609927874416631	0.738433515482696
0.1	0.4	0.590326686465846	0.720947176684882
0.1	0.45	0.571404327535002	0.701457194899818
0.1	0.5	0.542384386932541	0.671220400728597
0.1	0.55	0.516164616037336	0.643897996357013
0.1	0.6	0.490963088672041	0.614207650273224
0.1	0.65	0.459482392872295	0.578506375227687
0.1	0.7	0.417649554518456	0.525865209471767
0.1	0.75	0.373186253712346	0.475045537340619
0.1	0.8	0.33771743742045	0.431511839708561
0.1	0.85	0.279338141705558	0.355191256830601
0.15	0.05	0.572337717437421	0.698907103825137
0.15	0.1	0.566567670767925	0.69471766848816
0.15	0.15	0.556300381841324	0.683788706739526
0.15	0.2	0.541450997030123	0.669581056466302
0.15	0.25	0.51862537123462	0.644990892531876
0.15	0.3	0.496987696224014	0.623132969034608
0.15	0.35	0.467458633856597	0.587978142076503
0.15	0.4	0.439117522274077	0.556102003642987
0.15	0.45	0.409758167161646	0.521129326047359
0.15	0.5	0.369622401357658	0.477231329690346
0.15	0.55	0.335680950360628	0.438615664845173
0.15	0.6	0.302418328383538	0.394535519125683
0.15	0.65	0.27017394993636	0.353187613843352
0.15	0.7	0.23063215952482	0.301821493624772
0.15	0.75	0.191175222740772	0.25063752276867
0.15	0.8	0.164616037335596	0.216393442622951
0.15	0.85	0.12651675859143	0.16448087431694
0.2	0.05	0.464997878659313	0.585792349726776
