k1	k2	looseInDom	strictInDom
0.2	0.1	0.463470513364446	0.584153005464481
0.2	0.15	0.458039881204922	0.578688524590164
0.2	0.2	0.450572761985575	0.570127504553734
0.2	0.25	0.438353839626644	0.555009107468124
0.2	0.3	0.420364870598218	0.534790528233151
0.2	0.35	0.402036487059822	0.514754098360656
0.2	0.4	0.375647008909631	0.483424408014572
0.2	0.45	0.351972846839202	0.453734061930783
0.2	0.5	0.325074246924056	0.42367941712204
0.2	0.55	0.294696648281714	0.386520947176685
0.2	0.6	0.268985999151464	0.35264116575592
0.2	0.65	0.237590156979211	0.312386156648452
0.2	0.7	0.203478998727196	0.268488160291439
0.2	0.75	0.169537547730165	0.221857923497268
0.2	0.8	0.14662706830717	0.192531876138434
0.2	0.85	0.113449299957573	0.149180327868852
0.25	0.05	0.373186253712346	0.476867030965392
0.25	0.1	0.370725498515062	0.473952641165756
0.25	0.15	0.363343232923207	0.466120218579235
0.25	0.2	0.355451845566398	0.458469945355191
0.25	0.25	0.342723801442512	0.444444444444444
0.25	0.3	0.322019516334323	0.417304189435337
0.25	0.35	0.303351718285957	0.392896174863388
0.25	0.4	0.276368264743318	0.363752276867031
0.25	0.45	0.258209588459907	0.341712204007286
0.25	0.5	0.230462452269835	0.305828779599271
0.25	0.55	0.202121340687314	0.268123861566485
0.25	0.6	0.181586762834111	0.242440801457195
0.25	0.65	0.158676283411116	0.210382513661202
0.25	0.7	0.131183708103521	0.175409836065574
0.25	0.75	0.105133644463301	0.14207650273224
0.25	0.8	0.0862961391599491	0.11712204007286
0.25	0.85	0.063131098854476	0.0861566484517304
0.3	0.05	0.271701315231226	0.351730418943534
0.3	0.1	0.266779804836657	0.346812386156648
0.3	0.15	0.260670343657191	0.341530054644809
0.3	0.2	0.25108188375053	0.329872495446266
0.3	0.25	0.236996181586763	0.310928961748634
0.3	0.3	0.217988969028426	0.287431693989071
0.3	0.35	0.197963512940178	0.263752276867031
0.3	0.4	0.182180738226559	0.242440801457195
0.3	0.45	0.165803988120492	0.222222222222222
0.3	0.5	0.145778532032244	0.196539162112933
0.3	0.55	0.120322443784472	0.163205828779599
0.3	0.6	0.104539669070853	0.142440801457195
0.3	0.65	0.0883326262197709	0.119489981785064
0.3	0.7	0.0733983877810776	0.1
0.3	0.75	0.0576156130674586	0.0797814207650273
0.3	0.8	0.0476028850233347	0.066120218579235
0.3	0.85	0.0352142554094188	0.0484517304189435
0.35	0.05	0.207042851081884	0.274499089253188
0.35	0.1	0.196096733135342	0.261384335154827
0.35	0.15	0.185235468816292	0.248451730418944
0.35	0.2	0.175053033517183	0.234790528233151
0.35	0.25	0.163937208315656	0.220582877959927
0.35	0.3	0.139838778107764	0.19016393442623
0.35	0.35	0.11302503182011	0.152094717668488
0.35	0.4	0.097496817988969	0.131511839708561
0.35	0.45	0.0828171404327535	0.114389799635701
0.35	0.5	0.0717013152312261	0.0989071038251366
0.35	0.55	0.06194314806958	0.0859744990892532
0.35	0.6	0.0539669070852779	0.0750455373406193
0.35	0.65	0.0428510818837505	0.059016393442623
0.35	0.7	0.0358930844293594	0.0484517304189435
0.35	0.75	0.0274077216801018	0.0367941712204007
0.35	0.8	0.0206194314806958	0.0265938069216758
0.35	0.85	0.0131523122613492	0.0169398907103825
0.4	0.05	0.165040305473059	0.223132969034608
0.4	0.1	0.160543063215952	0.217486338797814
0.4	0.15	0.155282138311413	0.210928961748634
0.4	0.2	0.147475604582096	0.200364298724954
0.4	0.25	0.140093338990242	0.191074681238616
0.4	0.3	0.120237590156979	0.166120218579235
0.4	0.35	0.0991938905388205	0.134244080145719
0.4	0.4	0.0845990666100976	0.116211293260474
0.4	0.45	0.0751803139584217	0.104553734061931
0.4	0.5	0.0651675859142978	0.0901639344262295
0.4	0.55	0.0565973695375477	0.0785063752276867
0.4	0.6	0.0493848112006788	0.068488160291439
0.4	0.65	0.0398812049215104	0.0546448087431694
0.4	0.7	0.0342808655070004	0.0460837887067395
0.4	0.75	0.0263046245226983	0.034608378870674
0.4	0.8	0.018582944420874	0.0240437158469945
0.4	0.85	0.0116249469664828	0.0147540983606557
0.45	0.05	0.122358930844294	0.166120218579235
0.45	0.1	0.118540517607128	0.16120218579235
0.45	0.15	0.113534153585066	0.154098360655738
0.45	0.2	0.10445481544336	0.14207650273224
0.45	0.25	0.0942723801442512	0.126229508196721
0.45	0.3	0.0768773865082732	0.105828779599271
0.45	0.35	0.0595672464997879	0.0832422586520947
0.45	0.4	0.0514212982605006	0.0704918032786885
0.45	0.45	0.0466694951209164	0.0633879781420765
0.45	0.5	0.0410691557064065	0.0548269581056466
0.45	0.55	0.0332626219770895	0.0451730418943534
0.45	0.6	0.0294442087399236	0.0398907103825137
0.45	0.65	0.0262197708952058	0.034608378870674
0.45	0.7	0.0224013576580399	0.0295081967213115
0.45	0.75	0.0134917267713195	0.0167577413479053
0.45	0.8	0.00873992363173526	0.0111111111111111
0.45	0.85	0.00627916843445057	0.00856102003642987
