Donor_sample	Xenium_slide	Kit
Br5941	A	Nevada
Br5529	A	Nevada
Br6222	A	Nevada
Br5426	A	Nevada
Br5415	A	Nevada
Br1691L	A	Nevada
Br1884	A	Nevada
Br1556	B	Nevada
Br5854L	B	Nevada
Br6476	B	Nevada
Br2305L	B	Nevada
Br3974	B	Nevada
Br0942	B	Nevada
Br6098	B	Nevada
Br0946	C	Alaska
Br5367	C	Alaska
Br1691	C	Alaska
Br5460	C	Alaska
Br2582	C	Alaska
Br1105	C	Alaska
Br5368	C	Alaska
Br6538	D	Alaska
Br1039	D	Alaska
Br6085	D	Alaska
Br2305	D	Alaska
Br1285	D	Alaska
Br6297	D	Alaska
Br5634	D	Alaska
Br1706	E	Colorado
Br6423	E	Colorado
Br1039L	E	Colorado
Br6119	E	Colorado
Br6263	E	Colorado
Br5854	E	Colorado
