rn	WebDivLabel
Br0942_aaaeanlo-1	endothelial_mural_16
Br0942_aaaeiamh-1	astrocytes_5
Br0942_aaafomlc-1	endothelial_mural_16
Br0942_aaakcioo-1	endothelial_mural_16
Br0942_aaalpdfg-1	inhibitory_4
Br0942_aaaockdi-1	endothelial_mural_16
Br0942_aaaolcmn-1	inhibitory_4
Br0942_aaapahoo-1	endothelial_mural_16
Br0942_aabaneke-1	endothelial_mural_16
Br0942_aabdfhdg-1	astrocytes_5
Br0942_aabfipca-1	endothelial_mural_16
Br0942_aablceee-1	inhibitory_4
Br0942_aacbbfjc-1	inhibitory_25
Br0942_aacbimod-1	inhibitory_4
Br0942_aacbkcke-1	inhibitory_4
Br0942_aacdndok-1	endothelial_mural_16
Br0942_aacfmepf-1	endothelial_mural_16
Br0942_aacimnlh-1	OPCs_27
Br0942_aackednl-1	neurons_ambiguous_2
Br0942_aackfgdg-1	endothelial_mural_16
Br0942_aackgbhn-1	astrocytes_5
Br0942_aacldppb-1	astrocytes_5
Br0942_aacnepcn-1	oligodendrocytes_28
Br0942_aadaecbk-1	inhibitory_4
Br0942_aadgpmno-1	neurons_ambiguous_2
Br0942_aadhmgao-1	oligodendrocytes_28
Br0942_aadjnefb-1	astrocytes_5
Br0942_aadkcnbk-1	astrocytes_5
Br0942_aaecgemh-1	endothelial_mural_16
Br0942_aaeeamje-1	oligodendrocytes_28
Br0942_aaegmifb-1	neurons_ambiguous_2
Br0942_aaejbccp-1	astrocytes_5
Br0942_aaennjfl-1	neurons_ambiguous_1
Br0942_aaepgmmg-1	neurons_ambiguous_2
Br0942_aafogcii-1	inhibitory_4
Br0942_aafpaole-1	inhibitory_4
Br0942_aagenghi-1	inhibitory_4
Br0942_aagfgjie-1	astrocytes_5
Br0942_aagiakca-1	endothelial_mural_16
Br0942_aagiogia-1	oligodendrocytes_28
Br0942_aagkeifg-1	inhibitory_4
Br0942_aagkhfmn-1	astrocytes_5
Br0942_aagokojo-1	neurons_ambiguous_2
Br0942_aagomehj-1	astrocytes_5
Br0942_aahbnnlm-1	endothelial_mural_16
Br0942_aahcaaba-1	neurons_ambiguous_2
Br0942_aahcfifp-1	oligodendrocytes_28
Br0942_aahcjchi-1	macrophages_microglia_15
Br0942_aahdcalc-1	endothelial_mural_16
Br0942_aahepkfe-1	endothelial_mural_16
Br0942_aahlngad-1	endothelial_mural_16
Br0942_aahmhdco-1	endothelial_mural_16
Br0942_aahomohe-1	endothelial_mural_16
Br0942_aahpdcgk-1	macrophages_microglia_15
Br0942_aaibdohp-1	macrophages_microglia_15
Br0942_aaicpmbl-1	neurons_ambiguous_2
Br0942_aaiebhgf-1	endothelial_mural_16
Br0942_aaigeppm-1	inhibitory_25
Br0942_aaikchii-1	neurons_ambiguous_2
Br0942_aaiomfbl-1	neurons_ambiguous_2
Br0942_aajaoamd-1	astrocytes_5
Br0942_aajfjjaf-1	macrophages_microglia_15
Br0942_aajgflja-1	neurons_ambiguous_1
Br0942_aajngnnj-1	endothelial_mural_16
Br0942_aajniaec-1	endothelial_mural_16
Br0942_aajoklgc-1	astrocytes_5
Br0942_aakaodjo-1	endothelial_mural_16
Br0942_aakbdmgf-1	endothelial_mural_16
Br0942_aakffhoh-1	endothelial_mural_16
Br0942_aakijdph-1	astrocytes_5
Br0942_aakkbmhc-1	astrocytes_5
Br0942_aakmfifb-1	astrocytes_5
Br0942_aakodilg-1	endothelial_mural_16
Br0942_aakpmoko-1	astrocytes_5
Br0942_aalaellm-1	astrocytes_5
Br0942_aaldfdkg-1	astrocytes_5
Br0942_aalhndcn-1	astrocytes_5
Br0942_aalibbng-1	endothelial_mural_16
Br0942_aalmdbgk-1	astrocytes_5
Br0942_aalniknk-1	neurons_ambiguous_2
Br0942_aaloigie-1	astrocytes_5
Br0942_aamefpnc-1	astrocytes_5
Br0942_aamfpmgj-1	astrocytes_5
Br0942_aamlmbfm-1	endothelial_mural_16
Br0942_aamneone-1	endothelial_mural_16
Br0942_aamonkif-1	inhibitory_4
Br0942_aampnbfi-1	astrocytes_5
Br0942_aanbjpbp-1	astrocytes_5
Br0942_aanbnoci-1	macrophages_microglia_15
Br0942_aanelakl-1	neurons_ambiguous_2
Br0942_aanfgock-1	inhibitory_25
Br0942_aanggjli-1	neurons_ambiguous_2
Br0942_aangholn-1	inhibitory_4
Br0942_aanigioh-1	endothelial_mural_16
Br0942_aanilcmo-1	inhibitory_14
Br0942_aanpajia-1	endothelial_mural_16
Br0942_aaocnipe-1	endothelial_mural_16
Br0942_aaogeple-1	endothelial_mural_16
Br0942_aaoiknnf-1	endothelial_mural_16
Br0942_aaoipjdj-1	astrocytes_5
Br0942_aaomdecm-1	endothelial_mural_16
Br0942_aaongglf-1	astrocytes_5
Br0942_aapaaahk-1	neurons_ambiguous_2
Br0942_aapccjkk-1	endothelial_mural_16
Br0942_aapcjagn-1	inhibitory_4
Br0942_aapfcpnj-1	inhibitory_4
Br0942_aapgdhak-1	astrocytes_5
Br0942_aaphpeog-1	inhibitory_4
Br0942_aapmbajo-1	inhibitory_4
Br0942_aapmkdkl-1	inhibitory_4
Br0942_aapmnofo-1	endothelial_mural_16
Br0942_aapnfecf-1	endothelial_mural_16
Br0942_ababonik-1	oligodendrocytes_28
Br0942_abaehplk-1	inhibitory_4
Br0942_abafehdm-1	neurons_ambiguous_2
Br0942_abaihkhm-1	astrocytes_5
Br0942_abamobkb-1	neurons_ambiguous_2
Br0942_abanmljb-1	inhibitory_25
Br0942_abanocpb-1	neurons_ambiguous_2
Br0942_abaogdkp-1	neurons_ambiguous_2
Br0942_abbdeojn-1	inhibitory_25
Br0942_abbfddfa-1	endothelial_mural_16
Br0942_abblbdlk-1	inhibitory_25
Br0942_abbmjlnp-1	neurons_ambiguous_2
Br0942_abbnknib-1	neurons_ambiguous_2
Br0942_abbnkome-1	neurons_ambiguous_2
Br0942_abcbgpff-1	macrophages_microglia_15
Br0942_abcdikok-1	macrophages_microglia_15
Br0942_abcelnfp-1	neurons_ambiguous_1
Br0942_abciphhc-1	endothelial_mural_16
Br0942_abclekka-1	endothelial_mural_16
Br0942_abcpocbe-1	macrophages_microglia_15
Br0942_abdajahf-1	endothelial_mural_16
Br0942_abdckpih-1	astrocytes_5
Br0942_abdfcfdb-1	astrocytes_5
Br0942_abdgkmdm-1	astrocytes_5
Br0942_abdmoppg-1	endothelial_mural_16
Br0942_abecjbne-1	astrocytes_5
Br0942_abegmkgi-1	astrocytes_5
Br0942_abejhlph-1	astrocytes_5
Br0942_abeohegf-1	endothelial_mural_16
Br0942_abeolcol-1	astrocytes_5
Br0942_abeomaid-1	astrocytes_5
Br0942_abfempil-1	astrocytes_5
Br0942_abffaoil-1	astrocytes_5
Br0942_abfghkad-1	astrocytes_5
Br0942_abfieoaa-1	astrocytes_5
Br0942_abfjelfd-1	astrocytes_5
Br0942_abfjljbl-1	astrocytes_5
Br0942_abfjmamo-1	neurons_ambiguous_2
Br0942_abfnpjfc-1	endothelial_mural_16
Br0942_abgeppmh-1	endothelial_mural_16
Br0942_abgjabag-1	endothelial_mural_16
Br0942_abgkfgbo-1	endothelial_mural_16
Br0942_abgldpjb-1	endothelial_mural_16
Br0942_abgneanm-1	neurons_ambiguous_2
Br0942_abhcfdik-1	endothelial_mural_16
Br0942_abhdlhad-1	OPCs_27
Br0942_abhebffh-1	neurons_ambiguous_2
Br0942_abhedgkm-1	neurons_ambiguous_2
Br0942_abheinkc-1	neurons_ambiguous_2
Br0942_abhekame-1	endothelial_mural_16
Br0942_abhggbmh-1	astrocytes_5
Br0942_abhhdfbg-1	neurons_ambiguous_2
Br0942_abhimkhl-1	neurons_ambiguous_2
Br0942_abhjikhg-1	astrocytes_5
Br0942_abhlgabj-1	astrocytes_5
Br0942_abhpkdom-1	OPCs_27
Br0942_abibkpmn-1	astrocytes_5
Br0942_abicdlhb-1	neurons_ambiguous_2
Br0942_abideplj-1	neurons_ambiguous_2
Br0942_abifahkk-1	astrocytes_5
Br0942_abigbmmk-1	macrophages_microglia_15
Br0942_abiiegmo-1	astrocytes_5
Br0942_abilifkn-1	oligodendrocytes_10
Br0942_abinpkhj-1	astrocytes_5
Br0942_abjigffh-1	astrocytes_5
Br0942_abjjlpdo-1	neurons_ambiguous_2
Br0942_abjncooj-1	astrocytes_5
Br0942_abjpmjeg-1	neurons_ambiguous_2
Br0942_abkdcgpm-1	astrocytes_5
Br0942_abkioddf-1	endothelial_mural_16
Br0942_abkjnpcj-1	neurons_ambiguous_2
Br0942_abkkncfc-1	oligodendrocytes_10
Br0942_abkmmlgp-1	inhibitory_25
Br0942_abknipjo-1	endothelial_mural_16
Br0942_ablcelik-1	oligodendrocytes_10
Br0942_ablfabgc-1	neurons_ambiguous_2
