k1	k2thresh	N
0.04	0.36	1
0.04	0.44	3
0.04	0.453333333333333	3
0.04	0.466666666666667	3
0.04	0.48	3
0.04	0.52	4
0.04	0.533333333333333	3
0.04	0.546666666666667	3
0.04	0.56	3
0.04	0.573333333333333	3
0.04	0.586666666666667	3
0.04	0.6	3
0.04	0.68	2
0.04	0.493333333333333	2
0.04	0.506666666666667	2
0.04	0.76	1
0.08	0.2	1
0.08	0.28	1
0.08	0.36	3
0.08	0.413333333333333	3
0.08	0.466666666666667	4
0.08	0.493333333333333	2
0.08	0.506666666666667	2
0.08	0.52	4
0.08	0.44	3
0.08	0.453333333333333	3
0.08	0.48	3
0.08	0.6	1
0.08	0.373333333333333	2
0.08	0.386666666666667	2
0.08	0.4	2
0.08	0.426666666666667	2
0.08	0.493333333333333	2
0.08	0.506666666666667	2
0.12	0.04	1
0.12	0.12	1
0.12	0.2	2
0.12	0.28	3
0.12	0.293333333333333	3
0.12	0.306666666666667	3
0.12	0.32	3
0.12	0.333333333333333	3
0.12	0.346666666666667	3
0.12	0.36	2
0.12	0.373333333333333	2
0.12	0.386666666666667	2
0.12	0.4	2
0.12	0.413333333333333	2
0.12	0.426666666666667	2
0.12	0.44	3
0.12	0.52	1
0.12	0.6	1
0.12	0.36	1
0.16	0.36	3
0.16	0.413333333333333	2
0.16	0.44	3
0.16	0.453333333333333	2
0.16	0.466666666666667	2
0.16	0.48	2
0.16	0.52	2
0.16	0.2	1
0.16	0.28	3
0.16	0.293333333333333	3
0.16	0.306666666666667	3
0.16	0.32	3
0.16	0.333333333333333	3
0.16	0.346666666666667	3
0.16	0.6	1
0.2	0.12	2
0.2	0.2	1
0.2	0.28	2
0.2	0.293333333333333	2
0.2	0.32	2
0.2	0.333333333333333	2
0.2	0.346666666666667	2
0.2	0.36	1
0.2	0.44	2
0.2	0.52	1
0.2	0.6	1
