rn	clust_M0_lam0.2_k25_kgeom30_res1	clust_M0_lam0.2_k50_kgeom30_res1	clust_M0_lam0.2_k100_kgeom30_res1
Br0942_aainlokl-1	X4	X2	X2
Br0942_aajajfpe-1	X4	X15	X13
Br0942_aajeehih-1	X2	X2	X2
Br0942_aajekkni-1	X15	X14	X12
Br0942_aajjehbk-1	X1	X1	X1
Br0942_aajkbcja-1	X1	X1	X1
Br0942_aajohlff-1	X9	X9	X14
Br0942_aakaieeo-1	X15	X14	X12
Br0942_aakhbnmo-1	X9	X9	X14
Br0942_aakhdiog-1	X1	X1	X1
Br0942_aakmdjfb-1	X9	X9	X14
Br0942_aaknahcp-1	X13	X13	X9
Br0942_aakngnne-1	X1	X1	X1
Br0942_aalcaddl-1	X13	X13	X9
Br0942_aaldgmni-1	X6	X6	X5
Br0942_aaldmloo-1	X3	X4	X15
Br0942_aalgnjpe-1	X12	X11	X16
Br0942_aalhodki-1	X10	X12	X8
Br0942_aalpifbn-1	X5	X5	X4
Br0942_aamenhfe-1	X10	X12	X8
Br0942_aamhmnpl-1	X13	X13	X9
Br0942_aamnfani-1	X1	X1	X1
Br0942_aamnmbkc-1	X5	X5	X4
Br0942_aanepmli-1	X1	X1	X1
Br0942_aanfffko-1	X1	X1	X1
Br0942_aanjaomf-1	X13	X13	X9
Br0942_aankbhfh-1	X13	X13	X9
Br0942_aanklohc-1	X12	X11	X10
Br0942_aankoeam-1	X1	X1	X1
Br0942_aaoacjme-1	X13	X11	X10
Br0942_aaochhko-1	X9	X9	X14
Br0942_aaofojbi-1	X13	X13	X9
Br0942_aaogadfi-1	X13	X13	X9
Br0942_aaokdmkh-1	X13	X13	X9
Br0942_aaomdlfj-1	X13	X1	X1
Br0942_aapabbdi-1	X1	X1	X1
Br0942_aapagfhl-1	X14	X4	X9
Br0942_aapbmiph-1	X9	X16	X9
Br0942_aapcllcf-1	X13	X13	X9
Br0942_aapconhm-1	X1	X1	X1
Br0942_aapdaghj-1	X13	X13	X9
Br0942_aapeflgp-1	X17	X11	X10
Br0942_aapejolc-1	X7	X4	X6
Br0942_aapemnce-1	X3	X4	X3
Br0942_aaphaejm-1	X3	X3	X3
Br0942_aapkidlg-1	X3	X3	X3
Br0942_aapkpfoe-1	X3	X3	X3
Br0942_aapmkepf-1	X3	X3	X3
Br0942_aapoplgg-1	X3	X3	X3
Br0942_abacbnce-1	X3	X3	X3
Br0942_abagbcik-1	X17	X11	X9
Br0942_abaipkje-1	X14	X4	X3
Br0942_abakbonb-1	X14	X4	X11
Br0942_abaknmkf-1	X2	X2	X3
Br0942_abangnbh-1	X1	X1	X1
Br0942_abapdemj-1	X1	X1	X1
Br0942_abbeplab-1	X3	X3	X3
Br0942_abbflkli-1	X17	X11	X10
Br0942_abbiencc-1	X18	X17	X6
Br0942_abbljfcl-1	X3	X3	X3
Br0942_abbmpknc-1	X3	X3	X3
Br0942_abboagbh-1	X3	X3	X3
Br0942_abbokmdb-1	X3	X3	X3
Br0942_abcahnhp-1	X18	X17	X6
Br0942_abcckpmo-1	X3	X3	X3
Br0942_abcdmicg-1	X12	X11	X10
Br0942_abcklaln-1	X17	X11	X10
Br0942_abcnplba-1	X17	X11	X10
Br0942_abcoofph-1	X9	X9	X14
Br0942_abdcgepi-1	X9	X9	X14
Br0942_abdfilpe-1	X17	X11	X10
Br0942_abdibppk-1	X14	X4	X9
Br0942_abeakpjh-1	X1	X1	X1
Br0942_abeeejdn-1	X9	X9	X14
Br0942_abeefalc-1	X9	X9	X14
Br0942_abeefice-1	X9	X9	X14
Br0942_abeemfaj-1	X14	X4	X6
Br0942_abejphej-1	X1	X1	X1
Br0942_abelfjdm-1	X1	X1	X1
Br0942_abeohkic-1	X10	X10	X8
Br0942_abeojchi-1	X6	X6	X5
Br0942_abfafokp-1	X2	X2	X2
Br0942_abfaihpm-1	X1	X1	X1
Br0942_abfbefcd-1	X13	X13	X9
Br0942_abfcdnhi-1	X13	X13	X9
Br0942_abfkmpbn-1	X13	X13	X9
Br0942_abflcblg-1	X13	X13	X9
Br0942_abfmhdnc-1	X10	X12	X8
Br0942_abfmhmej-1	X12	X11	X9
Br0942_abfnflpa-1	X12	X11	X9
Br0942_abgepkde-1	X12	X11	X9
Br0942_abghlggh-1	X1	X1	X1
Br0942_abghmfgc-1	X13	X13	X1
Br0942_abgjfccd-1	X5	X5	X4
Br0942_abhaekbc-1	X13	X13	X9
Br0942_abhcclgh-1	X13	X13	X9
Br0942_abhikdpm-1	X13	X13	X9
Br0942_abhkonnb-1	X13	X13	X9
Br0942_abhllnlk-1	X13	X13	X9
Br0942_abhlohfb-1	X1	X1	X1
Br0942_abhodieo-1	X5	X5	X4
Br0942_abifdlme-1	X10	X12	X8
Br0942_abijacii-1	X1	X1	X1
Br0942_abijcank-1	X10	X10	X8
Br0942_abikiiii-1	X19	X6	X5
Br0942_abjbjnkg-1	X2	X2	X2
Br0942_abjccmad-1	X1	X1	X1
Br0942_abjdhcge-1	X1	X1	X1
Br0942_abjffjhj-1	X5	X5	X4
Br0942_abjgdkmj-1	X13	X13	X9
Br0942_abjhddog-1	X13	X13	X9
Br0942_abjjhhni-1	X1	X1	X1
Br0942_abjkhghm-1	X13	X13	X9
Br0942_abjmanaj-1	X13	X11	X9
Br0942_abjoocag-1	X13	X13	X9
Br0942_abkcfdbp-1	X13	X13	X9
Br0942_abkeobpf-1	X13	X13	X9
Br0942_abkfjldd-1	X13	X13	X9
Br0942_abkidjio-1	X5	X5	X4
Br0942_abkmcjbo-1	X13	X13	X9
Br0942_abkoaoda-1	X13	X13	X9
Br0942_ablalagm-1	X13	X13	X9
Br0942_ablbojmg-1	X13	X13	X9
Br0942_ablgnpgn-1	X1	X1	X1
Br0942_ablimaaa-1	X13	X13	X9
Br0942_abljpjdp-1	X10	X18	X15
Br0942_ablkmkmd-1	X13	X13	X9
Br0942_ablnofdm-1	X13	X13	X9
Br0942_abloncaj-1	X13	X13	X9
Br0942_ablpnhfd-1	X13	X13	X9
Br0942_abmchgif-1	X8	X7	X7
Br0942_abmgpeen-1	X13	X13	X9
Br0942_abmgpjjh-1	X13	X1	X1
Br0942_abmidkhh-1	X13	X13	X9
Br0942_abminlnc-1	X10	X18	X8
Br0942_abnaloig-1	X5	X5	X4
Br0942_abncgngc-1	X2	X2	X2
Br0942_abndaggn-1	X10	X18	X8
Br0942_abngfekj-1	X13	X13	X9
Br0942_abnmbhkk-1	X12	X13	X9
Br0942_abnncpnn-1	X13	X13	X9
Br0942_abnnfpmc-1	X13	X13	X1
Br0942_abnpfcoa-1	X1	X1	X1
Br0942_abpcdece-1	X13	X13	X9
Br0942_abpejcnd-1	X13	X1	X1
Br0942_abpfechc-1	X13	X1	X1
Br0942_abpjbopi-1	X13	X13	X9
Br0942_abplicki-1	X13	X13	X9
Br0942_abplnkbf-1	X13	X13	X9
Br0942_abpmjhmo-1	X13	X13	X9
Br0942_abpmncio-1	X13	X13	X1
Br0942_abpnapkl-1	X13	X13	X9
Br0942_acabcnpm-1	X13	X13	X9
Br0942_acalloki-1	X18	X17	X6
Br0942_acaniken-1	X9	X9	X14
Br0942_acbofijh-1	X17	X11	X10
Br0942_acbpmdkk-1	X9	X9	X14
Br0942_accbejnc-1	X9	X9	X14
Br0942_accdbcji-1	X12	X11	X10
Br0942_accfinfk-1	X3	X4	X15
Br0942_acchkaci-1	X1	X1	X1
Br0942_accjlhji-1	X12	X11	X10
Br0942_accmadkd-1	X1	X1	X1
Br0942_accmcfkp-1	X10	X18	X8
Br0942_accoikfg-1	X13	X1	X1
Br0942_acdapnjj-1	X13	X1	X11
Br0942_acdlgodf-1	X10	X12	X8
Br0942_acdmdfmp-1	X5	X5	X4
Br0942_acdoeogj-1	X5	X5	X4
Br0942_aceabooe-1	X10	X12	X8
Br0942_acebkgmi-1	X6	X6	X5
Br0942_acecfgdf-1	X1	X1	X1
Br0942_acecmiho-1	X6	X6	X5
Br0942_acedhhbe-1	X2	X2	X2
Br0942_aceglcgm-1	X2	X2	X2
Br0942_acepamam-1	X17	X11	X10
Br0942_acfajcho-1	X2	X2	X2
Br0942_acfboffc-1	X3	X4	X3
Br0942_acfcaklh-1	X9	X9	X14
Br0942_acfdcmmp-1	X18	X17	X6
Br0942_acffpanp-1	X7	X8	X17
Br0942_acfgaeil-1	X9	X9	X14
Br0942_acfgpocp-1	X8	X7	X7
Br0942_acfhnojn-1	X1	X1	X1
Br0942_acflkihh-1	X8	X7	X7
Br0942_acfnncec-1	X1	X1	X1
Br0942_acgagjef-1	X1	X1	X1
Br0942_acgbigml-1	X16	X12	X8
Br0942_acgblghj-1	X17	X11	X10
Br0942_acgfgimd-1	X2	X2	X2
Br0942_acgieheg-1	X9	X9	X14
Br0942_acgpcaod-1	X9	X9	X14
Br0942_acgpldgf-1	X16	X12	X8
Br0942_achhghnp-1	X20	X18	X15
Br0942_acibnhog-1	X8	X7	X7
Br0942_acidagkg-1	X8	X7	X7
Br0942_aciemiel-1	X3	X4	X3
Br0942_acigccoe-1	X3	X4	X3
Br0942_acjdnoem-1	X21	X19	X10
Br0942_acjnnbmp-1	X8	X7	X7
Br0942_acjpgbkm-1	X9	X9	X14
Br0942_ackbndik-1	X12	X11	X10
Br0942_ackbphpn-1	X17	X11	X10
Br0942_ackddclh-1	X17	X11	X10
Br0942_ackhaohl-1	X3	X4	X3
Br0942_ackidnfh-1	X2	X2	X2
Br0942_ackkcjcc-1	X8	X7	X14
Br0942_ackkgkmg-1	X9	X9	X14
Br0942_ackmpljg-1	X10	X12	X8
Br0942_acknapge-1	X14	X4	X11
Br0942_acknjnhh-1	X5	X5	X4
Br0942_ackopobl-1	X12	X11	X10
Br0942_aclahofb-1	X17	X11	X10
Br0942_aclaiink-1	X13	X1	X1
Br0942_acldpigj-1	X9	X9	X6
Br0942_aclgihjm-1	X17	X11	X10
Br0942_acljhign-1	X17	X11	X10
Br0942_acmcmgmk-1	X3	X4	X3
Br0942_acmcoabh-1	X14	X4	X11
Br0942_acmdklbn-1	X9	X4	X6
Br0942_acmebonf-1	X17	X11	X10
Br0942_acmemddg-1	X17	X11	X10
Br0942_acmhglbd-1	X17	X11	X10
Br0942_acnboaon-1	X8	X7	X7
Br0942_acnckhhd-1	X8	X7	X7
Br0942_acneffod-1	X8	X7	X7
Br0942_acnfhdjm-1	X18	X17	X6
Br0942_acnmalge-1	X18	X17	X6
Br0942_acnmbpdk-1	X9	X9	X14
Br0942_acofdjaf-1	X18	X4	X3
Br0942_acofneic-1	X9	X4	X6
Br0942_acoggola-1	X14	X4	X10
Br0942_acoicfga-1	X22	X12	X15
Br0942_acommeae-1	X17	X11	X10
Br0942_acpeamnm-1	X22	X12	X15
Br0942_acpgjjop-1	X9	X4	X6
Br0942_acpjkcem-1	X1	X1	X1
Br0942_acplicim-1	X9	X9	X14
Br0942_acpoiihb-1	X22	X12	X15
Br0942_adajiikf-1	X9	X9	X14
Br0942_adamppab-1	X20	X18	X15
Br0942_adangabf-1	X22	X1	X1
Br0942_adbhnbbh-1	X2	X2	X2
Br0942_adbjbonh-1	X9	X9	X14
Br0942_adbjlccj-1	X9	X9	X14
Br0942_adbjmoma-1	X1	X1	X1
Br0942_adbkmkpo-1	X16	X12	X8
Br0942_adblgmog-1	X1	X1	X1
Br0942_adblldjh-1	X17	X11	X10
Br0942_adbndpnd-1	X2	X2	X2
Br0942_adbpkphp-1	X20	X18	X8
Br0942_adcbflbj-1	X14	X4	X10
Br0942_adcdnafm-1	X18	X17	X8
Br0942_addodcjf-1	X10	X18	X8
Br0942_adecbagj-1	X17	X11	X10
Br0942_adecfnlp-1	X17	X11	X10
Br0942_adecoboj-1	X8	X7	X7
Br0942_adegcogp-1	X1	X1	X1
Br0942_adeojgbi-1	X17	X11	X10
Br0942_adfackmp-1	X17	X11	X10
Br0942_adflenkh-1	X8	X7	X7
Br0942_adgbhbaj-1	X1	X9	X6
Br0942_adglkmkd-1	X1	X1	X1
Br0942_adgnjgao-1	X12	X11	X16
Br0942_adhdfkkc-1	X5	X5	X4
Br0942_adhdldao-1	X10	X12	X8
Br0942_adhflpfm-1	X2	X2	X2
Br0942_adhjfopf-1	X17	X11	X10
Br0942_adhldhgk-1	X1	X1	X1
Br0942_adhlndne-1	X12	X11	X10
Br0942_adholoaf-1	X14	X11	X10
Br0942_adhpbaoj-1	X12	X11	X10
Br0942_adhpkaaj-1	X13	X11	X9
Br0942_adididge-1	X17	X11	X10
Br0942_adjdbnol-1	X9	X9	X14
Br0942_adjkfhlj-1	X17	X11	X10
Br0942_adjlingo-1	X17	X11	X10
Br0942_adjpjphl-1	X17	X11	X10
Br0942_adknjlnb-1	X12	X11	X10
Br0942_adlafpca-1	X9	X9	X14
Br0942_adlckomh-1	X1	X1	X1
Br0942_adldofhm-1	X5	X5	X4
Br0942_adldppga-1	X10	X12	X8
Br0942_adledhej-1	X10	X10	X8
Br0942_adlhnfnj-1	X13	X11	X9
Br0942_adlmmada-1	X1	X1	X1
Br0942_adlngbpe-1	X13	X13	X9
Br0942_adlociln-1	X13	X13	X9
Br0942_adlomfpn-1	X13	X13	X9
Br0942_adlpicoc-1	X6	X6	X5
Br0942_adlpodhi-1	X12	X11	X16
Br0942_admeljba-1	X10	X12	X8
Br0942_admgoaeo-1	X12	X11	X11
Br0942_admimppm-1	X1	X1	X1
Br0942_admkdhnh-1	X5	X5	X4
Br0942_admkjkpl-1	X10	X12	X8
Br0942_adnchddc-1	X13	X11	X9
Br0942_adnfgglm-1	X1	X1	X1
Br0942_adnhacpm-1	X1	X1	X1
Br0942_adnlcgpa-1	X1	X1	X1
Br0942_adnneplc-1	X13	X13	X9
Br0942_adnobdlf-1	X10	X18	X15
Br0942_adogkbnl-1	X13	X11	X9
Br0942_adohiopl-1	X10	X10	X8
Br0942_adokbemb-1	X5	X5	X4
Br0942_adolpggc-1	X9	X9	X14
Br0942_adpdmham-1	X1	X1	X1
Br0942_adphkien-1	X13	X11	X9
