rn	clust_M0_lam0.2_k25_kgeom30_res1	clust_M0_lam0.2_k50_kgeom30_res1	clust_M0_lam0.2_k100_kgeom30_res1
Br0942_dclhokfe-1	X13	X13	X9
Br0942_dclohmji-1	X13	X13	X9
Br0942_dclpcglf-1	X1	X1	X1
Br0942_dclponll-1	X4	X1	X1
Br0942_dcmbefbd-1	X10	X10	X8
Br0942_dcmiecdn-1	X19	X6	X13
Br0942_dcmkdjko-1	X4	X2	X2
Br0942_dcmnfepk-1	X6	X6	X5
Br0942_dcmngihn-1	X4	X15	X13
Br0942_dcnbhifa-1	X4	X2	X2
Br0942_dcnpfopl-1	X4	X15	X13
Br0942_dcodkapg-1	X1	X1	X1
Br0942_dcofidfp-1	X4	X2	X2
Br0942_dcojlgoa-1	X4	X2	X2
Br0942_dcoofcpa-1	X10	X12	X8
Br0942_dcpacnko-1	X9	X9	X6
Br0942_dcpicejm-1	X12	X11	X10
Br0942_ddabidok-1	X13	X11	X9
Br0942_ddaeaaan-1	X5	X5	X4
Br0942_ddakpphf-1	X11	X11	X9
Br0942_ddamfdfm-1	X9	X9	X14
Br0942_ddanknfp-1	X5	X5	X4
Br0942_ddbaoghn-1	X19	X6	X13
Br0942_ddbdeedj-1	X2	X2	X2
Br0942_ddcaheak-1	X6	X6	X5
Br0942_ddcdknfb-1	X19	X2	X2
Br0942_ddckidgb-1	X13	X13	X9
Br0942_ddcmmhac-1	X10	X10	X8
Br0942_dddclail-1	X1	X1	X1
Br0942_dddekhdc-1	X5	X5	X4
Br0942_ddeahjgk-1	X1	X1	X1
Br0942_ddebhhhi-1	X17	X11	X10
Br0942_ddeblkbh-1	X17	X11	X9
Br0942_ddeedngm-1	X17	X11	X9
Br0942_ddencbgh-1	X14	X4	X6
Br0942_ddfbpkel-1	X1	X1	X1
Br0942_ddfdjpkn-1	X8	X7	X7
Br0942_ddfibili-1	X1	X1	X1
Br0942_ddflgfjd-1	X8	X7	X7
Br0942_ddfpnmhh-1	X18	X17	X6
Br0942_ddgabgkc-1	X16	X12	X8
Br0942_ddgbobhk-1	X8	X7	X7
Br0942_ddgcdnep-1	X1	X1	X1
Br0942_ddgiakga-1	X1	X1	X1
Br0942_ddgmalpl-1	X17	X11	X9
Br0942_ddhchnah-1	X1	X1	X1
Br0942_ddhjoeei-1	X8	X7	X7
Br0942_ddhligdc-1	X5	X5	X4
Br0942_ddhpjopa-1	X8	X7	X7
Br0942_ddigkane-1	X10	X12	X8
Br0942_ddiojffh-1	X1	X1	X1
Br0942_ddjdbjaa-1	X1	X1	X1
Br0942_ddjimhce-1	X18	X17	X6
Br0942_ddjjfncj-1	X8	X7	X7
Br0942_ddjjpabp-1	X8	X7	X7
Br0942_ddjkodfg-1	X4	X2	X2
Br0942_ddjohfha-1	X5	X5	X4
Br0942_ddkbohla-1	X1	X1	X1
Br0942_ddkcgdbg-1	X13	X11	X9
Br0942_ddkeecjb-1	X1	X1	X1
Br0942_ddkhdelg-1	X17	X11	X9
Br0942_ddklegin-1	X1	X1	X1
Br0942_ddklfjfm-1	X13	X11	X9
Br0942_ddkmmnmb-1	X10	X10	X8
Br0942_ddlaflla-1	X1	X1	X1
Br0942_ddlfdfkm-1	X17	X11	X10
Br0942_ddlihhgc-1	X17	X11	X10
Br0942_ddlipjhh-1	X17	X11	X10
Br0942_ddmccjdo-1	X16	X12	X8
Br0942_ddmdgkhk-1	X8	X7	X7
Br0942_ddmeabpg-1	X1	X1	X1
Br0942_ddmgbodb-1	X13	X13	X9
Br0942_ddmgejfg-1	X13	X4	X9
Br0942_ddmlbplo-1	X17	X11	X9
Br0942_ddnbcebe-1	X13	X11	X10
Br0942_ddnimkbp-1	X17	X11	X10
Br0942_ddnjehim-1	X10	X12	X8
Br0942_ddnmohhi-1	X10	X12	X8
Br0942_ddobifpo-1	X17	X11	X10
Br0942_ddodipdj-1	X1	X1	X1
Br0942_ddogdbdd-1	X17	X11	X9
Br0942_ddojobng-1	X1	X1	X1
Br0942_ddokbbhd-1	X5	X5	X4
Br0942_ddonngaj-1	X8	X7	X7
Br0942_ddpaobom-1	X13	X11	X9
Br0942_ddpeihof-1	X1	X1	X1
Br0942_ddphghoj-1	X13	X13	X9
Br0942_ddpkoljp-1	X1	X1	X1
Br0942_ddpmopjo-1	X1	X1	X1
Br0942_ddpopkfd-1	X13	X11	X9
Br0942_ddppbebo-1	X17	X11	X10
Br0942_ddppmmbo-1	X5	X5	X4
Br0942_deakkbpj-1	X17	X11	X10
Br0942_dealbfbm-1	X20	X4	X6
Br0942_deamopih-1	X17	X11	X9
Br0942_deanbplb-1	X20	X18	X15
Br0942_deapihbl-1	X23	X4	X3
Br0942_debbbhfa-1	X8	X7	X7
Br0942_debdljhl-1	X2	X2	X2
Br0942_debhclif-1	X23	X16	X18
Br0942_debhdkbb-1	X17	X11	X10
Br0942_debihjii-1	X1	X1	X1
Br0942_debjbdpl-1	X17	X11	X10
Br0942_debkogpi-1	X1	X1	X1
Br0942_deblkjih-1	X8	X7	X7
Br0942_debmnfla-1	X8	X7	X7
Br0942_debpcljk-1	X5	X5	X4
Br0942_debpglob-1	X17	X11	X10
Br0942_decbibgo-1	X1	X1	X1
Br0942_dechkhcm-1	X1	X1	X1
Br0942_decifcoi-1	X17	X11	X9
Br0942_decjhbam-1	X1	X1	X1
Br0942_deckioon-1	X17	X11	X9
Br0942_decknhja-1	X15	X14	X12
Br0942_decnfmbe-1	X8	X7	X7
Br0942_decoehcj-1	X1	X1	X1
Br0942_dedlbilc-1	X1	X1	X9
Br0942_dednengo-1	X1	X1	X1
Br0942_dedppnbe-1	X1	X1	X1
Br0942_deeaeanl-1	X13	X11	X9
Br0942_deefojil-1	X1	X1	X1
Br0942_deegahad-1	X1	X1	X1
Br0942_deempinm-1	X15	X14	X12
Br0942_deeooaca-1	X10	X12	X8
Br0942_defhcfka-1	X17	X11	X10
Br0942_defhfbbo-1	X13	X13	X9
Br0942_defjfadn-1	X1	X1	X1
Br0942_defocged-1	X4	X2	X2
Br0942_degbcmeb-1	X8	X7	X6
Br0942_degggdba-1	X10	X10	X3
Br0942_degihpkg-1	X5	X5	X4
Br0942_degmkccd-1	X1	X1	X1
Br0942_degpamic-1	X16	X12	X8
Br0942_dehadmba-1	X18	X12	X6
Br0942_dehakkfa-1	X8	X7	X7
Br0942_dehcimhb-1	X18	X17	X6
Br0942_dehdmaoj-1	X11	X11	X9
Br0942_dehiokll-1	X2	X2	X2
Br0942_dehkflik-1	X6	X6	X5
Br0942_dehndkfe-1	X19	X2	X2
Br0942_deibppmj-1	X10	X10	X15
Br0942_deicdagd-1	X19	X6	X13
Br0942_deifdiel-1	X6	X6	X5
Br0942_deijccgm-1	X19	X2	X2
Br0942_deijkgmd-1	X8	X7	X7
Br0942_deiphnob-1	X19	X6	X13
Br0942_dejbhfof-1	X15	X14	X2
Br0942_dejdocpn-1	X10	X10	X8
Br0942_dejglamd-1	X18	X10	X8
Br0942_dejjjgnj-1	X5	X5	X4
Br0942_dejlcacm-1	X10	X10	X8
Br0942_dejokdkg-1	X14	X4	X10
Br0942_dejpabed-1	X8	X7	X7
Br0942_dekdinbk-1	X14	X4	X6
Br0942_dekfdnfj-1	X1	X1	X1
Br0942_dekhhcmh-1	X17	X11	X10
Br0942_dekhmiad-1	X8	X7	X7
Br0942_dekkgfdi-1	X18	X17	X15
Br0942_delcocod-1	X17	X11	X10
Br0942_deleecog-1	X5	X5	X4
Br0942_delgfiba-1	X5	X5	X4
Br0942_delhkdfm-1	X5	X5	X4
Br0942_deligpcf-1	X20	X18	X15
Br0942_delmmihi-1	X17	X11	X10
Br0942_delncbdo-1	X8	X7	X7
Br0942_demdiono-1	X20	X12	X15
Br0942_demglgcn-1	X11	X11	X9
Br0942_demgnbdc-1	X11	X4	X3
Br0942_demieamc-1	X1	X1	X1
Br0942_demjcdij-1	X9	X9	X6
Br0942_demjohci-1	X14	X4	X3
Br0942_demolgmf-1	X17	X4	X10
Br0942_denalpkl-1	X17	X11	X10
Br0942_denhapmg-1	X5	X5	X4
Br0942_deoappci-1	X20	X18	X15
Br0942_deoimgbh-1	X1	X1	X1
Br0942_deooehaf-1	X16	X12	X8
Br0942_deoolcal-1	X16	X12	X8
Br0942_depfohpm-1	X14	X19	X16
Br0942_depfomif-1	X17	X11	X10
Br0942_depimhec-1	X5	X5	X4
Br0942_depjndbo-1	X8	X7	X7
Br0942_deplkghf-1	X16	X12	X8
Br0942_depniljc-1	X16	X12	X8
Br0942_deppcfdg-1	X20	X17	X6
Br0942_dfahghjo-1	X8	X7	X7
Br0942_dfahicec-1	X8	X7	X7
Br0942_dfanejpc-1	X8	X7	X7
Br0942_dfanomag-1	X19	X2	X2
Br0942_dfapdiji-1	X5	X5	X4
Br0942_dfbbneic-1	X10	X12	X8
Br0942_dfbdgjld-1	X19	X2	X2
Br0942_dfbjpcml-1	X6	X6	X5
Br0942_dfbneefl-1	X19	X2	X2
Br0942_dfcaoekc-1	X4	X15	X13
Br0942_dfcdlhkj-1	X6	X6	X5
Br0942_dfcfnngb-1	X19	X2	X2
Br0942_dfcgdffe-1	X4	X6	X13
Br0942_dfcgmmhm-1	X3	X4	X3
Br0942_dfdabknl-1	X14	X4	X6
Br0942_dfdbcbjm-1	X13	X11	X9
Br0942_dfdfinhc-1	X2	X2	X2
Br0942_dfdfjdpf-1	X6	X2	X2
Br0942_dfdgnipg-1	X8	X7	X7
Br0942_dfdmfbdo-1	X6	X6	X5
Br0942_dfdnpfhj-1	X11	X11	X9
Br0942_dfdpkbii-1	X13	X13	X9
Br0942_dfebggaj-1	X10	X10	X8
Br0942_dfeenecg-1	X10	X10	X8
Br0942_dfefcmma-1	X8	X7	X7
Br0942_dfeokcci-1	X17	X11	X10
Br0942_dfepkekj-1	X1	X1	X1
Br0942_dffapbgj-1	X8	X7	X7
Br0942_dffbceld-1	X17	X11	X10
Br0942_dffgclfk-1	X5	X5	X4
Br0942_dffgjemb-1	X17	X11	X10
Br0942_dffnbfnl-1	X10	X17	X8
Br0942_dffnblfm-1	X1	X1	X1
Br0942_dfgalpan-1	X5	X5	X4
Br0942_dfgeoabb-1	X1	X1	X1
Br0942_dfgfiikk-1	X8	X7	X7
Br0942_dfghllfn-1	X1	X1	X1
Br0942_dfgihpcg-1	X2	X2	X2
Br0942_dfgmdilb-1	X17	X11	X10
Br0942_dfhchedi-1	X1	X1	X1
Br0942_dfhcpgbc-1	X13	X13	X9
Br0942_dfhgookb-1	X1	X1	X1
Br0942_dfhmekce-1	X1	X1	X1
Br0942_dfhodgln-1	X10	X10	X8
Br0942_dfiaifbi-1	X22	X1	X1
Br0942_dfidkpdf-1	X10	X10	X8
Br0942_dfihcjna-1	X10	X10	X8
Br0942_dfikilfa-1	X18	X17	X8
Br0942_dfinemkn-1	X5	X5	X4
Br0942_dfipelik-1	X10	X12	X8
Br0942_dfjaioag-1	X5	X5	X4
Br0942_dfkdjomd-1	X1	X1	X1
Br0942_dfkdnple-1	X5	X5	X4
Br0942_dfkfgkla-1	X1	X1	X1
Br0942_dfkggine-1	X11	X11	X9
Br0942_dfkpnhob-1	X8	X7	X7
Br0942_dflbpbhj-1	X8	X7	X7
Br0942_dfldjmkb-1	X14	X4	X10
Br0942_dflfefco-1	X13	X4	X11
Br0942_dflhbhlf-1	X1	X1	X1
Br0942_dfljemnb-1	X21	X19	X16
Br0942_dflmpakj-1	X21	X11	X9
Br0942_dflojfhp-1	X10	X10	X8
Br0942_dflpokaj-1	X10	X10	X8
Br0942_dfmadnoc-1	X1	X1	X1
Br0942_dfmhbbdf-1	X17	X11	X9
Br0942_dfmlcben-1	X8	X7	X7
Br0942_dfmogkfk-1	X10	X10	X8
Br0942_dfmpndga-1	X8	X7	X7
Br0942_dfnbaemp-1	X1	X1	X1
Br0942_dfnlehof-1	X1	X1	X1
Br0942_dfnlemkh-1	X18	X17	X6
Br0942_dfnmioob-1	X8	X7	X7
Br0942_dfnoeijf-1	X8	X7	X7
Br0942_dfnpflob-1	X1	X1	X1
Br0942_dfodidae-1	X6	X6	X5
Br0942_dfodjhha-1	X1	X1	X1
Br0942_dfoegcee-1	X19	X6	X2
Br0942_dfoekgfm-1	X15	X14	X12
Br0942_dfofaefm-1	X4	X6	X13
Br0942_dfoffgdc-1	X19	X6	X13
Br0942_dfoiigkb-1	X8	X4	X6
Br0942_dfokhmeb-1	X17	X11	X10
Br0942_dfoncokp-1	X8	X7	X7
Br0942_dfoooeek-1	X8	X7	X7
Br0942_dfophnjj-1	X8	X7	X7
Br0942_dfpcojoe-1	X5	X5	X4
Br0942_dfpcphdb-1	X6	X6	X5
Br0942_dfpfcjoc-1	X4	X15	X13
Br0942_dfpgnbaa-1	X18	X17	X6
Br0942_dfpgopgj-1	X17	X11	X10
Br0942_dfphndem-1	X1	X1	X1
Br0942_dfpipjek-1	X1	X1	X1
Br0942_dfpkhnlm-1	X17	X11	X9
Br0942_dgabebfk-1	X17	X11	X10
Br0942_dgacipfl-1	X8	X7	X7
Br0942_dgadkkcf-1	X1	X1	X1
Br0942_dgaepmcl-1	X17	X11	X10
Br0942_dgafbpkk-1	X8	X7	X7
Br0942_dgaihfcf-1	X5	X5	X4
Br0942_dganojhi-1	X1	X1	X1
Br0942_dgbboppn-1	X5	X5	X4
Br0942_dgbdiacf-1	X12	X11	X9
Br0942_dgbohcdh-1	X13	X11	X9
Br0942_dgccfjep-1	X17	X11	X10
Br0942_dgcelokn-1	X1	X1	X1
Br0942_dgcglpeo-1	X1	X1	X1
Br0942_dgcioiec-1	X10	X10	X8
Br0942_dgclcodk-1	X17	X11	X9
Br0942_dgclhlee-1	X5	X5	X4
Br0942_dgclkfpl-1	X4	X15	X13
Br0942_dgcooief-1	X10	X10	X8
Br0942_dgcphkob-1	X4	X2	X2
Br0942_dgcpohnc-1	X6	X6	X5
Br0942_dgdajhcp-1	X13	X1	X1
Br0942_dgdaokom-1	X13	X13	X9
Br0942_dgdcoooh-1	X13	X13	X9
Br0942_dgddnhlp-1	X13	X11	X9
Br0942_dgdiaibn-1	X13	X13	X9
Br0942_dgdiihic-1	X13	X11	X10
Br0942_dgdinpkp-1	X10	X10	X8
Br0942_dgdkjaoo-1	X1	X1	X1
Br0942_dgdonkgm-1	X10	X10	X8
Br0942_dgdpakfe-1	X1	X1	X1
Br0942_dgefmndb-1	X2	X2	X2
Br0942_dgekccbj-1	X12	X11	X9
Br0942_dgekfgph-1	X10	X18	X8
Br0942_dgelhcnb-1	X17	X11	X10
Br0942_dgemiici-1	X17	X11	X10
Br0942_dgfhgknb-1	X1	X1	X1
Br0942_dgfpgpao-1	X2	X2	X2
Br0942_dggaegak-1	X8	X7	X7
Br0942_dggedhka-1	X1	X1	X1
Br0942_dggehoib-1	X8	X7	X7
Br0942_dggjikef-1	X8	X7	X7
Br0942_dggkaoan-1	X1	X1	X1
Br0942_dggppahc-1	X1	X1	X1
Br0942_dghdlmkk-1	X17	X11	X10
Br0942_dghglhcc-1	X17	X11	X10
Br0942_dghhbmfe-1	X8	X7	X7
Br0942_dgibgbgp-1	X18	X17	X6
Br0942_dgicdlkh-1	X2	X2	X2
Br0942_dgifafli-1	X6	X6	X5
Br0942_dgihgmfj-1	X17	X11	X10
Br0942_dgimikhl-1	X5	X5	X4
Br0942_dginejdk-1	X8	X7	X7
Br0942_dginfpmm-1	X17	X11	X10
Br0942_dgjfniaf-1	X17	X11	X10
Br0942_dgjlamaa-1	X18	X17	X6
Br0942_dgjlggae-1	X17	X11	X10
Br0942_dgkcdndd-1	X17	X11	X10
Br0942_dgkdlbnn-1	X17	X11	X10
Br0942_dgkfebel-1	X8	X7	X7
Br0942_dgkfkblk-1	X8	X7	X7
Br0942_dgkhopli-1	X2	X2	X2
Br0942_dgkimkdd-1	X8	X7	X7
Br0942_dgknohig-1	X1	X1	X1
Br0942_dgkodjpo-1	X8	X7	X7
Br0942_dglbmjdm-1	X6	X6	X5
Br0942_dglchmch-1	X2	X2	X2
Br0942_dglcicem-1	X2	X2	X2
Br0942_dgldghhc-1	X1	X1	X1
Br0942_dgldncka-1	X1	X1	X1
Br0942_dglgmkbp-1	X17	X11	X10
Br0942_dgliiile-1	X18	X17	X6
Br0942_dglkidaj-1	X8	X7	X7
Br0942_dgmfbkch-1	X17	X11	X10
Br0942_dgmmfeoo-1	X17	X11	X10
Br0942_dgmnhdjf-1	X8	X7	X7
Br0942_dgmniogc-1	X12	X11	X10
Br0942_dgmplkpe-1	X12	X11	X10
Br0942_dgnebiak-1	X4	X15	X13
Br0942_dgnhhkne-1	X2	X2	X2
Br0942_dgnighfg-1	X2	X2	X2
Br0942_dgnlnjdo-1	X5	X5	X4
Br0942_dgoeeclk-1	X6	X6	X5
Br0942_dgofllck-1	X2	X2	X2
Br0942_dgohdifa-1	X17	X11	X10
Br0942_dgolglak-1	X20	X18	X15
Br0942_dgpcljjm-1	X8	X4	X6
Br0942_dgpdnjfn-1	X12	X11	X10
Br0942_dgphomck-1	X1	X1	X1
Br0942_dgpjfbpj-1	X16	X12	X15
Br0942_dgpmppcg-1	X8	X7	X7
Br0942_dgppkeko-1	X16	X12	X8
Br0942_dhagagnk-1	X8	X7	X7
Br0942_dhahjkfn-1	X8	X7	X7
Br0942_dhaiekol-1	X8	X7	X7
Br0942_dhalcmdn-1	X2	X2	X2
Br0942_dhamepge-1	X17	X11	X10
Br0942_dhamoain-1	X6	X6	X5
Br0942_dhanlkff-1	X2	X2	X2
Br0942_dhanmmal-1	X20	X18	X15
Br0942_dhbaeefo-1	X12	X11	X10
Br0942_dhbccdol-1	X12	X11	X10
Br0942_dhbdooff-1	X12	X11	X10
Br0942_dhbeeimd-1	X23	X16	X18
Br0942_dhbhddld-1	X2	X2	X2
Br0942_dhbjmedc-1	X17	X11	X10
Br0942_dhbkieea-1	X1	X1	X1
Br0942_dhbkiiaa-1	X10	X10	X15
Br0942_dhbolljk-1	X20	X18	X15
Br0942_dhcaldgn-1	X13	X11	X9
Br0942_dhcephcp-1	X8	X7	X6
Br0942_dhcfdbhi-1	X5	X5	X4
Br0942_dhcgjelm-1	X14	X11	X10
Br0942_dhciofcl-1	X8	X7	X7
Br0942_dhdaledh-1	X5	X5	X4
Br0942_dhddclcc-1	X16	X17	X8
Br0942_dhddeceo-1	X16	X12	X8
Br0942_dhddnhga-1	X8	X7	X7
Br0942_dhdeelea-1	X10	X12	X8
Br0942_dhdffoem-1	X1	X1	X1
Br0942_dhdieimf-1	X13	X13	X9
Br0942_dhdjlble-1	X1	X1	X1
Br0942_dhdpbhcf-1	X1	X1	X1
Br0942_dhdpjgig-1	X1	X1	X1
Br0942_dhebeonh-1	X17	X11	X9
Br0942_dhebojnk-1	X17	X11	X9
Br0942_dhedeeoo-1	X1	X1	X1
Br0942_dheebcha-1	X1	X1	X1
Br0942_dheflgoc-1	X20	X4	X10
Br0942_dhejpjon-1	X17	X11	X10
Br0942_dheohdgg-1	X10	X18	X8
Br0942_dhepfhkn-1	X1	X1	X1
Br0942_dhfagdep-1	X14	X4	X11
Br0942_dhfecacc-1	X10	X18	X8
Br0942_dhffadkk-1	X12	X11	X10
Br0942_dhfjhnno-1	X17	X11	X10
Br0942_dhfkckih-1	X17	X11	X10
Br0942_dhgbdpnl-1	X12	X11	X10
Br0942_dhgbfleg-1	X12	X11	X10
Br0942_dhgbflfa-1	X8	X7	X6
Br0942_dhgebhjh-1	X8	X7	X7
Br0942_dhgehona-1	X16	X12	X8
Br0942_dhghfeao-1	X23	X16	X18
Br0942_dhgjpnck-1	X16	X12	X8
Br0942_dhgknkal-1	X17	X11	X10
Br0942_dhgndfjg-1	X1	X1	X1
Br0942_dhgpclpe-1	X8	X7	X7
Br0942_dhgplgnk-1	X17	X11	X10
Br0942_dhhbpjcg-1	X2	X2	X2
Br0942_dhhclhla-1	X8	X7	X7
Br0942_dhhfoodh-1	X16	X12	X8
Br0942_dhhhihcd-1	X8	X7	X7
Br0942_dhhinakb-1	X16	X12	X8
Br0942_dhhjeggc-1	X5	X5	X4
Br0942_dhhjiang-1	X1	X1	X1
Br0942_dhhkofdi-1	X4	X15	X13
Br0942_dhhnnpal-1	X2	X2	X2
Br0942_dhicelil-1	X18	X17	X6
Br0942_dhigfdng-1	X6	X6	X5
Br0942_dhiimbmg-1	X17	X11	X10
Br0942_dhilmccj-1	X17	X11	X10
Br0942_dhimlgan-1	X2	X2	X2
Br0942_dhinnahe-1	X10	X12	X8
Br0942_dhjbbdff-1	X17	X11	X10
Br0942_dhjbencj-1	X17	X11	X10
Br0942_dhjejdin-1	X1	X1	X1
Br0942_dhjemlaj-1	X8	X7	X7
Br0942_dhjhdfof-1	X20	X12	X15
Br0942_dhjiaolg-1	X1	X1	X1
Br0942_dhjlomae-1	X10	X12	X8
Br0942_dhjomjoa-1	X8	X7	X7
Br0942_dhkcjmbd-1	X18	X17	X6
Br0942_dhklindb-1	X5	X5	X4
Br0942_dhklphnk-1	X17	X11	X10
Br0942_dhkobakp-1	X17	X11	X10
Br0942_dhlfgbpe-1	X17	X11	X10
Br0942_dhllgfoe-1	X1	X1	X1
Br0942_dhmdjohj-1	X5	X5	X4
Br0942_dhmdkgke-1	X10	X12	X8
Br0942_dhmpjklk-1	X8	X7	X7
Br0942_dhndekoj-1	X1	X1	X1
Br0942_dhnedbce-1	X17	X11	X10
Br0942_dhnianja-1	X1	X1	X1
Br0942_dhnjkgho-1	X8	X7	X7
Br0942_dhnkembn-1	X8	X7	X7
Br0942_dhnpbcia-1	X8	X7	X7
Br0942_dhobnplj-1	X5	X5	X4
Br0942_dhoccidm-1	X13	X11	X9
Br0942_dhohbdmg-1	X17	X11	X9
Br0942_dhohomei-1	X1	X1	X1
Br0942_dholnfco-1	X1	X1	X1
Br0942_dhoofkkm-1	X10	X10	X8
Br0942_dhpackff-1	X2	X2	X2
Br0942_dhphjcpn-1	X1	X1	X1
Br0942_dhpjppjp-1	X16	X12	X8
Br0942_dhpmcgoi-1	X8	X7	X7
Br0942_diafjici-1	X8	X7	X7
Br0942_diajonme-1	X8	X7	X7
Br0942_diamgaej-1	X1	X1	X1
Br0942_diaohmck-1	X3	X4	X11
Br0942_dibjfced-1	X1	X1	X11
Br0942_dibkgkfh-1	X17	X11	X10
Br0942_dicalejh-1	X1	X1	X1
Br0942_dicdljgp-1	X1	X1	X1
Br0942_dicgbboj-1	X1	X1	X1
Br0942_dicijhll-1	X2	X2	X2
Br0942_diclnojh-1	X8	X7	X7
Br0942_dicmodhp-1	X10	X12	X8
Br0942_didbhajc-1	X17	X11	X10
Br0942_didcplil-1	X10	X12	X8
Br0942_didgkaoe-1	X10	X10	X8
Br0942_didigiki-1	X8	X7	X7
Br0942_didmjfno-1	X18	X17	X6
Br0942_didnflid-1	X10	X12	X8
Br0942_diececnb-1	X21	X19	X16
Br0942_diedkejd-1	X10	X10	X8
Br0942_diedlbmd-1	X17	X11	X9
Br0942_diedoplg-1	X3	X3	X3
Br0942_dieeanga-1	X2	X2	X2
Br0942_dielknac-1	X13	X11	X9
Br0942_dielpihj-1	X10	X10	X8
Br0942_dieocihk-1	X8	X7	X7
Br0942_diepbonb-1	X1	X1	X1
Br0942_diepdflp-1	X1	X1	X1
Br0942_diepjkae-1	X13	X11	X9
Br0942_difahhap-1	X1	X1	X1
Br0942_difhjjkh-1	X1	X1	X1
Br0942_difmikfp-1	X2	X2	X2
Br0942_digbphmg-1	X8	X7	X7
Br0942_digdbpnk-1	X10	X12	X8
Br0942_digeeane-1	X11	X11	X10
Br0942_digenlfe-1	X8	X7	X7
Br0942_digfcmoc-1	X15	X14	X12
Br0942_diggobio-1	X3	X3	X3
Br0942_digjppaa-1	X10	X12	X8
Br0942_digkahgh-1	X10	X10	X8
Br0942_digljpjb-1	X10	X10	X8
Br0942_digoedpp-1	X22	X12	X8
Br0942_digombbc-1	X21	X18	X11
Br0942_dihejpaa-1	X9	X4	X6
Br0942_dihgfekm-1	X2	X2	X2
Br0942_dihjbnfc-1	X18	X12	X8
Br0942_dihjmbpo-1	X2	X2	X2
Br0942_dihlhmij-1	X8	X7	X7
Br0942_dihocknl-1	X2	X2	X2
Br0942_dihodfmo-1	X5	X5	X4
Br0942_dihpngmi-1	X1	X1	X1
Br0942_diidopnj-1	X17	X11	X9
Br0942_diijffmf-1	X1	X1	X1
Br0942_dijcmebe-1	X12	X11	X10
Br0942_dijdooao-1	X10	X18	X15
Br0942_dijfmbpa-1	X1	X1	X1
Br0942_dijhiknh-1	X14	X4	X16
Br0942_dijkpgla-1	X10	X12	X8
Br0942_dikaiobb-1	X8	X7	X6
Br0942_dikeojfd-1	X16	X12	X8
Br0942_dikfdedo-1	X8	X7	X7
Br0942_dikficca-1	X21	X19	X16
Br0942_dikifdda-1	X10	X12	X8
Br0942_dikjckkg-1	X10	X18	X15
Br0942_dilagopk-1	X4	X15	X13
Br0942_dilhfgkm-1	X4	X2	X2
Br0942_diljebnb-1	X4	X15	X13
Br0942_diljkapf-1	X2	X2	X2
Br0942_dilknbok-1	X3	X4	X3
Br0942_dimajmei-1	X1	X1	X1
Br0942_dimehpii-1	X21	X19	X16
Br0942_dimkcljg-1	X2	X2	X2
Br0942_dimnocob-1	X20	X18	X15
Br0942_dinakaje-1	X20	X18	X15
Br0942_dindkjgd-1	X21	X19	X16
Br0942_dindnego-1	X12	X19	X16
Br0942_dininelh-1	X20	X4	X3
Br0942_dinkcojd-1	X21	X19	X16
Br0942_dinmnpnn-1	X26	X21	X15
Br0942_dinmpcob-1	X16	X21	X19
Br0942_dioaiklj-1	X16	X21	X19
Br0942_diobhgih-1	X1	X1	X1
Br0942_diolcbpe-1	X10	X12	X8
Br0942_dioncjaa-1	X6	X6	X5
Br0942_dipeklpi-1	X2	X2	X2
Br0942_diphkooo-1	X8	X7	X7
Br0942_dipjkmch-1	X20	X12	X15
Br0942_diplpjlk-1	X21	X19	X16
Br0942_djaeilgo-1	X8	X17	X6
Br0942_djafhcgm-1	X1	X1	X1
Br0942_djahenhm-1	X16	X12	X8
Br0942_djajhfdg-1	X18	X17	X6
Br0942_djakjjcm-1	X1	X1	X1
Br0942_djalcaob-1	X5	X5	X4
Br0942_djamidpn-1	X3	X18	X15
Br0942_djamjmim-1	X10	X12	X8
Br0942_djbgdima-1	X21	X19	X16
Br0942_djbohodp-1	X10	X10	X8
Br0942_djcccjne-1	X1	X1	X1
Br0942_djcdfpcl-1	X8	X7	X7
Br0942_djcfmbhm-1	X8	X7	X7
Br0942_djchabhm-1	X1	X1	X1
Br0942_djcoknff-1	X4	X2	X2
Br0942_djdakann-1	X1	X1	X1
Br0942_djdbpieg-1	X1	X1	X1
Br0942_djddihfg-1	X6	X4	X6
Br0942_djdfdnlj-1	X1	X1	X1
Br0942_djdkchni-1	X8	X7	X7
Br0942_djdnoipk-1	X14	X4	X6
Br0942_djeahhdi-1	X18	X17	X6
Br0942_djebgpmo-1	X1	X1	X1
Br0942_djebkjak-1	X2	X2	X2
Br0942_djeeokci-1	X1	X1	X1
Br0942_djejgele-1	X10	X12	X8
Br0942_djeklloj-1	X18	X4	X6
Br0942_djeokggb-1	X8	X7	X6
Br0942_djfjbpna-1	X3	X3	X3
Br0942_djfjmlff-1	X1	X1	X1
Br0942_djflhggb-1	X8	X7	X7
Br0942_djflhkcm-1	X18	X17	X6
Br0942_djgaimlo-1	X10	X12	X8
Br0942_djgbcmba-1	X17	X11	X10
Br0942_djgbeioo-1	X17	X11	X10
Br0942_djghmmhc-1	X17	X11	X10
Br0942_djgimjal-1	X17	X11	X10
Br0942_djhoojgd-1	X2	X2	X2
Br0942_djhpdhfp-1	X10	X12	X8
Br0942_djidlmjn-1	X18	X17	X6
Br0942_djifgmda-1	X8	X7	X7
Br0942_djiheacc-1	X1	X1	X1
