gene	prop_nonzero	cluster	source
ASL	0.0199881843245372	ACHE_SERT_SLC17A6_ADCYAP1	York21
ASL	0.15982312065698	LC.1	York21
ASL	0.0120867401350871	Oligo_2	York21
ASL	0.0358490566037736	Oligo_3	York21
ASL	0.0304878048780488	Vascular	York21
ATF4	0.0151391053924806	Oligo_1	Otero22
ATF4	0.0628930817610063	Astro_1	Otero22
ATF4	0.29085562246184	ACHE_SERT_SLC17A6_Npeps	Otero22
ATF4	0.188125775755068	Astro_2_APOE	Otero22
ATF4	0.0856636471051595	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
ATF4	0.357927984838913	LC.1	Otero22
ATF4	0.10273729114824	Oligo_2	Otero22
ATF4	0.260720411663808	Oligo_3	Otero22
ATF4	0.157883275261324	Vascular	Otero22
ATP1B1	0.108695077809189	Oligo_1	Otero22
ATP1B1	0.353218645948946	Astro_1	Otero22
ATP1B1	0.955258367175466	ACHE_SERT_SLC17A6_Npeps	Otero22
ATP1B1	0.762887877534133	Astro_2_APOE	Otero22
ATP1B1	0.652914533280819	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
ATP1B1	0.983322804801011	LC.1	Otero22
ATP1B1	0.466346723545444	Oligo_2	Otero22
ATP1B1	0.818010291595197	Oligo_3	Otero22
ATP1B1	0.521123693379791	Vascular	Otero22
ATP2A2	0.0252318423208011	Oligo_1	Otero22
ATP2A2	0.115889752127266	Astro_1	Otero22
ATP2A2	0.589413247444336	ACHE_SERT_SLC17A6_Npeps	Otero22
ATP2A2	0.34104261481175	Astro_2_APOE	Otero22
ATP2A2	0.195647892871209	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
ATP2A2	0.646241313960834	LC.1	Otero22
ATP2A2	0.135916577793577	Oligo_2	Otero22
ATP2A2	0.292452830188679	Oligo_3	Otero22
ATP2A2	0.205792682926829	Vascular	Otero22
ATP6AP2	0.0208988348437211	Oligo_1	Otero22
ATP6AP2	0.0865704772475028	Astro_1	Otero22
ATP6AP2	0.57239882369416	ACHE_SERT_SLC17A6_Npeps	Otero22
ATP6AP2	0.305254447662391	Astro_2_APOE	Otero22
ATP6AP2	0.174182749113824	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
ATP6AP2	0.586734049273531	LC.1	Otero22
ATP6AP2	0.111150610261879	Oligo_2	Otero22
ATP6AP2	0.277873070325901	Oligo_3	Otero22
ATP6AP2	0.170078397212544	Vascular	Otero22
ATP6V1G1	0.0178604454543053	Oligo_1	Otero22
ATP6V1G1	0.0777839437661857	Astro_1	Otero22
ATP6V1G1	0.480044811651029	ACHE_SERT_SLC17A6_Npeps	Otero22
ATP6V1G1	0.269135291683906	Astro_2_APOE	Otero22
ATP6V1G1	0.149074438755416	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
ATP6V1G1	0.620720151610865	LC.1	Otero22
ATP6V1G1	0.0917170280838962	Oligo_2	Otero22
ATP6V1G1	0.209090909090909	Oligo_3	Otero22
ATP6V1G1	0.170731707317073	Vascular	Otero22
AZIN1	0.0154825754973711	Oligo_1	Otero22_York21
AZIN1	0.0642804291527932	Astro_1	Otero22_York21
AZIN1	0.379778742473043	ACHE_SERT_SLC17A6_Npeps	Otero22_York21
AZIN1	0.214315266859743	Astro_2_APOE	Otero22_York21
AZIN1	0.107325718786924	ACHE_SERT_SLC17A6_ADCYAP1	Otero22_York21
AZIN1	0.495388502842704	LC.1	Otero22_York21
AZIN1	0.0887545917762768	Oligo_2	Otero22_York21
AZIN1	0.21303602058319	Oligo_3	Otero22_York21
AZIN1	0.128484320557491	Vascular	Otero22_York21
BACE1	0.0200533699701445	Oligo_1	York21
BACE1	0.0489271180170181	Astro_1	York21
BACE1	0.256896793166223	ACHE_SERT_SLC17A6_Npeps	York21
BACE1	0.15093090608192	Astro_2_APOE	York21
BACE1	0.0861559669161087	ACHE_SERT_SLC17A6_ADCYAP1	York21
BACE1	0.291977258370183	LC.1	York21
BACE1	0.148240312833274	Oligo_2	York21
BACE1	0.454716981132075	Oligo_3	York21
BACE1	0.112587108013937	Vascular	York21
BASP1	0.0663425717984623	Oligo_1	Otero22
BASP1	0.279596744358121	Astro_1	Otero22
BASP1	0.861994118470802	ACHE_SERT_SLC17A6_Npeps	Otero22
BASP1	0.60897807199007	Astro_2_APOE	Otero22
BASP1	0.465734541157936	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
BASP1	0.889324068224889	LC.1	Otero22
BASP1	0.244934233913971	Oligo_2	Otero22
BASP1	0.373584905660377	Oligo_3	Otero22
BASP1	0.359756097560976	Vascular	Otero22
BNIP3	0.0293799043567862	Oligo_1	Otero22
BNIP3	0.115242323344432	Astro_1	Otero22
BNIP3	0.519745133734771	ACHE_SERT_SLC17A6_Npeps	Otero22
BNIP3	0.336119155978486	Astro_2_APOE	Otero22
BNIP3	0.181469082315872	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
BNIP3	0.692608970309539	LC.1	Otero22
BNIP3	0.137101552316625	Oligo_2	Otero22
BNIP3	0.27409948542024	Oligo_3	Otero22
BNIP3	0.177482578397213	Vascular	Otero22
BSN	0.00528415545985363	Oligo_1	Otero22
BSN	0.0256196818349981	Astro_1	Otero22
BSN	0.212995378798488	ACHE_SERT_SLC17A6_Npeps	Otero22
BSN	0.0781961108812578	Astro_2_APOE	Otero22
BSN	0.0585860575029539	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
BSN	0.337713202779533	LC.1	Otero22
BSN	0.0236402417348027	Oligo_2	Otero22
BSN	0.0542024013722127	Oligo_3	Otero22
BSN	0.0446428571428571	Vascular	Otero22
CALM1	0.157494253480937	Oligo_1	Otero22
CALM1	0.510451350351461	Astro_1	Otero22
CALM1	0.958969332026327	ACHE_SERT_SLC17A6_Npeps	Otero22
CALM1	0.881961108812578	Astro_2_APOE	Otero22
CALM1	0.637357227254825	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CALM1	0.943903979785218	LC.1	Otero22
CALM1	0.594442469486906	Oligo_2	Otero22
CALM1	0.839794168096055	Oligo_3	Otero22
CALM1	0.661803135888502	Vascular	Otero22
CAMSAP2	0.0228275515865677	Oligo_1	Otero22
CAMSAP2	0.0935997040325564	Astro_1	Otero22
CAMSAP2	0.41352751715446	ACHE_SERT_SLC17A6_Npeps	Otero22
CAMSAP2	0.234381464625569	Astro_2_APOE	Otero22
CAMSAP2	0.147006695549429	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CAMSAP2	0.485281111813013	LC.1	Otero22
CAMSAP2	0.100959829363669	Oligo_2	Otero22
CAMSAP2	0.189536878216123	Oligo_3	Otero22
CAMSAP2	0.147212543554007	Vascular	Otero22
CANX	0.0696715897381701	Oligo_1	Otero22
CANX	0.300776914539401	Astro_1	Otero22
CANX	0.806049572888951	ACHE_SERT_SLC17A6_Npeps	Otero22
CANX	0.626603227141084	Astro_2_APOE	Otero22
CANX	0.394151240645924	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CANX	0.82463676563487	LC.1	Otero22
CANX	0.30098352885413	Oligo_2	Otero22
CANX	0.544596912521441	Oligo_3	Otero22
CANX	0.445775261324042	Vascular	Otero22
CASP3	0.00179661285635023	Oligo_1	York21
CASP3	0.0103588605253422	Astro_1	York21
CASP3	0.0463520515333987	ACHE_SERT_SLC17A6_Npeps	York21
CASP3	0.0317335539925528	Astro_2_APOE	York21
CASP3	0.0105356439543127	ACHE_SERT_SLC17A6_ADCYAP1	York21
CASP3	0.0406822488945041	LC.1	York21
CASP3	0.0106647707074298	Oligo_2	York21
CASP3	0.0303602058319039	Oligo_3	York21
CASP3	0.0178571428571429	Vascular	York21
CBX6	0.0210045179529182	Oligo_1	Otero22
CBX6	0.0929522752497225	Astro_1	Otero22
CBX6	0.315011903094805	ACHE_SERT_SLC17A6_Npeps	Otero22
CBX6	0.195200661977658	Astro_2_APOE	Otero22
CBX6	0.126033871602993	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CBX6	0.323436512950095	LC.1	Otero22
CBX6	0.106647707074298	Oligo_2	Otero22
CBX6	0.204974271012007	Oligo_3	Otero22
CBX6	0.127613240418118	Vascular	Otero22
CD47	0.0130254432085392	Oligo_1	Otero22
CD47	0.0496670366259711	Astro_1	Otero22
CD47	0.354712225178546	ACHE_SERT_SLC17A6_Npeps	Otero22
CD47	0.180306164666942	Astro_2_APOE	Otero22
CD47	0.10358408822371	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CD47	0.512192040429564	LC.1	Otero22
CD47	0.090769048465458	Oligo_2	Otero22
CD47	0.293481989708405	Oligo_3	Otero22
CD47	0.106707317073171	Vascular	Otero22
CDK5R1	0.00808475785357605	Oligo_1	Otero22
CDK5R1	0.0352386237513873	Astro_1	Otero22
CDK5R1	0.338468001680437	ACHE_SERT_SLC17A6_Npeps	Otero22
CDK5R1	0.136450144807613	Astro_2_APOE	Otero22
CDK5R1	0.0797558093737692	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CDK5R1	0.354516740366393	LC.1	Otero22
CDK5R1	0.0405261286882332	Oligo_2	Otero22
CDK5R1	0.0955403087478559	Oligo_3	Otero22
CDK5R1	0.0570557491289199	Vascular	Otero22
CDK5R2	0.0082961240719702	Oligo_1	Otero22
CDK5R2	0.0369959304476508	Astro_1	Otero22
CDK5R2	0.256406665733091	ACHE_SERT_SLC17A6_Npeps	Otero22
CDK5R2	0.10140670252379	Astro_2_APOE	Otero22
CDK5R2	0.078081922016542	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CDK5R2	0.405938092229943	LC.1	Otero22
CDK5R2	0.031638819765375	Oligo_2	Otero22
CDK5R2	0.0718696397941681	Oligo_3	Otero22
CDK5R2	0.0542247386759582	Vascular	Otero22
CERS6	0.00525773468255436	Oligo_1	Otero22
CERS6	0.0269145394006659	Astro_1	Otero22
CERS6	0.209634504971293	ACHE_SERT_SLC17A6_Npeps	Otero22
CERS6	0.0892014894497311	Astro_2_APOE	Otero22
CERS6	0.0549428909019299	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CERS6	0.313076437144662	LC.1	Otero22
CERS6	0.0266026780424221	Oligo_2	Otero22
CERS6	0.0500857632933105	Oligo_3	Otero22
CERS6	0.0459494773519164	Vascular	Otero22
CHL1	0.014584269069196	Oligo_1	Otero22
CHL1	0.0689974102848687	Astro_1	Otero22
CHL1	0.464430751995519	ACHE_SERT_SLC17A6_Npeps	Otero22
CHL1	0.240504757964419	Astro_2_APOE	Otero22
CHL1	0.130267821977156	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CHL1	0.517877447883765	LC.1	Otero22
CHL1	0.0743571513212466	Oligo_2	Otero22
CHL1	0.137564322469983	Oligo_3	Otero22
CHL1	0.116506968641115	Vascular	Otero22
CLCN4	0.0109910433564955	Oligo_1	Otero22
CLCN4	0.0416204217536071	Astro_1	Otero22
CLCN4	0.327405125332586	ACHE_SERT_SLC17A6_Npeps	Otero22
CLCN4	0.134629706247414	Astro_2_APOE	Otero22
CLCN4	0.095116187475384	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CLCN4	0.421604548325963	LC.1	Otero22
CLCN4	0.0615001777461785	Oligo_2	Otero22
CLCN4	0.175814751286449	Oligo_3	Otero22
CLCN4	0.0727351916376307	Vascular	Otero22
CLIP1	0.0145050067372982	Oligo_1	York21
CLIP1	0.0695523492415834	Astro_1	York21
CLIP1	0.213765579050553	ACHE_SERT_SLC17A6_Npeps	York21
CLIP1	0.142532064542822	Astro_2_APOE	York21
CLIP1	0.0739464356045687	ACHE_SERT_SLC17A6_ADCYAP1	York21
CLIP1	0.237523689197726	LC.1	York21
CLIP1	0.0590117312477782	Oligo_2	York21
CLIP1	0.0886792452830189	Oligo_3	York21
CLIP1	0.116506968641115	Vascular	York21
CMIP	0.0188908557689767	Oligo_1	Otero22
CMIP	0.103681095079541	Astro_1	Otero22
CMIP	0.418638846099986	ACHE_SERT_SLC17A6_Npeps	Otero22
CMIP	0.214729002896152	Astro_2_APOE	Otero22
CMIP	0.162760929499803	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CMIP	0.592545799115603	LC.1	Otero22
CMIP	0.0836592013271715	Oligo_2	Otero22
CMIP	0.177358490566038	Oligo_3	Otero22
CMIP	0.148519163763066	Vascular	Otero22
CNIH2	0.00657877354751777	Oligo_1	Otero22
CNIH2	0.032093969663337	Astro_1	Otero22
CNIH2	0.252625682677496	ACHE_SERT_SLC17A6_Npeps	Otero22
CNIH2	0.118369880016549	Astro_2_APOE	Otero22
CNIH2	0.060358408822371	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CNIH2	0.326468730259002	LC.1	Otero22
CNIH2	0.0318165659438322	Oligo_2	Otero22
CNIH2	0.0624356775300172	Oligo_3	Otero22
CNIH2	0.0537891986062718	Vascular	Otero22
CNTN1	0.0284023355967133	Oligo_1	Otero22
CNTN1	0.130688124306326	Astro_1	Otero22
CNTN1	0.633524716426271	ACHE_SERT_SLC17A6_Npeps	Otero22
CNTN1	0.385684733140257	Astro_2_APOE	Otero22
CNTN1	0.228436392280425	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CNTN1	0.663171193935565	LC.1	Otero22
CNTN1	0.128984476833748	Oligo_2	Otero22
CNTN1	0.219210977701544	Oligo_3	Otero22
CNTN1	0.207534843205575	Vascular	Otero22
COL6A1	0.00694866442970752	Oligo_1	Otero22
COL6A1	0.0302441731409545	Astro_1	Otero22
COL6A1	0.15453017784624	ACHE_SERT_SLC17A6_Npeps	Otero22
COL6A1	0.098303682250724	Astro_2_APOE	Otero22
COL6A1	0.0426348956282001	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
COL6A1	0.171320277953253	LC.1	Otero22
COL6A1	0.0303353477900225	Oligo_2	Otero22
COL6A1	0.0459691252144082	Oligo_3	Otero22
COL6A1	0.1073606271777	Vascular	Otero22
CPE	0.122539565114006	Oligo_1	Otero22
CPE	0.510821309655938	Astro_1	Otero22
CPE	0.912337207673995	ACHE_SERT_SLC17A6_Npeps	Otero22
CPE	0.870624741414977	Astro_2_APOE	Otero22
CPE	0.510535643954313	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CPE	0.89829437776374	LC.1	Otero22
CPE	0.414326341983647	Oligo_2	Otero22
CPE	0.575128644939966	Oligo_3	Otero22
CPE	0.603440766550523	Vascular	Otero22
CRMP1	0.0110703056883934	Oligo_1	Otero22
CRMP1	0.0541065482796892	Astro_1	Otero22
CRMP1	0.411286934602997	ACHE_SERT_SLC17A6_Npeps	Otero22
CRMP1	0.174555233760861	Astro_2_APOE	Otero22
CRMP1	0.115498227648681	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CRMP1	0.499052432090967	LC.1	Otero22
CRMP1	0.0472804834696054	Oligo_2	Otero22
CRMP1	0.0998284734133791	Oligo_3	Otero22
CRMP1	0.0895034843205575	Vascular	Otero22
CSRNP3	0.00819044096277313	Oligo_1	Otero22
CSRNP3	0.040788013318535	Astro_1	Otero22
CSRNP3	0.312771320543341	ACHE_SERT_SLC17A6_Npeps	Otero22
CSRNP3	0.135788167149359	Astro_2_APOE	Otero22
CSRNP3	0.0848759354076408	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CSRNP3	0.301958307012003	LC.1	Otero22
CSRNP3	0.0415926057589762	Oligo_2	Otero22
CSRNP3	0.0843910806174957	Oligo_3	Otero22
CSRNP3	0.0587979094076655	Vascular	Otero22
CTNND2	0.0375703453195593	Oligo_1	York21
CTNND2	0.165556788753237	Astro_1	York21
CTNND2	0.448606637725809	ACHE_SERT_SLC17A6_Npeps	York21
CTNND2	0.367480347538271	Astro_2_APOE	York21
CTNND2	0.1647302087436	ACHE_SERT_SLC17A6_ADCYAP1	York21
CTNND2	0.499052432090967	LC.1	York21
CTNND2	0.148299561559426	Oligo_2	York21
CTNND2	0.212521440823328	Oligo_3	York21
CTNND2	0.195993031358885	Vascular	York21
CTSB	0.0412428333641576	Oligo_1	York21
CTSB	0.175083240843507	Astro_1	York21
CTSB	0.656420669374037	ACHE_SERT_SLC17A6_Npeps	York21
CTSB	0.441166735622673	Astro_2_APOE	York21
CTSB	0.255513981882631	ACHE_SERT_SLC17A6_ADCYAP1	York21
CTSB	0.609854706253948	LC.1	York21
CTSB	0.173776513804953	Oligo_2	York21
CTSB	0.333447684391081	Oligo_3	York21
CTSB	0.314024390243902	Vascular	York21
CXADR	0.00620888266532801	Oligo_1	Otero22
CXADR	0.0198853126156123	Astro_1	Otero22
CXADR	0.108668253745974	ACHE_SERT_SLC17A6_Npeps	Otero22
CXADR	0.0664046338436078	Astro_2_APOE	Otero22
CXADR	0.0342654588420638	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CXADR	0.0885660138976627	LC.1	Otero22
CXADR	0.0524351226448631	Oligo_2	Otero22
CXADR	0.173413379073756	Oligo_3	Otero22
CXADR	0.0372386759581882	Vascular	Otero22
CXXC5	0.0208459932891226	Oligo_1	Otero22
CXXC5	0.0858305586385498	Astro_1	Otero22
CXXC5	0.334687018624842	ACHE_SERT_SLC17A6_Npeps	Otero22
CXXC5	0.236739760033099	Astro_2_APOE	Otero22
CXXC5	0.121406065380071	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
CXXC5	0.398483891345546	LC.1	Otero22
CXXC5	0.123237350396966	Oligo_2	Otero22
CXXC5	0.308919382504288	Oligo_3	Otero22
CXXC5	0.141768292682927	Vascular	Otero22
DDAH1	0.0258659409759835	Oligo_1	York21
DDAH1	0.1334628190899	Astro_1	York21
DDAH1	0.429211595014704	ACHE_SERT_SLC17A6_Npeps	York21
DDAH1	0.350682664460074	Astro_2_APOE	York21
DDAH1	0.14001575423395	ACHE_SERT_SLC17A6_ADCYAP1	York21
DDAH1	0.540240050536955	LC.1	York21
DDAH1	0.108839909941936	Oligo_2	York21
DDAH1	0.162435677530017	Oligo_3	York21
DDAH1	0.173344947735192	Vascular	York21
DDIT3	0.00488784380036461	Oligo_1	York21
DDIT3	0.0209027007029227	Astro_1	York21
DDIT3	0.157891051673435	ACHE_SERT_SLC17A6_Npeps	York21
DDIT3	0.0810922631361192	Astro_2_APOE	York21
DDIT3	0.0340685309176841	ACHE_SERT_SLC17A6_ADCYAP1	York21
DDIT3	0.246999368288061	LC.1	York21
DDIT3	0.02903187581467	Oligo_2	York21
DDIT3	0.0914236706689537	Oligo_3	York21
DDIT3	0.0568379790940767	Vascular	York21
DDN	0.000211366218394145	Oligo_1	Otero22
DDN	0.000832408435072142	Astro_1	Otero22
DDN	0.00742192970172245	ACHE_SERT_SLC17A6_Npeps	Otero22
DDN	0.00422010757136947	Astro_2_APOE	Otero22
DDN	0.00177235131941709	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
DDN	0.00366392924826279	LC.1	Otero22
DDN	0.000888730892285816	Oligo_2	Otero22
DDN	0.00274442538593482	Oligo_3	Otero22
DDN	0.00348432055749129	Vascular	Otero22
DIRAS2	0.00433300747707998	Oligo_1	Otero22
