gene	prop_nonzero	cluster
DDIT3	0.00488784380036461	Oligo_1
DDIT3	0.0209027007029227	Astro_1
DDIT3	0.157891051673435	ACHE_SERT_SLC17A6_Npeps
DDIT3	0.0810922631361192	Astro_2_APOE
DDIT3	0.0340685309176841	ACHE_SERT_SLC17A6_ADCYAP1
DDIT3	0.246999368288061	LC.1
DDIT3	0.02903187581467	Oligo_2
DDIT3	0.0914236706689537	Oligo_3
DDIT3	0.0568379790940767	Vascular
SDF2L1	0.003646067267299	Oligo_1
SDF2L1	0.0124861265260821	Astro_1
SDF2L1	0.10208654250105	ACHE_SERT_SLC17A6_Npeps
SDF2L1	0.0599917252792718	Astro_2_APOE
SDF2L1	0.025009846396219	ACHE_SERT_SLC17A6_ADCYAP1
SDF2L1	0.13859759949463	LC.1
SDF2L1	0.0216850337717739	Oligo_2
SDF2L1	0.0567753001715266	Oligo_3
SDF2L1	0.0378919860627178	Vascular
HMOX1	0.000871885650875849	Oligo_1
HMOX1	0.00314465408805031	Astro_1
HMOX1	0.0187648788685058	ACHE_SERT_SLC17A6_Npeps
HMOX1	0.0165494414563508	Astro_2_APOE
HMOX1	0.00551398188263096	ACHE_SERT_SLC17A6_ADCYAP1
HMOX1	0.0468730259001895	LC.1
HMOX1	0.00604337006754355	Oligo_2
HMOX1	0.0264150943396226	Oligo_3
HMOX1	0.0150261324041812	Vascular
ATF3	0.00150598430605828	Oligo_1
ATF3	0.00647428782833888	Astro_1
ATF3	0.0184848060495729	ACHE_SERT_SLC17A6_Npeps
ATF3	0.0223831195697145	Astro_2_APOE
ATF3	0.010338716029933	ACHE_SERT_SLC17A6_ADCYAP1
ATF3	0.0621604548325963	LC.1
ATF3	0.0111387605166489	Oligo_2
ATF3	0.0336192109777015	Oligo_3
ATF3	0.0354965156794425	Vascular
CDKN1A	0.00258923617532828	Oligo_1
CDKN1A	0.0114687384387717	Astro_1
CDKN1A	0.0413807589973393	ACHE_SERT_SLC17A6_Npeps
CDKN1A	0.047124534546959	Astro_2_APOE
CDKN1A	0.0120126033871603	ACHE_SERT_SLC17A6_ADCYAP1
CDKN1A	0.0693619709412508	LC.1
CDKN1A	0.0138642019196587	Oligo_2
CDKN1A	0.0228130360205832	Oligo_3
CDKN1A	0.0705574912891986	Vascular
TES	0.000343470104890486	Oligo_1
TES	0.00212726600073992	Astro_1
TES	0.00658171124492368	ACHE_SERT_SLC17A6_Npeps
TES	0.00442697558957385	Astro_2_APOE
TES	0.00236313509255612	ACHE_SERT_SLC17A6_ADCYAP1
TES	0.00530638029058749	LC.1
TES	0.00231070031994312	Oligo_2
