gene	prop_nonzero	cluster
ASCL1	0.00805833707627678	Oligo_1
ASCL1	0.0319089900110988	Astro_1
ASCL1	0.0542641086682537	ACHE_SERT_SLC17A6_Npeps
ASCL1	0.075424079437319	Astro_2_APOE
ASCL1	0.029243796770382	ACHE_SERT_SLC17A6_ADCYAP1
ASCL1	0.0962728995578016	LC.1
ASCL1	0.0344235098945373	Oligo_2
ASCL1	0.0493996569468268	Oligo_3
ASCL1	0.0418118466898955	Vascular
HAND2	0	Oligo_1
HAND2	0	Astro_1
HAND2	0	ACHE_SERT_SLC17A6_Npeps
HAND2	4.13736036408771e-05	Astro_2_APOE
HAND2	0	ACHE_SERT_SLC17A6_ADCYAP1
HAND2	0	LC.1
HAND2	0	Oligo_2
HAND2	0	Oligo_3
HAND2	0.000217770034843206	Vascular
BMP2	0.000607677877883167	Oligo_1
BMP2	0.00231224565297817	Astro_1
BMP2	0.0162442234981095	ACHE_SERT_SLC17A6_Npeps
BMP2	0.00984691766652875	Astro_2_APOE
BMP2	0.00324931075226467	ACHE_SERT_SLC17A6_ADCYAP1
BMP2	0.00998104864181933	LC.1
BMP2	0.00314018248607655	Oligo_2
BMP2	0.0065180102915952	Oligo_3
BMP2	0.0130662020905923	Vascular
BMP5	0	Oligo_1
BMP5	0.000277469478357381	Astro_1
BMP5	0.00231060075619661	ACHE_SERT_SLC17A6_Npeps
BMP5	0.000992966487381051	Astro_2_APOE
BMP5	0.000590783773139031	ACHE_SERT_SLC17A6_ADCYAP1
BMP5	0.000252684775742262	LC.1
BMP5	0.000355492356914326	Oligo_2
BMP5	0.000514579759862779	Oligo_3
BMP5	0.00522648083623693	Vascular
BMP7	0.00969642526883141	Oligo_1
BMP7	0.0408805031446541	Astro_1
BMP7	0.0981655230359894	ACHE_SERT_SLC17A6_Npeps
BMP7	0.115142738932561	Astro_2_APOE
BMP7	0.0357424182749114	ACHE_SERT_SLC17A6_ADCYAP1
BMP7	0.110044219835755	LC.1
BMP7	0.0513093968479678	Oligo_2
BMP7	0.142881646655232	Oligo_3
BMP7	0.0585801393728223	Vascular
PAX6	0.00195513752014584	Oligo_1
PAX6	0.0132260451350351	Astro_1
PAX6	0.0269570088222938	ACHE_SERT_SLC17A6_Npeps
PAX6	0.0376499793131982	Astro_2_APOE
PAX6	0.00955100433241434	ACHE_SERT_SLC17A6_ADCYAP1
PAX6	0.0232469993682881	LC.1
PAX6	0.0107832681597346	Oligo_2
PAX6	0.014065180102916	Oligo_3
PAX6	0.0237369337979094	Vascular
PAX3	0.000132103886496341	Oligo_1
PAX3	0.0013873473917869	Astro_1
PAX3	0.0061616020165243	ACHE_SERT_SLC17A6_Npeps
PAX3	0.00641290856433595	Astro_2_APOE
PAX3	0.00147695943284758	ACHE_SERT_SLC17A6_ADCYAP1
PAX3	0.00530638029058749	LC.1
PAX3	0.00106647707074298	Oligo_2
PAX3	0.00531732418524871	Oligo_3
PAX3	0.00283101045296167	Vascular
LHX2	0.000396311659489022	Oligo_1
LHX2	0.00157232704402516	Astro_1
LHX2	0.0133734771040471	ACHE_SERT_SLC17A6_Npeps
LHX2	0.00533719486967315	Astro_2_APOE
LHX2	0.00315084679007483	ACHE_SERT_SLC17A6_ADCYAP1
LHX2	0.00694883133291219	LC.1
LHX2	0.00159971560611447	Oligo_2
LHX2	0.00411663807890223	Oligo_3
LHX2	0.00152439024390244	Vascular
HOXA2	5.28415545985363e-05	Oligo_1
HOXA2	0	Astro_1
HOXA2	0.000840218456798768	ACHE_SERT_SLC17A6_Npeps
HOXA2	0.000413736036408771	Astro_2_APOE
HOXA2	9.84639621898385e-05	ACHE_SERT_SLC17A6_ADCYAP1
HOXA2	0.000379027163613392	LC.1
HOXA2	0.000177746178457163	Oligo_2
HOXA2	0	Oligo_3
HOXA2	0.000217770034843206	Vascular
EGR2	0.000317049327591218	Oligo_1
EGR2	0.0010173880873104	Astro_1
EGR2	0.00217056434673015	ACHE_SERT_SLC17A6_Npeps
EGR2	0.00264791063301614	Astro_2_APOE
