k1	k2	looseInDom	strictInDom
0.05	0.04	0.711412812897751	0.835701275045537
0.05	0.12	0.70937632583793	0.835154826958106
0.05	0.2	0.706321595248197	0.832786885245902
0.05	0.28	0.695630038184132	0.822040072859745
0.05	0.36	0.6708527789563	0.798724954462659
0.05	0.44	0.640220619431481	0.775409836065574
0.05	0.52	0.600848536274926	0.736976320582878
0.05	0.6	0.55519728468392	0.687249544626594
0.1	0.04	0.649639372083157	0.771584699453552
0.1	0.12	0.648705982180738	0.77103825136612
0.1	0.2	0.643869325413662	0.767395264116576
0.1	0.28	0.629868476877387	0.754462659380692
0.1	0.36	0.601951633432329	0.729690346083789
0.1	0.44	0.570046669495121	0.698907103825137
0.1	0.52	0.528892660161222	0.655373406193078
0.1	0.6	0.485277895630038	0.606921675774135
0.15	0.04	0.566907085277896	0.692349726775956
0.15	0.12	0.556894357233772	0.683242258652095
0.15	0.2	0.534238438693254	0.660291438979964
0.15	0.28	0.499872719558761	0.626593806921676
0.15	0.36	0.455748833262622	0.579417122040073
0.15	0.44	0.406448875689436	0.52040072859745
0.15	0.52	0.351039456936784	0.457012750455373
0.15	0.6	0.295120916419177	0.387249544626594
