contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	6	4	0.173913043478261	0.333333333333333
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	6	5	0.192307692307692	0.166666666666667
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	12	11	0.22	0.0833333333333333
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10	2	1	0.1	0.5
ACHE_SERT_Npep_Sex	57	22	20	0.350877192982456	0.0909090909090909
Astro_E2YRI_vs_E2CEU	20	9	6	0.3	0.333333333333333
Astro_E4CEU_vs_E2CEU	53	21	21	0.39622641509434	0
Astro_E4YRI_vs_E2YRI	39	22	22	0.564102564102564	0
Astro_E4YRI_vs_E4CEU	34	17	17	0.5	0
Astro_E4vE2	17	5	5	0.294117647058824	0
Astro_Sex	69	42	40	0.579710144927536	0.0476190476190476
LC_E2YRI_vs_E2CEU	7	3	2	0.285714285714286	0.333333333333333
LC_E4CEU_vs_E2CEU	21	7	7	0.333333333333333	0
LC_E4YRI_vs_E2YRI	13	5	4	0.307692307692308	0.2
LC_E4YRI_vs_E4CEU	15	3	3	0.2	0
LC_E4vE2	26	16	16	0.615384615384615	0
LC_Sex	57	26	24	0.421052631578947	0.0769230769230769
Oligo_Astro_E2YRI_vs_E2CEU	25	4	2	0.08	0.5
Oligo_Astro_E4CEU_vs_E2CEU	49	8	8	0.163265306122449	0
Oligo_Astro_E4YRI_vs_E2YRI	29	11	10	0.344827586206897	0.0909090909090909
Oligo_Astro_E4YRI_vs_E4CEU	38	8	8	0.210526315789474	0
Oligo_Astro_E4vE2	26	4	4	0.153846153846154	0
Oligo_Astro_Sex	50	23	22	0.44	0.0434782608695652
