contrast	VisFDR05_tested	reprate0528	reprate1020	reprate1512
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	0.130434782608696	0.173913043478261	0.130434782608696
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	0.153846153846154	0.192307692307692	0.230769230769231
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	0.28	0.22	0.22
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	0.25	0.25	0.5
ACHE_SERT_Npep_E4vE2	10	0.2	0.1	0.2
ACHE_SERT_Npep_Sex	57	0.421052631578947	0.350877192982456	0.403508771929825
Astro_E2YRI_vs_E2CEU	20	0.15	0.3	0.15
Astro_E4CEU_vs_E2CEU	53	0.30188679245283	0.39622641509434	0.452830188679245
Astro_E4YRI_vs_E2YRI	39	0.538461538461538	0.564102564102564	0.58974358974359
Astro_E4YRI_vs_E4CEU	34	0.529411764705882	0.5	0.470588235294118
Astro_E4vE2	17	0.411764705882353	0.294117647058824	0.294117647058824
Astro_Sex	69	0.565217391304348	0.579710144927536	0.608695652173913
LC_E2YRI_vs_E2CEU	7	0.285714285714286	0.285714285714286	0.285714285714286
LC_E4CEU_vs_E2CEU	21	0.380952380952381	0.333333333333333	0.285714285714286
LC_E4YRI_vs_E2YRI	13	0.461538461538462	0.307692307692308	0.153846153846154
LC_E4YRI_vs_E4CEU	15	0.266666666666667	0.2	0.466666666666667
LC_E4vE2	26	0.384615384615385	0.615384615384615	0.538461538461538
LC_Sex	57	0.473684210526316	0.421052631578947	0.491228070175439
Oligo_Astro_E2YRI_vs_E2CEU	25	0.08	0.08	0.04
Oligo_Astro_E4CEU_vs_E2CEU	49	0.122448979591837	0.163265306122449	0.163265306122449
Oligo_Astro_E4YRI_vs_E2YRI	29	0.413793103448276	0.344827586206897	0.379310344827586
Oligo_Astro_E4YRI_vs_E4CEU	38	0.184210526315789	0.210526315789474	0.210526315789474
Oligo_Astro_E4vE2	26	0.192307692307692	0.153846153846154	0.192307692307692
Oligo_Astro_Sex	50	0.5	0.44	0.46
