contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	6	3	0.130434782608696	0.5
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	5	4	0.153846153846154	0.2
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	17	14	0.28	0.176470588235294
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10	3	2	0.2	0.333333333333333
ACHE_SERT_Npep_Sex	57	26	24	0.421052631578947	0.0769230769230769
Astro_E2YRI_vs_E2CEU	20	6	3	0.15	0.5
Astro_E4CEU_vs_E2CEU	53	16	16	0.30188679245283	0
Astro_E4YRI_vs_E2YRI	39	21	21	0.538461538461538	0
Astro_E4YRI_vs_E4CEU	34	18	18	0.529411764705882	0
Astro_E4vE2	17	7	7	0.411764705882353	0
Astro_Sex	69	41	39	0.565217391304348	0.0487804878048781
LC_E2YRI_vs_E2CEU	7	2	2	0.285714285714286	0
LC_E4CEU_vs_E2CEU	21	8	8	0.380952380952381	0
LC_E4YRI_vs_E2YRI	13	6	6	0.461538461538462	0
LC_E4YRI_vs_E4CEU	15	4	4	0.266666666666667	0
LC_E4vE2	26	11	10	0.384615384615385	0.0909090909090909
LC_Sex	57	30	27	0.473684210526316	0.1
Oligo_Astro_E2YRI_vs_E2CEU	25	4	2	0.08	0.5
Oligo_Astro_E4CEU_vs_E2CEU	49	7	6	0.122448979591837	0.142857142857143
Oligo_Astro_E4YRI_vs_E2YRI	29	13	12	0.413793103448276	0.0769230769230769
Oligo_Astro_E4YRI_vs_E4CEU	38	7	7	0.184210526315789	0
Oligo_Astro_E4vE2	26	5	5	0.192307692307692	0
Oligo_Astro_Sex	50	27	25	0.5	0.0740740740740741
