label	contrast	gene_name	adj.P.Val	logFC	P.Value	t	AveExpr	B
astrocytes_5	by_YRI	NTSR2	2.55630094056203e-87	3.84115490832966	7.04215135141054e-90	24.5396643649549	10.564444193374	194.234564777256
astrocytes_5	by_YRI	SPON1	5.31578058145445e-87	4.59936340316103	3.45173902723518e-89	24.402853353996	10.7948719622348	192.669996288047
astrocytes_5	by_YRI	APOE	5.31578058145445e-87	4.0098602367599	5.66326724872419e-89	24.3602470231789	13.1514291366759	192.218066257363
astrocytes_5	by_YRI	AQP4	5.31578058145445e-87	4.15552448230762	5.85760945614815e-89	24.3573437146809	13.310647289874	192.187079668898
astrocytes_5	by_YRI	GJA1	5.41861685290427e-85	4.5821925600089	7.46365957700312e-87	23.9403913541153	13.0709687269668	187.357589936708
astrocytes_5	by_YRI	FGFR3	1.45960811313789e-82	4.72691201734086	2.41257539361635e-84	23.4436728399548	10.606157107156	181.565764745574
astrocytes_5	by_YRI	TRIL	2.42011695539048e-80	3.76300770108881	4.66689220047752e-82	22.9912113012876	10.9672987121717	176.335553447681
astrocytes_5	by_YRI	RGMA	1.67905145916359e-77	4.41434702010252	3.70038889071866e-79	22.4174054669195	9.2874423048261	169.651698005956
astrocytes_5	by_YRI	PLPP3	2.03167845996558e-70	3.63797508126478	5.0372193222287e-72	21.0026401767224	11.9753503088284	153.353274224906
astrocytes_5	by_YRI	RYR3	3.21326524219066e-70	4.54737462478451	8.85197036416161e-72	20.9539581952921	9.50767330353665	152.77199947778
astrocytes_5	by_YRI	EGFR	5.24643820816284e-69	3.9111043447722	1.58982976004934e-70	20.7043899514074	10.0857543246076	149.906743150087
astrocytes_5	by_YRI	CXCL14	6.96730592021405e-65	3.5146933053878	2.30324162651704e-66	19.8738793108509	9.26801195202443	140.367561254125
astrocytes_5	by_YRI	MGST1	5.58528682347074e-63	3.54666688515295	2.04191905667168e-64	19.4834309893966	10.4652260489686	135.920419861478
astrocytes_5	by_YRI	TTYH1	5.58528682347074e-63	3.38081591419324	2.15410511098045e-64	19.4787668442924	11.8308738237066	135.861680606918
astrocytes_5	by_YRI	IDH2	1.54350304715289e-60	2.4998160031183	6.37811176509461e-62	18.9813720650606	12.1040185749943	130.195594359751
astrocytes_5	by_YRI	CABLES1	1.0631141056739e-59	3.09055496449963	4.68590239415491e-61	18.8064822194977	9.66660576033622	128.22271573414
astrocytes_5	by_YRI	SOX9	1.6764086758532e-58	3.97219571999681	7.85094972162656e-60	18.5587290592035	10.5369413202462	125.41938008038
astrocytes_5	by_YRI	SLC7A11	7.89951790465676e-55	3.15359422252088	3.91711631635872e-56	17.8057069050814	9.74935650589795	116.957178881931
astrocytes_5	by_YRI	BAG3	3.7670969700991e-51	2.57293058021023	1.97175874467997e-52	17.0437055470564	10.4651807850083	108.478256678186
astrocytes_5	by_YRI	TP53	1.37393395144464e-48	2.41629206070377	7.56988402999803e-50	16.5058772550839	9.66283314788594	102.575727066848
