domainDef	Ntopdommks	LFF_Xenium_loose	LFF_Xenium_strict	Xenium_All_NMFpred_LCcells	LFF_Visium	k1	k2	looseInDom	strictInDom	nmfpredInDom
LC_k1_0.08_k2_0.281	10	0.2	0.284848484848485	0.163636363636364	0.587878787878788	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	20	0.727819548872181	0.768421052631579	0.506766917293233	0.717293233082707	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	30	0.863403781979978	0.87007786429366	0.589321468298109	0.797107897664071	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	40	0.877673545966229	0.851219512195122	0.729080675422139	0.790056285178237	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	50	0.891476590636255	0.858631452581033	0.814261704681873	0.797935174069628	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	60	0.890636287857739	0.870575159766602	0.83123089747152	0.822895248680189	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	70	0.880360423410025	0.875391479310646	0.85002187035255	0.863738955471962	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	80	0.880661040787623	0.883052039381153	0.862400375058603	0.875574308485701	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	90	0.875243857266329	0.885022842326213	0.877993167880808	0.888480059266576	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	100	0.892565256525653	0.89945394539454	0.895781578157816	0.894365436543654	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	110	0.897130491625904	0.904073214164957	0.906381443996123	0.91115118454568	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	120	0.89701368150566	0.902541843183554	0.90747274116258	0.920056948399194	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	130	0.896412623414221	0.899984978628685	0.90698766881973	0.913334880989772	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	140	0.904016968795784	0.906015613041482	0.915221622094422	0.918361723994665	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	150	0.902210764922886	0.90190497355438	0.917294101960087	0.916344726432286	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	160	0.894828899566389	0.894034923239189	0.91195652173913	0.912020977381929	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	170	0.884482874432863	0.882887867074578	0.906212101782476	0.905103168642107	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	180	0.882356451330803	0.878757574822268	0.904733685196045	0.888033581283373	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	190	0.873063111531009	0.866764642846208	0.894908300419461	0.883067179292035	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	200	0.870774769369234	0.863205580139504	0.894001350033751	0.88305557638941	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	210	0.868875549494158	0.854125619952509	0.890887062550819	0.886207980096731	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	220	0.860303274485386	0.84914714616568	0.880521573511098	0.889724618652902	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	230	0.856822805066587	0.846475605275681	0.872949681797223	0.897614896969368	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	240	0.851469643570201	0.841134394694352	0.866116599246515	0.907921144464313	0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	250	0.835646138338213	0.822831085297365	0.849789852637642		0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	260	0.827250289319255	0.807870849250159	0.841875676358435		0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	270	0.806618898902744	0.784386617100372	0.824361559600726		0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	280	0.801623016328561	0.78055387003843	0.813406147673167		0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	290	0.805924790610082	0.78518913054442	0.814904847365851		0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	300	0.798976433071479	0.779624218046867	0.811779686440961		0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.281	365	0.807771523334066	0.787135725267322	0.839371901397502		0.08	0.281	0.76458093636605	0.876344086021505	0.810241714428109
LC_k1_0.08_k2_0.294	10	0.515151515151515	0.503030303030303	-0.0424242424242424	0.83030303030303	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	20	0.804511278195489	0.819548872180451	0.470676691729323	0.769924812030075	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	30	0.872747497219132	0.868298109010011	0.562180200222469	0.802002224694105	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	40	0.866041275797374	0.844090056285179	0.705816135084428	0.823452157598499	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	50	0.877839135654262	0.847010804321729	0.787563025210084	0.799951980792317	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	60	0.868407891080856	0.851736593498194	0.809113642678522	0.830953042511809	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	70	0.880045490333304	0.874796605721284	0.837249584463302	0.869057825212142	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	80	0.858321612751993	0.864908579465542	0.845124238162213	0.876629160806376	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	90	0.869119644400543	0.873597563485204	0.868131868131868	0.894209161624892	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	100	0.873831383138314	0.884716471647165	0.881680168016802	0.900894089408941	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	110	0.879990081824944	0.89181074318689	0.894623898293623	0.917868494015283	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	120	0.886999097159525	0.896430307660254	0.900451420237516	0.922119591638308	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	130	0.896964317415232	0.904447691488345	0.911149954253096	0.924920455010993	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	140	0.893144693971267	0.896109859832499	0.905552032538104	0.916179396908006	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	150	0.894032623672163	0.894075292235211	0.908721276501178	0.913308147028757	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	160	0.884513066916676	0.883780616430329	0.903304816594398	0.911549279268721	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	170	0.882919620666704	0.880064239959453	0.903410457923437	0.905420704563358	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	180	0.876090825848534	0.871679167052481	0.896445363540027	0.888309309958126	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	190	0.861157256142101	0.858044762867028	0.885584817191321	0.882775000328046	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	200	0.851884797119928	0.845517137928449	0.880577514437861	0.886729168229206	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	210	0.855315151299187	0.840944886991283	0.877140071203429	0.887524498449916	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	220	0.850487143798989	0.839906910172825	0.872732907704705	0.890103289136327	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	230	0.84094151529124	0.829855582048481	0.861965336732757	0.897138517453687	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	240	0.841751592909599	0.83039983333044	0.859798781228841	0.907535721106269	0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	250	0.829377622041953	0.817685402966447	0.845253204051265		0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	260	0.819281805488702	0.80058990403818	0.835131379958966		0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	270	0.811648079306072	0.788269615038158	0.830393649661404		0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	280	0.797645013693688	0.778025594349782	0.810225166866195		0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	290	0.803236333533016	0.781350797151633	0.812951976549805		0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	300	0.797819086878743	0.776003288925433	0.807821864687385		0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.294	365	0.804628562544574	0.785125474121657	0.8364875636378		0.08	0.294	0.757500663775555	0.869713261648746	0.802392225267879
LC_k1_0.08_k2_0.308	10	0.551515151515151	0.575757575757576	0.0424242424242424	0.806060606060606	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	20	0.809022556390977	0.830075187969925	0.488721804511278	0.766917293233083	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	30	0.880756395995551	0.853615127919911	0.544382647385984	0.789988876529477	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	40	0.883114446529081	0.857598499061914	0.727767354596623	0.826078799249531	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	50	0.894933973589436	0.861896758703481	0.808883553421369	0.80561824729892	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	60	0.880300083356488	0.85818282856349	0.815448735759934	0.831286468463462	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	70	0.884909456740443	0.881410200332429	0.855795643425772	0.870702475723909	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	80	0.87991092358181	0.882606657290202	0.863666197843413	0.880215658696671	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	90	0.873910359303618	0.884644194756554	0.879046795900728	0.892645182532823	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	100	0.891521152115212	0.898865886588659	0.896009600960096	0.90017401740174	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	110	0.888528728895701	0.900241191984311	0.901485472127674	0.915938958140793	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	120	0.899777762344607	0.906153205083686	0.911334120425029	0.924453087019932	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	130	0.898712258804572	0.904535088557812	0.911051632549946	0.920370345081867	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	140	0.900330191773633	0.903492160678752	0.912195228619536	0.92186919157683	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	150	0.901314725098893	0.901439175074448	0.916849637761678	0.916437174985555	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	160	0.892886440876597	0.890527950310559	0.911473104418141	0.914156803000117	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	170	0.886024144942935	0.882868326402501	0.906295149638803	0.907049908097777	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	180	0.877317201148184	0.875051699126516	0.899597724209595	0.892819737234688	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	190	0.87752452684941	0.870506982989761	0.898187003284827	0.884230646424088	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	200	0.872496812420311	0.86246306157654	0.895747393684842	0.888950723768094	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	210	0.866751756599599	0.855677971317782	0.887749965175757	0.889383951045213	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	220	0.866653894051155	0.852930470013468	0.888070189278892	0.89129903134738	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	230	0.851787779336669	0.837089054860082	0.872776094230433	0.898323055338434	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	240	0.844106668518551	0.83212034931162	0.860165975103734	0.908387298390597	0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	250	0.841195027120434	0.823481591705467	0.857861661786589		0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	260	0.826250046939702	0.806724496379669	0.844674306743272		0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	270	0.813043617425022	0.788595789303618	0.831406923734665		0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	280	0.80891811666694	0.786858432961062	0.818316742378274		0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	290	0.79577419223895	0.776662726318858	0.807103696751489		0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	300	0.796221735797064	0.774610829009211	0.806841409348993		0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.308	365	0.807754742450453	0.789087983653445	0.838561236652411		0.08	0.308	0.749977874148155	0.863978494623656	0.794418141041615
LC_k1_0.08_k2_0.321	10	0.551515151515151	0.575757575757576	0.0424242424242424	0.806060606060606	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	20	0.809022556390977	0.830075187969925	0.488721804511278	0.766917293233083	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	30	0.880756395995551	0.853615127919911	0.544382647385984	0.789988876529477	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	40	0.883114446529081	0.857598499061914	0.727767354596623	0.826078799249531	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	50	0.894933973589436	0.861896758703481	0.808883553421369	0.80561824729892	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	60	0.880300083356488	0.85818282856349	0.815448735759934	0.831286468463462	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	70	0.884909456740443	0.881410200332429	0.855795643425772	0.870702475723909	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	80	0.87991092358181	0.882606657290202	0.863666197843413	0.880215658696671	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	90	0.873910359303618	0.884644194756554	0.879046795900728	0.892645182532823	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	100	0.891521152115212	0.898865886588659	0.896009600960096	0.90017401740174	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	110	0.888528728895701	0.900241191984311	0.901485472127674	0.915938958140793	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	120	0.899777762344607	0.906153205083686	0.911334120425029	0.924453087019932	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	130	0.898712258804572	0.904535088557812	0.911051632549946	0.920370345081867	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	140	0.900330191773633	0.903492160678752	0.912195228619536	0.92186919157683	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	150	0.901314725098893	0.901439175074448	0.916849637761678	0.916437174985555	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	160	0.892886440876597	0.890527950310559	0.911473104418141	0.914156803000117	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	170	0.886024144942935	0.882868326402501	0.906295149638803	0.907049908097777	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	180	0.877317201148184	0.875051699126516	0.899597724209595	0.892819737234688	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	190	0.87752452684941	0.870506982989761	0.898187003284827	0.884230646424088	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	200	0.872496812420311	0.86246306157654	0.895747393684842	0.888950723768094	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	210	0.866751756599599	0.855677971317782	0.887749965175757	0.889383951045213	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	220	0.866653894051155	0.852930470013468	0.888070189278892	0.89129903134738	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	230	0.851787779336669	0.837089054860082	0.872776094230433	0.898323055338434	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	240	0.844106668518551	0.83212034931162	0.860165975103734	0.908387298390597	0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	250	0.841195027120434	0.823481591705467	0.857861661786589		0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	260	0.826250046939702	0.806724496379669	0.844674306743272		0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	270	0.813043617425022	0.788595789303618	0.831406923734665		0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	280	0.80891811666694	0.786858432961062	0.818316742378274		0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	290	0.79577419223895	0.776662726318858	0.807103696751489		0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	300	0.796221735797064	0.774610829009211	0.806841409348993		0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.321	365	0.807754742450453	0.789087983653445	0.838561236652411		0.08	0.321	0.742543587928135	0.859139784946237	0.785821081485173
LC_k1_0.08_k2_0.334	10	0.515151515151515	0.503030303030303	-0.0424242424242424	0.83030303030303	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	20	0.8	0.815037593984962	0.46015037593985	0.771428571428571	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	30	0.866963292547275	0.861624026696329	0.557730812013348	0.795773081201335	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	40	0.876360225140713	0.847842401500938	0.712945590994372	0.832082551594747	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	50	0.88360144057623	0.852677070828331	0.79390156062425	0.808979591836735	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	60	0.864573492636844	0.842622950819672	0.79722145040289	0.831731036399	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	70	0.873466888286239	0.872907007260957	0.843793193946286	0.862374245472837	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	80	0.874003750586029	0.878387248007501	0.858438818565401	0.879301453352086	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	90	0.867736757624398	0.880347367987817	0.874107914557353	0.896530435856279	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	100	0.887044704470447	0.895745574557456	0.892685268526853	0.904374437443744	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	110	0.886752473908437	0.899069044023172	0.900692018123211	0.919716881184771	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	120	0.897784568372803	0.904680880616709	0.91038961038961	0.928057503993333	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	130	0.897029865217332	0.902874544237939	0.910494476232094	0.923970011880539	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	140	0.898598324987427	0.902455664647613	0.911696660908355	0.9254466335746	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	150	0.906783412596115	0.905642028534602	0.920615138450598	0.919431085826037	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	160	0.892101253955233	0.890536739716395	0.911024844720497	0.919055431852807	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	170	0.888466728952559	0.886036357862984	0.909341051898804	0.910674702768058	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	180	0.884179552866858	0.881732975297591	0.903591674640164	0.898523616984063	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	190	0.879015164438146	0.873792684153665	0.902924851395505	0.885026702882862	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	200	0.8758403960099	0.866406660166504	0.896552913822846	0.888835220880522	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	210	0.867111985046632	0.855407152089617	0.887668330671573	0.889181808463425	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	220	0.867245566681505	0.854978220812226	0.887991299594845	0.891379048026913	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	230	0.852655717170621	0.838624713050382	0.873135104879931	0.899491812535291	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	240	0.846180489244605	0.82860553134603	0.865899581589958	0.909432455424573	0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	250	0.843894590313445	0.827774012384198	0.862488167810685		0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	260	0.832495929047653	0.811862942897425	0.851603630913976		0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	270	0.810062323671564	0.786457061596638	0.830304637618867		0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	280	0.806769765649343	0.783670892303655	0.82498155042065		0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	290	0.790808123922914	0.775057229349154	0.800698929955705		0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	300	0.795404837831532	0.773407260080668	0.805496505516728		0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.334	365	0.80814736577144	0.790692532260015	0.837886546420119		0.08	0.334	0.734047260819542	0.850716845878136	0.777722402192873
LC_k1_0.08_k2_0.348	10	0.43030303030303	0.466666666666667	0.0424242424242424	0.793939393939394	0.08	0.348	0.727143995043809	0.842831541218638	0.769997508098679
