contrast	VisFDR05_tested	reprate0528	reprate1020	reprate1512	reprate_straightxfer	reprate_withLCcellsDomainLimd
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	0.130434782608696	0.173913043478261	0.130434782608696	0.130434782608696	0.173913043478261
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	0.153846153846154	0.192307692307692	0.230769230769231	0.230769230769231	0.192307692307692
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	0.28	0.22	0.22	0.3	0.32
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	0.25	0.25	0.5	0.25	0.25
ACHE_SERT_Npep_E4vE2	10	0.2	0.1	0.2	0.2	0.2
ACHE_SERT_Npep_Sex	57	0.421052631578947	0.350877192982456	0.403508771929825	0.43859649122807	0.43859649122807
Astro_E2YRI_vs_E2CEU	20	0.15	0.3	0.15	0.2	0.15
Astro_E4CEU_vs_E2CEU	53	0.30188679245283	0.39622641509434	0.452830188679245	0.320754716981132	0.30188679245283
Astro_E4YRI_vs_E2YRI	39	0.538461538461538	0.564102564102564	0.58974358974359	0.512820512820513	0.564102564102564
Astro_E4YRI_vs_E4CEU	34	0.529411764705882	0.5	0.470588235294118	0.411764705882353	0.441176470588235
Astro_E4vE2	17	0.411764705882353	0.294117647058824	0.294117647058824	0.294117647058824	0.294117647058824
Astro_Sex	69	0.565217391304348	0.579710144927536	0.608695652173913	0.579710144927536	0.579710144927536
LC_E2YRI_vs_E2CEU	7	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.428571428571429
LC_E4CEU_vs_E2CEU	21	0.380952380952381	0.333333333333333	0.285714285714286	0.0952380952380952	0.142857142857143
LC_E4YRI_vs_E2YRI	13	0.461538461538462	0.307692307692308	0.153846153846154	0.538461538461538	0.538461538461538
LC_E4YRI_vs_E4CEU	15	0.266666666666667	0.2	0.466666666666667	0.266666666666667	0.266666666666667
LC_E4vE2	26	0.384615384615385	0.615384615384615	0.538461538461538	0.192307692307692	0.230769230769231
LC_Sex	57	0.473684210526316	0.421052631578947	0.491228070175439	0.491228070175439	0.456140350877193
Oligo_Astro_E2YRI_vs_E2CEU	25	0.08	0.08	0.04	0.12	0.08
Oligo_Astro_E4CEU_vs_E2CEU	49	0.122448979591837	0.163265306122449	0.163265306122449	0.163265306122449	0.142857142857143
Oligo_Astro_E4YRI_vs_E2YRI	29	0.413793103448276	0.344827586206897	0.379310344827586	0.379310344827586	0.379310344827586
Oligo_Astro_E4YRI_vs_E4CEU	38	0.184210526315789	0.210526315789474	0.210526315789474	0.131578947368421	0.105263157894737
Oligo_Astro_E4vE2	26	0.192307692307692	0.153846153846154	0.192307692307692	0.153846153846154	0.153846153846154
Oligo_Astro_Sex	50	0.5	0.44	0.46	0.48	0.44
