contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	5	4	0.173913043478261	0.2
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	6	5	0.192307692307692	0.166666666666667
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	18	16	0.32	0.111111111111111
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10	3	2	0.2	0.333333333333333
ACHE_SERT_Npep_Sex	57	26	25	0.43859649122807	0.0384615384615385
Astro_E2YRI_vs_E2CEU	20	4	3	0.15	0.25
Astro_E4CEU_vs_E2CEU	53	16	16	0.30188679245283	0
Astro_E4YRI_vs_E2YRI	39	22	22	0.564102564102564	0
Astro_E4YRI_vs_E4CEU	34	15	15	0.441176470588235	0
Astro_E4vE2	17	5	5	0.294117647058824	0
Astro_Sex	69	43	40	0.579710144927536	0.0697674418604651
LC_E2YRI_vs_E2CEU	7	3	3	0.428571428571429	0
LC_E4CEU_vs_E2CEU	21	4	3	0.142857142857143	0.25
LC_E4YRI_vs_E2YRI	13	7	7	0.538461538461538	0
LC_E4YRI_vs_E4CEU	15	5	4	0.266666666666667	0.2
LC_E4vE2	26	6	6	0.230769230769231	0
LC_Sex	57	28	26	0.456140350877193	0.0714285714285714
Oligo_Astro_E2YRI_vs_E2CEU	25	2	2	0.08	0
Oligo_Astro_E4CEU_vs_E2CEU	49	8	7	0.142857142857143	0.125
Oligo_Astro_E4YRI_vs_E2YRI	29	11	11	0.379310344827586	0
Oligo_Astro_E4YRI_vs_E4CEU	38	4	4	0.105263157894737	0
Oligo_Astro_E4vE2	26	4	4	0.153846153846154	0
Oligo_Astro_Sex	50	26	22	0.44	0.153846153846154
