contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	4	3	0.130434782608696	0.25
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	7	6	0.230769230769231	0.142857142857143
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	18	15	0.3	0.166666666666667
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10	3	2	0.2	0.333333333333333
ACHE_SERT_Npep_Sex	57	26	25	0.43859649122807	0.0384615384615385
Astro_E2YRI_vs_E2CEU	20	4	4	0.2	0
Astro_E4CEU_vs_E2CEU	53	17	17	0.320754716981132	0
Astro_E4YRI_vs_E2YRI	39	20	20	0.512820512820513	0
Astro_E4YRI_vs_E4CEU	34	14	14	0.411764705882353	0
Astro_E4vE2	17	5	5	0.294117647058824	0
Astro_Sex	69	42	40	0.579710144927536	0.0476190476190476
LC_E2YRI_vs_E2CEU	7	3	2	0.285714285714286	0.333333333333333
LC_E4CEU_vs_E2CEU	21	3	2	0.0952380952380952	0.333333333333333
LC_E4YRI_vs_E2YRI	13	8	7	0.538461538461538	0.125
LC_E4YRI_vs_E4CEU	15	4	4	0.266666666666667	0
LC_E4vE2	26	5	5	0.192307692307692	0
LC_Sex	57	29	28	0.491228070175439	0.0344827586206897
Oligo_Astro_E2YRI_vs_E2CEU	25	3	3	0.12	0
Oligo_Astro_E4CEU_vs_E2CEU	49	9	8	0.163265306122449	0.111111111111111
Oligo_Astro_E4YRI_vs_E2YRI	29	11	11	0.379310344827586	0
Oligo_Astro_E4YRI_vs_E4CEU	38	5	5	0.131578947368421	0
Oligo_Astro_E4vE2	26	4	4	0.153846153846154	0
Oligo_Astro_Sex	50	28	24	0.48	0.142857142857143
