**** Job starts ****
Mon Jun  1 06:00:07 PM EDT 2026
**** JHPCE info ****
User: mtippani
Job id: 32386335
Job name: xeniumRanger.sh
Hostname: 
Task id: 30
Loading LIBD SLURM module for xeniumranger/3.1.1
Reference files, for use with the '--transcriptome' argument, can be accessed
or downloaded into /dcs04/lieber/lcolladotor/annotationFiles_LIBD001/10x. 
brnum = Br2305
bundle = output-XETG00558__0068654__Br2305__20250501__172909
Martian Runtime - v4.0.13
Running preflight checks (please wait)...
2026-06-01 18:01:04 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS
2026-06-01 18:01:04 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS.fork0.split
2026-06-01 18:01:09 [runtime] (split_complete)  ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS
2026-06-01 18:01:09 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS.fork0.join
2026-06-01 18:01:21 [runtime] (join_complete)   ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_SETUP_INPUTS
2026-06-01 18:01:21 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_CELL_SEGMENTATION_DATASET
2026-06-01 18:01:21 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_CELL_SEGMENTATION_DATASET.fork0.split
2026-06-01 18:01:21 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.METRIC_CALCULATOR_CS.GENERATE_MORPHOLOGY_PLOTS
2026-06-01 18:01:21 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.METRIC_CALCULATOR_CS.GENERATE_MORPHOLOGY_PLOTS.fork0.split
2026-06-01 18:01:21 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_UNZIP_TRANSCRIPTS
2026-06-01 18:01:22 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_UNZIP_TRANSCRIPTS.fork0.chnk0.main
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_SETUP_RELABEL
2026-06-01 18:01:22 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_SETUP_RELABEL.fork0.chnk0.main
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_NUCLEAR_SEGMENTATION_DATASET
2026-06-01 18:01:22 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_NUCLEAR_SEGMENTATION_DATASET.fork0.split
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.FORWARD_OUTS
2026-06-01 18:01:22 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.FORWARD_OUTS.fork0.chnk0.main
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE.SETUP_CELL_SEGMENTOR_FINALIZER
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE._CELL_SEGMENTOR_FINALIZER.SEGMENT_INTERIOR
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE._CELL_SEGMENTOR_FINALIZER.SEGMENT_CELLS
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE._CELL_SEGMENTOR_FINALIZER.PAIR_CELLS_NUCLEI
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE._CELL_SEGMENTOR_FINALIZER.EXPAND_NUCLEI
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS._SEGMENTOR_CORE._CELL_SEGMENTOR_FINALIZER.GENERATE_CELLS_DATASET
2026-06-01 18:01:22 [runtime] (chunks_complete) ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.FORWARD_OUTS
2026-06-01 18:01:22 [runtime] (chunks_complete) ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_SETUP_RELABEL
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_COMPUTE_CODEWORD_CATEGORIES_ORIGINAL
2026-06-01 18:01:22 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_COMPUTE_CODEWORD_CATEGORIES_ORIGINAL.fork0.chnk0.main
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_COMPUTE_CODEWORD_CATEGORIES_NEW
2026-06-01 18:01:22 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_COMPUTE_CODEWORD_CATEGORIES_NEW.fork0.chnk0.main
2026-06-01 18:01:22 [runtime] (ready)           ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.SETUP_COUNTER_CS
2026-06-01 18:01:22 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.INSITU_COUNTER_CS.SETUP_COUNTER_CS.fork0.split
2026-06-01 18:01:23 [runtime] (chunks_complete) ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_COMPUTE_CODEWORD_CATEGORIES_ORIGINAL
2026-06-01 18:01:23 [runtime] (chunks_complete) ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_RELABEL.XR_COMPUTE_CODEWORD_CATEGORIES_NEW
2026-06-01 18:01:25 [runtime] (split_complete)  ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_CELL_SEGMENTATION_DATASET
2026-06-01 18:01:25 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_CELL_SEGMENTATION_DATASET.fork0.join
2026-06-01 18:01:25 [runtime] (split_complete)  ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_NUCLEAR_SEGMENTATION_DATASET
2026-06-01 18:01:25 [runtime] (run:local)       ID.IMPORT_SEGMENTATION.XENIUM_RANGER_CS.XR_IMPORT_SEGMENTATION.IMPORT_NUCLEAR_SEGMENTATION_DATASET.fork0.join
