rn	WebDivLabel
Br0942_aaaaoide-1	endothelial_mural_16
Br0942_aaabndgl-1	astrocytes_5
Br0942_aaacabfi-1	endothelial_mural_16
Br0942_aaaeinkg-1	endothelial_mural_16
Br0942_aaaflame-1	astrocytes_5
Br0942_aaagddfo-1	astrocytes_5
Br0942_aaamdmij-1	inhibitory_4
Br0942_aabamoja-1	endothelial_mural_16
Br0942_aabbkodk-1	endothelial_mural_16
Br0942_aabblkjp-1	astrocytes_5
Br0942_aabcnnjj-1	endothelial_mural_16
Br0942_aabdnkbi-1	inhibitory_4
Br0942_aabjjlpc-1	inhibitory_25
Br0942_aabjpoki-1	inhibitory_4
Br0942_aabpdjca-1	inhibitory_4
Br0942_aabpplnm-1	endothelial_mural_16
Br0942_aacbbbmj-1	endothelial_mural_16
Br0942_aaccaefc-1	OPCs_27
Br0942_aacfioei-1	neurons_ambiguous_2
Br0942_aacgocco-1	endothelial_mural_16
Br0942_aacpheme-1	oligodendrocytes_28
Br0942_aadecpmi-1	neurons_ambiguous_2
Br0942_aadiefbj-1	oligodendrocytes_28
Br0942_aadkipij-1	astrocytes_5
Br0942_aadleiae-1	astrocytes_5
Br0942_aadoeilc-1	endothelial_mural_16
Br0942_aaebcpjf-1	astrocytes_5
Br0942_aaekaahf-1	astrocytes_5
Br0942_aaeljmfl-1	endothelial_mural_16
Br0942_aaengohc-1	oligodendrocytes_10
Br0942_aaepadab-1	astrocytes_5
Br0942_aafbalmf-1	astrocytes_5
Br0942_aafcfidn-1	macrophages_microglia_15
Br0942_aafdjfcf-1	inhibitory_25
Br0942_aafdjlcb-1	inhibitory_4
Br0942_aafghoji-1	inhibitory_4
Br0942_aaflamlh-1	inhibitory_4
Br0942_aafohnbn-1	astrocytes_5
Br0942_aafpcfgn-1	endothelial_mural_16
Br0942_aagbjlfb-1	oligodendrocytes_10
Br0942_aagkadil-1	astrocytes_5
Br0942_aagmlmfp-1	astrocytes_5
Br0942_aagodncb-1	neurons_ambiguous_2
Br0942_aagoeggg-1	astrocytes_5
Br0942_aahdbime-1	endothelial_mural_16
Br0942_aahecbhb-1	neurons_ambiguous_2
Br0942_aahffoan-1	oligodendrocytes_12
Br0942_aahhooch-1	endothelial_mural_16
Br0942_aahifppk-1	endothelial_mural_16
Br0942_aahlldil-1	endothelial_mural_16
Br0942_aahllibb-1	endothelial_mural_16
Br0942_aahpnjom-1	endothelial_mural_16
Br0942_aaiddmnh-1	endothelial_mural_16
Br0942_aaijlhnn-1	endothelial_mural_16
Br0942_aaimpjhb-1	macrophages_microglia_15
Br0942_aajakdgp-1	neurons_ambiguous_2
Br0942_aajbbchj-1	inhibitory_4
Br0942_aajcammm-1	inhibitory_25
Br0942_aajlecil-1	neurons_ambiguous_2
Br0942_aajlolhj-1	neurons_ambiguous_2
Br0942_aajmjhgl-1	astrocytes_5
Br0942_aajmmcgd-1	inhibitory_4
Br0942_aajnbnpe-1	astrocytes_5
Br0942_aajnfnhh-1	endothelial_mural_16
Br0942_aajooaek-1	endothelial_mural_16
Br0942_aakcblkf-1	astrocytes_5
Br0942_aakclgnf-1	endothelial_mural_16
Br0942_aakfmnom-1	OPCs_27
Br0942_aakgilbj-1	endothelial_mural_16
Br0942_aakhkokf-1	astrocytes_5
Br0942_aakjbmjd-1	astrocytes_5
