k1,k2
0.04,0.20
0.04,0.28
0.04,0.36
0.04,0.44
0.04,0.52
0.04,0.60
0.04,0.68
0.04,0.76
0.08,0.20
0.08,0.28
0.08,0.36
0.08,0.44
0.08,0.52
0.08,0.60
0.08,0.68
0.12,0.12
0.12,0.20
0.12,0.28
0.12,0.36
0.12,0.44
0.12,0.52
0.16,-0.04
0.16,0.04
0.16,0.12
0.16,0.20
0.16,0.28
0.16,0.36
0.16,0.44
0.20,-0.04
0.20,0.04
0.20,0.12
0.20,0.20
0.20,0.28
0.20,0.36
0.24,0.04
0.24,0.12
0.24,0.20
0.24,0.28
0.24,0.36
0.24,0.44
0.32,-0.04
0.32,0.04
0.32,0.12
0.32,0.20
