k1	k2	looseInDom	strictInDom	WebDivNMFInDom
0.04	0.04	0.930093390153232	0.99962921764924	1
0.04	0.12	0.923474476380452	0.99925843529848	0.999629045720115
0.04	0.2	0.916583552452625	0.9990730441231	0.998979875730316
0.04	0.28	0.908695257956297	0.997033741193919	0.991931744412501
0.04	0.36	0.891649288240094	0.987393400074156	0.970601873319113
0.04	0.44	0.864538942787197	0.968668891360771	0.937494203839377
0.04	0.52	0.830084323148064	0.942528735632184	0.900120560140963
0.04	0.6	0.792456251700064	0.907489803485354	0.855606046554762
0.04	0.68	0.74340375374014	0.862254356692622	0.801539460261523
0.04	0.76	0.681566778493064	0.804041527623285	0.73532412130205
0.08	0.04	0.897361501496056	0.989247311827957	0.956320133543541
0.08	0.12	0.885211714570677	0.983500185391175	0.945933413706761
0.08	0.2	0.872245897180162	0.976084538375973	0.933877399610498
0.08	0.28	0.85102910508659	0.961624026696329	0.912083835667254
0.08	0.36	0.816483815395775	0.9302929180571	0.876843179078179
0.08	0.44	0.772418170278357	0.89191694475343	0.830566632662525
0.08	0.52	0.721008250974703	0.847237671486837	0.776592784939256
0.08	0.6	0.6663342098105	0.792547274749722	0.719094871557081
0.08	0.68	0.612204188956388	0.735446792732666	0.659556709635537
0.08	0.76	0.550820563967722	0.666110493140527	0.590280997867013
0.12	0.04	0.860821470668238	0.966073414905451	0.916906241305759
0.12	0.12	0.836249886662435	0.946978123841305	0.894092553092831
0.12	0.2	0.81204098286336	0.92973674453096	0.869702309190392
0.12	0.28	0.771783479916584	0.89247311827957	0.828711861263099
0.12	0.36	0.721189591078067	0.845012977382277	0.774274320689975
0.12	0.44	0.669416991567685	0.794215795328142	0.721784290086247
0.12	0.52	0.618460422522441	0.739896180941787	0.666790318093295
0.12	0.6	0.565871792546922	0.684464219503152	0.609292404711119
0.12	0.68	0.510653731072627	0.624953652206155	0.548734118519892
0.12	0.76	0.45017680660078	0.553578049684835	0.48112770101085
0.16	0.04	0.819203916946233	0.930663700407861	0.872391727719559
0.16	0.12	0.774594251518724	0.89321468298109	0.828619122693128
0.16	0.2	0.733792728261855	0.85669262143122	0.787072243346008
0.16	0.28	0.685828270922114	0.809974045235447	0.73606602986182
0.16	0.36	0.631879590171366	0.754356692621431	0.68125753500881
0.16	0.44	0.576661528697071	0.695031516499815	0.622183065937123
0.16	0.52	0.528334391150603	0.64330737856878	0.568209218213855
0.16	0.6	0.47511107081331	0.584167593622544	0.509227487712139
0.16	0.68	0.413818115876326	0.512606599925844	0.443104887322637
0.16	0.76	0.344274186236286	0.432146829810901	0.36622461281647
0.2	0.04	0.76833801795267	0.888023730070449	0.818881572846147
0.2	0.12	0.71003717472119	0.832220986281053	0.760085319484374
0.2	0.2	0.655635143712032	0.776232851316277	0.704256700361681
0.2	0.28	0.599691721824281	0.719873934000742	0.64638783269962
0.2	0.36	0.541300208541119	0.657026325546904	0.583603820829083
