LCDomainDef	brnum	anno	N	LCdomainCellNum	prop_of_LCdomain_cells
wd_domain12412	Br0942	OPC	71	1865	0.0380697050938338
wd_domain12412	Br0942	Astro_FGFR3	292	1865	0.15656836461126
wd_domain12412	Br0942	Astro_RYR3	54	1865	0.0289544235924933
wd_domain12412	Br0942	Oligodendrocytes	93	1865	0.0498659517426273
wd_domain12412	Br0942	Mixed Neuropept.	97	1865	0.0520107238605898
wd_domain12412	Br0942	LCNE	749	1865	0.401608579088472
wd_domain12412	Br0942	Microglia	144	1865	0.0772117962466488
wd_domain12412	Br0942	DISCARD	18	1865	0.0096514745308311
wd_domain12412	Br0942	Endothelium	172	1865	0.0922252010723861
wd_domain12412	Br0942	Vasc. SMC	77	1865	0.0412868632707775
wd_domain12412	Br0942	Blood	79	1865	0.0423592493297587
wd_domain12412	Br0942	NK_and_T_cells	10	1865	0.00536193029490617
wd_domain12412	Br0942	Inhib_5HTR2A	5	1865	0.00268096514745308
wd_domain12412	Br0942	Serotonergic	4	1865	0.00214477211796247
wd_domain12412	Br0946	DISCARD	29	1513	0.0191672174487773
wd_domain12412	Br0946	Microglia	105	1513	0.069398545935228
wd_domain12412	Br0946	Endothelium	135	1513	0.0892267019167218
wd_domain12412	Br0946	LCNE	630	1513	0.416391275611368
wd_domain12412	Br0946	Inhib_5HTR2A	2	1513	0.00132187706543291
wd_domain12412	Br0946	Mixed Neuropept.	78	1513	0.0515532055518837
wd_domain12412	Br0946	Vasc. SMC	49	1513	0.0323859881031064
wd_domain12412	Br0946	Astro_RYR3	47	1513	0.0310641110376735
wd_domain12412	Br0946	Oligodendrocytes	116	1513	0.0766688697951091
wd_domain12412	Br0946	Astro_FGFR3	195	1513	0.128883013879709
wd_domain12412	Br0946	Blood	34	1513	0.0224719101123596
wd_domain12412	Br0946	NK_and_T_cells	8	1513	0.00528750826173166
wd_domain12412	Br0946	OPC	72	1513	0.0475875743555849
wd_domain12412	Br0946	Serotonergic	3	1513	0.00198281559814937
wd_domain12412	Br0946	Ependyma	9	1513	0.00594844679444812
wd_domain12412	Br0946	Astro_SERPINA3	1	1513	0.000660938532716457
wd_domain12412	Br1039	Oligodendrocytes	69	731	0.094391244870041
wd_domain12412	Br1039	Astro_RYR3	20	731	0.027359781121751
wd_domain12412	Br1039	Endothelium	83	731	0.113543091655267
wd_domain12412	Br1039	LCNE	279	731	0.381668946648427
wd_domain12412	Br1039	Blood	14	731	0.0191518467852257
wd_domain12412	Br1039	Astro_FGFR3	159	731	0.217510259917921
wd_domain12412	Br1039	OPC	29	731	0.039671682626539
wd_domain12412	Br1039	Vasc. SMC	12	731	0.0164158686730506
wd_domain12412	Br1039	Mixed Neuropept.	29	731	0.039671682626539
wd_domain12412	Br1039	NK_and_T_cells	9	731	0.012311901504788
wd_domain12412	Br1039	Microglia	14	731	0.0191518467852257
wd_domain12412	Br1039	DISCARD	7	731	0.00957592339261286
wd_domain12412	Br1039	Serotonergic	6	731	0.00820793433652531
wd_domain12412	Br1039	Astro_SERPINA3	1	731	0.00136798905608755
wd_domain12412	Br1039L	OPC	76	1723	0.0441091120139292
wd_domain12412	Br1039L	Astro_RYR3	83	1723	0.0481717933836332
wd_domain12412	Br1039L	Endothelium	152	1723	0.0882182240278584
wd_domain12412	Br1039L	DISCARD	37	1723	0.0214741729541497
wd_domain12412	Br1039L	LCNE	740	1723	0.429483459082995
wd_domain12412	Br1039L	Mixed Neuropept.	57	1723	0.0330818340104469
wd_domain12412	Br1039L	Astro_FGFR3	245	1723	0.14219384793964
wd_domain12412	Br1039L	Oligodendrocytes	160	1723	0.0928612884503772
wd_domain12412	Br1039L	Microglia	76	1723	0.0441091120139292
wd_domain12412	Br1039L	Serotonergic	7	1723	0.004062681369704
wd_domain12412	Br1039L	Blood	32	1723	0.0185722576900755
wd_domain12412	Br1039L	NK_and_T_cells	18	1723	0.0104468949506674
wd_domain12412	Br1039L	Vasc. SMC	38	1723	0.0220545560069646
wd_domain12412	Br1039L	Inhib_5HTR2A	2	1723	0.00116076610562972
wd_domain12412	Br1105	Astro_FGFR3	235	1484	0.158355795148248
wd_domain12412	Br1105	Mixed Neuropept.	67	1484	0.0451482479784367
wd_domain12412	Br1105	LCNE	693	1484	0.466981132075472
wd_domain12412	Br1105	Endothelium	134	1484	0.0902964959568733
wd_domain12412	Br1105	Vasc. SMC	55	1484	0.0370619946091644
wd_domain12412	Br1105	NK_and_T_cells	15	1484	0.0101078167115903
wd_domain12412	Br1105	Astro_RYR3	27	1484	0.0181940700808625
wd_domain12412	Br1105	OPC	54	1484	0.0363881401617251
wd_domain12412	Br1105	Blood	25	1484	0.0168463611859838
wd_domain12412	Br1105	Oligodendrocytes	105	1484	0.0707547169811321
wd_domain12412	Br1105	DISCARD	20	1484	0.0134770889487871
wd_domain12412	Br1105	Microglia	51	1484	0.034366576819407
wd_domain12412	Br1105	Inhib_5HTR2A	3	1484	0.00202156334231806
wd_domain12412	Br1285	Oligodendrocytes	29	916	0.0316593886462882
wd_domain12412	Br1285	Microglia	97	916	0.10589519650655
wd_domain12412	Br1285	LCNE	369	916	0.402838427947598
wd_domain12412	Br1285	Astro_FGFR3	146	916	0.15938864628821
wd_domain12412	Br1285	Mixed Neuropept.	48	916	0.0524017467248908
wd_domain12412	Br1285	Astro_RYR3	16	916	0.0174672489082969
wd_domain12412	Br1285	Vasc. SMC	24	916	0.0262008733624454
wd_domain12412	Br1285	OPC	57	916	0.0622270742358079
wd_domain12412	Br1285	Inhib_5HTR2A	5	916	0.0054585152838428
wd_domain12412	Br1285	DISCARD	13	916	0.0141921397379913
wd_domain12412	Br1285	NK_and_T_cells	6	916	0.00655021834061135
wd_domain12412	Br1285	Blood	13	916	0.0141921397379913
wd_domain12412	Br1285	Endothelium	91	916	0.0993449781659389
wd_domain12412	Br1285	Serotonergic	2	916	0.00218340611353712
