k1	k2	looseInDom	strictInDom
0.05	0.04	0.719473907509546	0.842987249544627
0.05	0.12	0.717437420449724	0.842622950819672
0.05	0.2	0.714552397114977	0.840619307832423
0.05	0.28	0.705218498090793	0.830601092896175
0.05	0.36	0.678065337293169	0.806010928961749
0.05	0.44	0.646414934238439	0.78287795992714
0.05	0.52	0.605854900296988	0.741530054644809
0.05	0.6	0.558421722528638	0.692714025500911
0.05	0.68	0.509630886720407	0.636612021857924
0.05	0.76	0.441323716588884	0.556466302367942
0.1	0.04	0.657191344929996	0.777959927140255
0.1	0.12	0.656088247772592	0.777413479052823
0.1	0.2	0.651421298260501	0.773406193078324
0.1	0.28	0.63623249893933	0.761020036429873
0.1	0.36	0.608315655494272	0.737158469945355
0.1	0.44	0.576750106067034	0.706921675774135
0.1	0.52	0.536274925753076	0.663934426229508
0.1	0.6	0.490963088672041	0.614207650273224
0.1	0.68	0.433856597369538	0.544444444444444
0.1	0.76	0.373186253712346	0.475045537340619
0.15	0.04	0.572337717437421	0.698907103825137
0.15	0.12	0.561476453118371	0.689981785063752
0.15	0.2	0.541450997030123	0.669581056466302
0.15	0.28	0.505897327110734	0.630965391621129
0.15	0.36	0.465591854051761	0.585974499089253
0.15	0.44	0.419516334323292	0.534061930783242
0.15	0.52	0.362070428510819	0.468488160291439
0.15	0.6	0.302418328383538	0.394535519125683
0.15	0.68	0.247518031395842	0.325865209471767
0.15	0.76	0.191175222740772	0.25063752276867
0.2	0.04	0.464997878659313	0.585792349726776
0.2	0.12	0.461858294442087	0.582331511839709
0.2	0.2	0.450572761985575	0.570127504553734
0.2	0.28	0.430292745014849	0.547905282331512
0.2	0.36	0.400593975392448	0.513114754098361
0.2	0.44	0.359270258803564	0.462112932604736
0.2	0.52	0.318795078489605	0.416393442622951
0.2	0.6	0.268985999151464	0.35264116575592
0.2	0.68	0.217225286380993	0.287249544626594
0.2	0.76	0.169537547730165	0.221857923497268
0.25	0.04	0.373186253712346	0.476867030965392
0.25	0.12	0.368095036062792	0.470673952641166
0.25	0.2	0.355451845566398	0.458469945355191
0.25	0.28	0.32982605006364	0.428597449908925
0.25	0.36	0.30182435299109	0.39143897996357
0.25	0.44	0.26457361052185	0.348816029143898
0.25	0.52	0.222910479422995	0.296174863387978
0.25	0.6	0.181586762834111	0.242440801457195
0.25	0.68	0.144336020364871	0.192714025500911
0.25	0.76	0.105133644463301	0.14207650273224
0.3	0.04	0.271786168858719	0.351912568306011
0.3	0.12	0.26423419601188	0.344626593806922
0.3	0.2	0.25108188375053	0.329872495446266
0.3	0.28	0.226813746287654	0.298360655737705
0.3	0.36	0.196436147645312	0.261748633879781
0.3	0.44	0.170470937632584	0.228779599271403
0.3	0.52	0.139753924480272	0.189253187613843
0.3	0.6	0.104539669070853	0.142440801457195
0.3	0.68	0.0794229953330505	0.107650273224044
0.3	0.76	0.0576156130674586	0.0797814207650273
0.35	0.04	0.207042851081884	0.274499089253188
0.35	0.12	0.191260076368265	0.255737704918033
0.35	0.2	0.175053033517183	0.234790528233151
0.35	0.28	0.151972846839202	0.205100182149363
0.35	0.36	0.111327959270259	0.15063752276867
0.35	0.44	0.0862112855324565	0.117668488160291
0.35	0.52	0.068731438268986	0.0936247723132969
0.35	0.6	0.0539669070852779	0.0750455373406193
0.35	0.68	0.0385235468816292	0.0528233151183971
0.35	0.76	0.0274077216801018	0.0367941712204007
0.4	0.04	0.165040305473059	0.223132969034608
0.4	0.12	0.158506576156131	0.214936247723133
0.4	0.2	0.147475604582096	0.200364298724954
0.4	0.28	0.130589732711073	0.178870673952641
0.4	0.36	0.097496817988969	0.132422586520947
0.4	0.44	0.077725922783199	0.107832422586521
0.4	0.52	0.0627068307170132	0.0867030965391621
0.4	0.6	0.0493848112006788	0.068488160291439
0.4	0.68	0.0364870598218074	0.0497267759562842
0.4	0.76	0.0263046245226983	0.034608378870674
0.45	0.04	0.122358930844294	0.166120218579235
0.45	0.12	0.117352566822232	0.159927140255009
0.45	0.2	0.10445481544336	0.14207650273224
0.45	0.28	0.0808655070004243	0.110928961748634
0.45	0.36	0.0586338565973695	0.0819672131147541
0.45	0.44	0.0479422995333051	0.0652094717668488
0.45	0.52	0.0398812049215104	0.0531876138433516
0.45	0.6	0.0294442087399236	0.0398907103825137
0.45	0.68	0.0244378447178617	0.0322404371584699
0.45	0.76	0.0134917267713195	0.0167577413479053
