contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	4	2	0.0869565217391304	0.5
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	3	2	0.0769230769230769	0.333333333333333
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	17	13	0.26	0.235294117647059
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10	1	1	0.1	0
ACHE_SERT_Npep_Sex	57	29	27	0.473684210526316	0.0689655172413793
Astro_E2YRI_vs_E2CEU	20	7	3	0.15	0.571428571428571
Astro_E4CEU_vs_E2CEU	53	13	13	0.245283018867925	0
Astro_E4YRI_vs_E2YRI	39	22	21	0.538461538461538	0.0454545454545455
Astro_E4YRI_vs_E4CEU	34	14	14	0.411764705882353	0
Astro_E4vE2	17	7	7	0.411764705882353	0
Astro_Sex	69	48	46	0.666666666666667	0.0416666666666667
LC_E2YRI_vs_E2CEU	7	3	3	0.428571428571429	0
LC_E4CEU_vs_E2CEU	21	9	9	0.428571428571429	0
LC_E4YRI_vs_E2YRI	13	3	3	0.230769230769231	0
LC_E4YRI_vs_E4CEU	15	5	5	0.333333333333333	0
LC_E4vE2	26	15	15	0.576923076923077	0
LC_Sex	57	31	27	0.473684210526316	0.129032258064516
Oligo_Astro_E2YRI_vs_E2CEU	25	10	6	0.24	0.4
Oligo_Astro_E4CEU_vs_E2CEU	49	17	15	0.306122448979592	0.117647058823529
Oligo_Astro_E4YRI_vs_E2YRI	29	13	10	0.344827586206897	0.230769230769231
Oligo_Astro_E4YRI_vs_E4CEU	38	13	12	0.315789473684211	0.0769230769230769
Oligo_Astro_E4vE2	26	6	6	0.230769230769231	0
Oligo_Astro_Sex	50	28	26	0.52	0.0714285714285714
