contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	4	3	0.130434782608696	0.25
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	5	3	0.115384615384615	0.4
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	14	13	0.26	0.0714285714285714
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10				
ACHE_SERT_Npep_Sex	57	29	27	0.473684210526316	0.0689655172413793
Astro_E2YRI_vs_E2CEU	20	7	3	0.15	0.571428571428571
Astro_E4CEU_vs_E2CEU	53	17	15	0.283018867924528	0.117647058823529
Astro_E4YRI_vs_E2YRI	39	21	21	0.538461538461538	0
Astro_E4YRI_vs_E4CEU	34	13	13	0.382352941176471	0
Astro_E4vE2	17	5	5	0.294117647058824	0
Astro_Sex	69	44	41	0.594202898550725	0.0681818181818182
LC_E2YRI_vs_E2CEU	7	3	3	0.428571428571429	0
LC_E4CEU_vs_E2CEU	21	5	5	0.238095238095238	0
LC_E4YRI_vs_E2YRI	13	3	3	0.230769230769231	0
LC_E4YRI_vs_E4CEU	15	6	6	0.4	0
LC_E4vE2	26	7	7	0.269230769230769	0
LC_Sex	57	31	26	0.456140350877193	0.161290322580645
Oligo_Astro_E2YRI_vs_E2CEU	25	8	5	0.2	0.375
Oligo_Astro_E4CEU_vs_E2CEU	49	11	11	0.224489795918367	0
Oligo_Astro_E4YRI_vs_E2YRI	29	13	10	0.344827586206897	0.230769230769231
Oligo_Astro_E4YRI_vs_E4CEU	38	9	9	0.236842105263158	0
Oligo_Astro_E4vE2	26	8	8	0.307692307692308	0
Oligo_Astro_Sex	50	23	23	0.46	0
