	contrast	VisFDR05_tested	reprate0536	reprate1036	reprate1512
1	ACHE_SERT_Npep_E2YRI_vs_E2CEU	23		0.0434782608695652	0.0869565217391304
2	ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	0.0769230769230769	0.153846153846154	0.0769230769230769
3	ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	0.1		0.12
4	ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	0.125	0.125	0.25
5	ACHE_SERT_Npep_E4vE2	10	0.1	0.2	0.3
6	ACHE_SERT_Npep_Sex	57	0.333333333333333	0.280701754385965	0.228070175438597
7	Astro_E2YRI_vs_E2CEU	20			
8	Astro_E4CEU_vs_E2CEU	53	0.0566037735849057	0.0188679245283019	0.0188679245283019
9	Astro_E4YRI_vs_E2YRI	39	0.0256410256410256	0.0256410256410256	
10	Astro_E4YRI_vs_E4CEU	34	0.0588235294117647	0.0588235294117647	0.0882352941176471
11	Astro_E4vE2	17			0.0588235294117647
12	Astro_Sex	69	0.608695652173913	0.565217391304348	0.521739130434783
13	LC_E2YRI_vs_E2CEU	7	0.142857142857143		0.142857142857143
14	LC_E4CEU_vs_E2CEU	21	0.19047619047619	0.0952380952380952	0.142857142857143
15	LC_E4YRI_vs_E2YRI	13		0.0769230769230769	0.0769230769230769
16	LC_E4YRI_vs_E4CEU	15	0.133333333333333	0.0666666666666667	
17	LC_E4vE2	26	0.0769230769230769		
18	LC_Sex	57	0.333333333333333	0.298245614035088	0.315789473684211
19	Oligo_Astro_E2YRI_vs_E2CEU	25	0.24	0.28	0.28
20	Oligo_Astro_E4CEU_vs_E2CEU	49	0.244897959183673	0.163265306122449	0.224489795918367
21	Oligo_Astro_E4YRI_vs_E2YRI	29	0.0689655172413793	0.103448275862069	0.0689655172413793
22	Oligo_Astro_E4YRI_vs_E4CEU	38	0.105263157894737	0.0526315789473684	0.315789473684211
23	Oligo_Astro_E4vE2	26	0.115384615384615	0.115384615384615	0.0384615384615385
24	Oligo_Astro_Sex	50	0.4	0.36	0.4
