contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	1	1	0.0434782608695652	0
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	4	4	0.153846153846154	0
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	1			
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	1	1	0.125	0
ACHE_SERT_Npep_E4vE2	10	2	2	0.2	0
ACHE_SERT_Npep_Sex	57	19	16	0.280701754385965	0.157894736842105
Astro_E2YRI_vs_E2CEU	20				
Astro_E4CEU_vs_E2CEU	53	1	1	0.0188679245283019	0
Astro_E4YRI_vs_E2YRI	39	1	1	0.0256410256410256	0
Astro_E4YRI_vs_E4CEU	34	3	2	0.0588235294117647	0.333333333333333
Astro_E4vE2	17				
Astro_Sex	69	40	39	0.565217391304348	0.025
LC_E2YRI_vs_E2CEU	7				
LC_E4CEU_vs_E2CEU	21	3	2	0.0952380952380952	0.333333333333333
LC_E4YRI_vs_E2YRI	13	1	1	0.0769230769230769	0
LC_E4YRI_vs_E4CEU	15	1	1	0.0666666666666667	0
LC_E4vE2	26				
LC_Sex	57	19	17	0.298245614035088	0.105263157894737
Oligo_Astro_E2YRI_vs_E2CEU	25	7	7	0.28	0
Oligo_Astro_E4CEU_vs_E2CEU	49	9	8	0.163265306122449	0.111111111111111
Oligo_Astro_E4YRI_vs_E2YRI	29	4	3	0.103448275862069	0.25
Oligo_Astro_E4YRI_vs_E4CEU	38	4	2	0.0526315789473684	0.5
Oligo_Astro_E4vE2	26	3	3	0.115384615384615	0
Oligo_Astro_Sex	50	29	18	0.36	0.379310344827586
