contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	4	3	0.130434782608696	0.25
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	5	3	0.115384615384615	0.4
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	16	14	0.28	0.125
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10				
ACHE_SERT_Npep_Sex	57	30	28	0.491228070175439	0.0666666666666667
Astro_E2YRI_vs_E2CEU	20	8	3	0.15	0.625
Astro_E4CEU_vs_E2CEU	53	19	15	0.283018867924528	0.210526315789474
Astro_E4YRI_vs_E2YRI	39	22	22	0.564102564102564	0
Astro_E4YRI_vs_E4CEU	34	13	13	0.382352941176471	0
Astro_E4vE2	17	6	6	0.352941176470588	0
Astro_Sex	69	46	45	0.652173913043478	0.0217391304347826
LC_E2YRI_vs_E2CEU	7	2	2	0.285714285714286	0
LC_E4CEU_vs_E2CEU	21	10	10	0.476190476190476	0
LC_E4YRI_vs_E2YRI	13	2	2	0.153846153846154	0
LC_E4YRI_vs_E4CEU	15	6	6	0.4	0
LC_E4vE2	26	10	9	0.346153846153846	0.1
LC_Sex	57	32	27	0.473684210526316	0.15625
Oligo_Astro_E2YRI_vs_E2CEU	25	8	5	0.2	0.375
Oligo_Astro_E4CEU_vs_E2CEU	49	11	11	0.224489795918367	0
Oligo_Astro_E4YRI_vs_E2YRI	29	12	9	0.310344827586207	0.25
Oligo_Astro_E4YRI_vs_E4CEU	38	8	8	0.210526315789474	0
Oligo_Astro_E4vE2	26	6	6	0.230769230769231	0
Oligo_Astro_Sex	50	29	24	0.48	0.172413793103448
