contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	4	2	0.0869565217391304	0.5
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	2	2	0.0769230769230769	0
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	6	6	0.12	0
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10	3	3	0.3	0
ACHE_SERT_Npep_Sex	57	16	13	0.228070175438597	0.1875
Astro_E2YRI_vs_E2CEU	20				
Astro_E4CEU_vs_E2CEU	53	1	1	0.0188679245283019	0
Astro_E4YRI_vs_E2YRI	39	1			
Astro_E4YRI_vs_E4CEU	34	4	3	0.0882352941176471	0.25
Astro_E4vE2	17	1	1	0.0588235294117647	0
Astro_Sex	69	36	36	0.521739130434783	0
LC_E2YRI_vs_E2CEU	7	1	1	0.142857142857143	0
LC_E4CEU_vs_E2CEU	21	3	3	0.142857142857143	0
LC_E4YRI_vs_E2YRI	13	1	1	0.0769230769230769	0
LC_E4YRI_vs_E4CEU	15				
LC_E4vE2	26				
LC_Sex	57	22	18	0.315789473684211	0.181818181818182
Oligo_Astro_E2YRI_vs_E2CEU	25	8	7	0.28	0.125
Oligo_Astro_E4CEU_vs_E2CEU	49	11	11	0.224489795918367	0
Oligo_Astro_E4YRI_vs_E2YRI	29	2	2	0.0689655172413793	0
Oligo_Astro_E4YRI_vs_E4CEU	38	14	12	0.315789473684211	0.142857142857143
Oligo_Astro_E4vE2	26	1	1	0.0384615384615385	0
Oligo_Astro_Sex	50	28	20	0.4	0.285714285714286
