	contrast	VisFDR05_tested	reprate0536	reprate1036	reprate1512
1	ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	0.130434782608696	0.130434782608696	0.130434782608696
2	ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	0.115384615384615	0.115384615384615	0.115384615384615
3	ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	0.28	0.3	0.26
4	ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	0.25	0.25	0.25
5	ACHE_SERT_Npep_E4vE2	10			
6	ACHE_SERT_Npep_Sex	57	0.491228070175439	0.456140350877193	0.473684210526316
7	Astro_E2YRI_vs_E2CEU	20	0.15	0.15	0.15
8	Astro_E4CEU_vs_E2CEU	53	0.283018867924528	0.377358490566038	0.283018867924528
9	Astro_E4YRI_vs_E2YRI	39	0.564102564102564	0.58974358974359	0.538461538461538
10	Astro_E4YRI_vs_E4CEU	34	0.382352941176471	0.529411764705882	0.382352941176471
11	Astro_E4vE2	17	0.352941176470588	0.352941176470588	0.294117647058824
12	Astro_Sex	69	0.652173913043478	0.623188405797102	0.594202898550725
13	LC_E2YRI_vs_E2CEU	7	0.285714285714286	0.285714285714286	0.428571428571429
14	LC_E4CEU_vs_E2CEU	21	0.476190476190476	0.380952380952381	0.238095238095238
15	LC_E4YRI_vs_E2YRI	13	0.153846153846154	0.230769230769231	0.230769230769231
16	LC_E4YRI_vs_E4CEU	15	0.4	0.466666666666667	0.4
17	LC_E4vE2	26	0.346153846153846	0.692307692307692	0.269230769230769
18	LC_Sex	57	0.473684210526316	0.43859649122807	0.456140350877193
19	Oligo_Astro_E2YRI_vs_E2CEU	25	0.2	0.16	0.2
20	Oligo_Astro_E4CEU_vs_E2CEU	49	0.224489795918367	0.26530612244898	0.224489795918367
21	Oligo_Astro_E4YRI_vs_E2YRI	29	0.310344827586207	0.344827586206897	0.344827586206897
22	Oligo_Astro_E4YRI_vs_E4CEU	38	0.210526315789474	0.263157894736842	0.236842105263158
23	Oligo_Astro_E4vE2	26	0.230769230769231	0.230769230769231	0.307692307692308
24	Oligo_Astro_Sex	50	0.48	0.54	0.46
