	contrast	VisFDR05_tested	reprate8266	reprate12252
1	ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	0.130434782608696	0.0869565217391304
2	ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	0.115384615384615	0.0769230769230769
3	ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	0.18	0.26
4	ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	0.375	0.25
5	ACHE_SERT_Npep_E4vE2	10	0.1	0.1
6	ACHE_SERT_Npep_Sex	57	0.43859649122807	0.473684210526316
7	Astro_E2YRI_vs_E2CEU	20	0.15	0.15
8	Astro_E4CEU_vs_E2CEU	53	0.245283018867925	0.245283018867925
9	Astro_E4YRI_vs_E2YRI	39	0.538461538461538	0.538461538461538
10	Astro_E4YRI_vs_E4CEU	34	0.352941176470588	0.411764705882353
11	Astro_E4vE2	17	0.470588235294118	0.411764705882353
12	Astro_Sex	69	0.652173913043478	0.666666666666667
13	LC_E2YRI_vs_E2CEU	7	0.571428571428571	0.428571428571429
14	LC_E4CEU_vs_E2CEU	21	0.523809523809524	0.428571428571429
15	LC_E4YRI_vs_E2YRI	13	0.307692307692308	0.230769230769231
16	LC_E4YRI_vs_E4CEU	15	0.333333333333333	0.333333333333333
17	LC_E4vE2	26	0.615384615384615	0.576923076923077
18	LC_Sex	57	0.43859649122807	0.473684210526316
19	Oligo_Astro_E2YRI_vs_E2CEU	25	0.16	0.24
20	Oligo_Astro_E4CEU_vs_E2CEU	49	0.306122448979592	0.306122448979592
21	Oligo_Astro_E4YRI_vs_E2YRI	29	0.310344827586207	0.344827586206897
22	Oligo_Astro_E4YRI_vs_E4CEU	38	0.236842105263158	0.315789473684211
23	Oligo_Astro_E4vE2	26	0.230769230769231	0.230769230769231
24	Oligo_Astro_Sex	50	0.52	0.52
