rn	LCloose	LCstrict	gained_or_altered_byNMseg_and_LCstrict	gained_or_altered_byNMseg_and_LCloose
Br0942_aaaaoide-1	No	No	No	No
Br0942_aaabndgl-1	No	No	No	No
Br0942_aaacabfi-1	No	No	No	No
Br0942_aaaeinkg-1	No	No	No	No
Br0942_aaaflame-1	No	No	No	No
Br0942_aaagddfo-1	No	No	No	No
Br0942_aaamdmij-1	No	No	No	No
Br0942_aabamoja-1	No	No	No	No
Br0942_aabbkodk-1	No	No	No	No
Br0942_aabblkjp-1	No	No	No	No
Br0942_aabcnnjj-1	No	No	No	No
Br0942_aabdnkbi-1	No	No	No	No
Br0942_aabjjlpc-1	No	No	No	No
Br0942_aabjpoki-1	No	No	No	No
Br0942_aabpdjca-1	No	No	No	No
Br0942_aabpplnm-1	No	No	No	No
Br0942_aacbbbmj-1	No	No	No	No
Br0942_aaccaefc-1	No	No	No	No
Br0942_aacfioei-1	No	No	No	No
Br0942_aacgocco-1	No	No	No	No
Br0942_aacpheme-1	No	No	No	No
Br0942_aadecpmi-1	No	No	No	No
Br0942_aadiefbj-1	No	No	No	No
Br0942_aadkipij-1	No	No	No	No
Br0942_aadleiae-1	No	No	No	No
Br0942_aadoeilc-1	No	No	No	No
Br0942_aaebcpjf-1	No	No	No	No
Br0942_aaekaahf-1	No	No	No	No
Br0942_aaeljmfl-1	No	No	No	No
Br0942_aaengohc-1	No	No	No	No
Br0942_aaepadab-1	No	No	No	No
Br0942_aafbalmf-1	No	No	No	No
Br0942_aafcfidn-1	No	No	No	No
Br0942_aafdjfcf-1	No	No	No	No
Br0942_aafdjlcb-1	No	No	No	No
Br0942_aafghoji-1	No	No	No	No
Br0942_aaflamlh-1	No	No	No	No
Br0942_aafohnbn-1	No	No	No	No
Br0942_aafpcfgn-1	No	No	No	No
Br0942_aagbjlfb-1	No	No	No	No
Br0942_aagkadil-1	No	No	No	No
Br0942_aagmlmfp-1	No	No	No	No
Br0942_aagodncb-1	No	No	No	No
Br0942_aagoeggg-1	No	No	No	No
Br0942_aahdbime-1	No	No	No	No
Br0942_aahecbhb-1	No	No	No	No
Br0942_aahffoan-1	No	No	No	No
Br0942_aahhooch-1	No	No	No	No
Br0942_aahifppk-1	No	No	No	No
Br0942_aahlldil-1	No	No	No	No
Br0942_aahllibb-1	No	No	No	No
Br0942_aahpnjom-1	No	No	No	No
Br0942_aaiddmnh-1	No	No	No	No
Br0942_aaijlhnn-1	No	No	No	No
Br0942_aaimpjhb-1	No	No	No	No
Br0942_aajakdgp-1	No	No	No	No
Br0942_aajbbchj-1	No	No	No	No
Br0942_aajcammm-1	No	No	No	No
Br0942_aajlecil-1	No	No	No	No
Br0942_aajlolhj-1	No	No	No	No
Br0942_aajmjhgl-1	No	No	No	No
Br0942_aajmmcgd-1	No	No	No	No
Br0942_aajnbnpe-1	No	No	No	No
Br0942_aajnfnhh-1	No	No	No	No
Br0942_aajooaek-1	No	No	No	No
Br0942_aakcblkf-1	No	No	No	No
Br0942_aakclgnf-1	No	No	No	No
Br0942_aakfmnom-1	No	No	No	No
Br0942_aakgilbj-1	No	No	No	No
Br0942_aakhkokf-1	No	No	No	No
Br0942_aakjbmjd-1	No	No	No	No
Br0942_aakmajcc-1	No	No	No	No
Br0942_aakneelg-1	No	No	No	No
Br0942_aakpokek-1	No	No	No	No
Br0942_aalaajgc-1	No	No	No	No
Br0942_aalalmfp-1	No	No	No	No
Br0942_aalbpgng-1	No	No	No	No
Br0942_aalemkja-1	No	No	No	No
Br0942_aalfhalo-1	No	No	No	No
Br0942_aalfodhl-1	No	No	No	No
Br0942_aaliapbd-1	No	No	No	No
Br0942_aalickhn-1	No	No	No	No
Br0942_aalieacg-1	No	No	No	No
Br0942_aallpdhf-1	No	No	No	No
Br0942_aalnlppi-1	No	No	No	No
Br0942_aalpcodf-1	No	No	No	No
Br0942_aamchkom-1	No	No	No	No
Br0942_aamgdbia-1	No	No	No	No
Br0942_aamhdjcb-1	No	No	No	No
Br0942_aamkeoek-1	No	No	No	No
Br0942_aamlagag-1	No	No	No	No
Br0942_aammfjim-1	No	No	No	No
Br0942_aamndjej-1	No	No	No	No
Br0942_aamogadn-1	No	No	No	No
Br0942_aamppbfn-1	LC	No	Yes	No
Br0942_aandojng-1	No	No	No	No
Br0942_aanggojc-1	No	No	No	No
Br0942_aanhdebd-1	No	No	No	No
Br0942_aannmjbi-1	No	No	No	No
Br0942_aaoafmmj-1	No	No	No	No
Br0942_aaobcpgk-1	No	No	No	No
Br0942_aaodobdh-1	No	No	No	No
Br0942_aaoeejna-1	No	No	No	No
Br0942_aaoeodie-1	No	No	No	No
Br0942_aaoepgof-1	No	No	No	No
Br0942_aaojddci-1	No	No	No	No
Br0942_aaojegfn-1	No	No	No	No
Br0942_aaojlfbb-1	No	No	No	No
Br0942_aaoomppm-1	No	No	No	No
Br0942_aapckmfd-1	No	No	No	No
Br0942_aapcmccj-1	No	No	No	No
Br0942_aapdlggp-1	No	No	No	No
Br0942_aapfcdpg-1	No	No	No	No
Br0942_aaplfmkb-1	No	No	No	No
Br0942_aapnjfmi-1	No	No	No	No
Br0942_aapoanbh-1	No	No	No	No
Br0942_abaefcib-1	No	No	No	No
Br0942_abagplph-1	No	No	No	No
Br0942_abahimmp-1	No	No	No	No
Br0942_abaibamf-1	No	No	No	No
Br0942_abamiohn-1	No	No	No	No
Br0942_abbcbmgm-1	No	No	No	No
Br0942_abbfognk-1	No	No	No	No
Br0942_abbidmie-1	No	No	No	No
Br0942_abbkmkoj-1	No	No	No	No
Br0942_abblibdc-1	No	No	No	No
Br0942_abbmjekl-1	No	No	No	No
Br0942_abceifdf-1	No	No	No	No
Br0942_abckmdcb-1	No	No	No	No
Br0942_abdcpoji-1	No	No	No	No
Br0942_abdefnlp-1	No	No	No	No
Br0942_abdengfd-1	No	No	No	No
Br0942_abdiacdp-1	No	No	No	No
Br0942_abdijddi-1	No	No	No	No
Br0942_abdmaeid-1	No	No	No	No
Br0942_abeelbfb-1	No	No	No	No
Br0942_abehhkfk-1	No	No	No	No
Br0942_abejjlco-1	No	No	No	No
Br0942_abelgoib-1	No	No	No	No
Br0942_abepfkig-1	No	No	No	No
Br0942_abfcedhj-1	No	No	No	No
Br0942_abfhkccm-1	No	No	No	No
Br0942_abfimneg-1	No	No	No	No
Br0942_abfokoad-1	No	No	No	No
Br0942_abfpkofe-1	No	No	No	No
Br0942_abgbngik-1	No	No	No	No
Br0942_abgfelof-1	No	No	No	No
Br0942_abggmnkg-1	No	No	No	No
Br0942_abgkfddi-1	No	No	No	No
Br0942_abgmiamn-1	No	No	No	No
Br0942_abgogedc-1	No	No	No	No
Br0942_abgokdkm-1	No	No	No	No
Br0942_abhaieii-1	No	No	No	No
Br0942_abhfcbad-1	No	No	No	No
Br0942_abhfkbpa-1	No	No	No	No
Br0942_abhgieoj-1	No	No	No	No
Br0942_abhjddpp-1	No	No	No	No
Br0942_abhkiilp-1	No	No	No	No
Br0942_abhklgah-1	No	No	No	No
Br0942_abhojool-1	No	No	No	No
Br0942_abialoaj-1	No	No	No	No
Br0942_abianndl-1	No	No	No	No
Br0942_abibhpah-1	No	No	No	No
Br0942_abidpmli-1	No	No	No	No
Br0942_abielbbj-1	No	No	No	No
Br0942_abifickp-1	No	No	No	No
Br0942_abihbgim-1	No	No	No	No
Br0942_abiilldg-1	No	No	No	No
Br0942_abijhidi-1	No	No	No	No
Br0942_abiklabo-1	No	No	No	No
Br0942_abimocgd-1	No	No	No	No
Br0942_abinnngj-1	No	No	No	No
Br0942_abjbolgk-1	No	No	No	No
Br0942_abjeomdd-1	No	No	No	No
Br0942_abjfcmhj-1	No	No	No	No
Br0942_abjgjdfp-1	No	No	No	No
Br0942_abjlgkgn-1	No	No	No	No
Br0942_abjmfdoh-1	No	No	No	No
Br0942_abkcdgpi-1	No	No	No	No
Br0942_abkhbbnm-1	No	No	No	No
Br0942_abkhgnlp-1	No	No	No	No
Br0942_abkiacjl-1	No	No	No	No
Br0942_ablckbcj-1	No	No	No	No
Br0942_ableegfk-1	No	No	No	No
Br0942_ablfkpkh-1	No	No	No	No
Br0942_ablhnajl-1	No	No	No	No
