rn	LCloose	LCstrict	gained_or_altered_byNMseg_and_LCstrict	gained_or_altered_byNMseg_and_LCloose
Br0942_aaaeanlo-1	No	No	No	No
Br0942_aaaeiamh-1	No	No	No	No
Br0942_aaafomlc-1	No	No	No	No
Br0942_aaakcioo-1	No	No	No	No
Br0942_aaalpdfg-1	No	No	No	No
Br0942_aaaockdi-1	No	No	No	No
Br0942_aaaolcmn-1	No	No	No	No
Br0942_aaapahoo-1	No	No	No	No
Br0942_aabaneke-1	No	No	No	No
Br0942_aabdfhdg-1	No	No	No	No
Br0942_aabfipca-1	No	No	No	No
Br0942_aablceee-1	No	No	No	No
Br0942_aacbbfjc-1	No	No	No	No
Br0942_aacbimod-1	No	No	No	No
Br0942_aacbkcke-1	No	No	No	No
Br0942_aacdndok-1	No	No	No	No
Br0942_aacfmepf-1	No	No	No	No
Br0942_aacimnlh-1	No	No	No	No
Br0942_aackednl-1	No	No	No	No
Br0942_aackfgdg-1	No	No	No	No
Br0942_aackgbhn-1	No	No	No	No
Br0942_aacldppb-1	No	No	No	No
Br0942_aacnepcn-1	No	No	No	No
Br0942_aadaecbk-1	No	No	No	No
Br0942_aadgpmno-1	No	No	No	No
Br0942_aadhmgao-1	No	No	No	No
Br0942_aadjnefb-1	No	No	No	No
Br0942_aadkcnbk-1	No	No	No	No
Br0942_aaecgemh-1	No	No	No	No
Br0942_aaeeamje-1	No	No	No	No
Br0942_aaegmifb-1	No	No	No	No
Br0942_aaejbccp-1	No	No	No	No
Br0942_aaennjfl-1	No	No	No	No
Br0942_aaepgmmg-1	No	No	No	No
Br0942_aafogcii-1	No	No	No	No
Br0942_aafpaole-1	No	No	No	No
Br0942_aagenghi-1	No	No	No	No
Br0942_aagfgjie-1	No	No	No	No
Br0942_aagiakca-1	No	No	No	No
Br0942_aagiogia-1	No	No	No	No
Br0942_aagkeifg-1	No	No	No	No
Br0942_aagkhfmn-1	No	No	No	No
Br0942_aagokojo-1	No	No	No	No
Br0942_aagomehj-1	No	No	No	No
Br0942_aahbnnlm-1	No	No	No	No
Br0942_aahcaaba-1	No	No	No	No
Br0942_aahcfifp-1	No	No	No	No
Br0942_aahcjchi-1	No	No	No	No
Br0942_aahdcalc-1	No	No	No	No
Br0942_aahepkfe-1	No	No	No	No
Br0942_aahlngad-1	No	No	No	No
Br0942_aahmhdco-1	No	No	No	No
Br0942_aahomohe-1	No	No	No	No
Br0942_aahpdcgk-1	No	No	No	No
Br0942_aaibdohp-1	No	No	No	No
Br0942_aaicpmbl-1	No	No	No	No
Br0942_aaiebhgf-1	No	No	No	No
Br0942_aaigeppm-1	No	No	No	No
Br0942_aaikchii-1	No	No	No	No
Br0942_aaiomfbl-1	No	No	No	No
Br0942_aajaoamd-1	No	No	No	No
Br0942_aajfjjaf-1	No	No	No	No
Br0942_aajgflja-1	No	No	No	No
Br0942_aajngnnj-1	No	No	No	No
Br0942_aajniaec-1	No	No	No	No
Br0942_aajoklgc-1	No	No	No	No
Br0942_aakaodjo-1	No	No	No	No
Br0942_aakbdmgf-1	No	No	No	No
Br0942_aakffhoh-1	No	No	No	No
Br0942_aakijdph-1	No	No	No	No
Br0942_aakkbmhc-1	No	No	No	No
Br0942_aakmfifb-1	No	No	No	No
Br0942_aakodilg-1	No	No	No	No
Br0942_aakpmoko-1	No	No	No	No
Br0942_aalaellm-1	No	No	No	No
Br0942_aaldfdkg-1	No	No	No	No
Br0942_aalhndcn-1	No	No	No	No
Br0942_aalibbng-1	No	No	No	No
Br0942_aalmdbgk-1	No	No	No	No
Br0942_aalniknk-1	No	No	No	No
Br0942_aaloigie-1	No	No	No	No
Br0942_aamefpnc-1	No	No	No	No
Br0942_aamfpmgj-1	No	No	No	No
Br0942_aamlmbfm-1	No	No	No	No
Br0942_aamneone-1	No	No	No	No
Br0942_aamonkif-1	No	No	No	No
Br0942_aampnbfi-1	No	No	No	No
Br0942_aanbjpbp-1	No	No	No	No
Br0942_aanbnoci-1	No	No	No	No
Br0942_aanelakl-1	No	No	No	No
Br0942_aanfgock-1	No	No	No	No
Br0942_aanggjli-1	No	No	No	No
Br0942_aangholn-1	No	No	No	No
Br0942_aanigioh-1	No	No	No	No
Br0942_aanilcmo-1	LC	No	Yes	No
Br0942_aanpajia-1	No	No	No	No
Br0942_aaocnipe-1	No	No	No	No
Br0942_aaogeple-1	No	No	No	No
Br0942_aaoiknnf-1	No	No	No	No
Br0942_aaoipjdj-1	No	No	No	No
Br0942_aaomdecm-1	No	No	No	No
Br0942_aaongglf-1	No	No	No	No
Br0942_aapaaahk-1	No	No	No	No
Br0942_aapccjkk-1	No	No	No	No
Br0942_aapcjagn-1	No	No	No	No
Br0942_aapfcpnj-1	No	No	No	No
Br0942_aapgdhak-1	No	No	No	No
Br0942_aaphpeog-1	No	No	No	No
Br0942_aapmbajo-1	No	No	No	No
Br0942_aapmkdkl-1	No	No	No	No
Br0942_aapmnofo-1	No	No	No	No
Br0942_aapnfecf-1	No	No	No	No
Br0942_ababonik-1	No	No	No	No
Br0942_abaehplk-1	No	No	No	No
Br0942_abafehdm-1	No	No	No	No
Br0942_abaihkhm-1	No	No	No	No
Br0942_abamobkb-1	No	No	No	No
Br0942_abanmljb-1	No	No	No	No
Br0942_abanocpb-1	No	No	No	No
Br0942_abaogdkp-1	No	No	No	No
Br0942_abbdeojn-1	No	No	No	No
Br0942_abbfddfa-1	No	No	No	No
Br0942_abblbdlk-1	No	No	No	No
Br0942_abbmjlnp-1	No	No	No	No
Br0942_abbnknib-1	No	No	No	No
Br0942_abbnkome-1	No	No	No	No
Br0942_abcbgpff-1	No	No	No	No
Br0942_abcdikok-1	No	No	No	No
Br0942_abcelnfp-1	No	No	No	No
Br0942_abciphhc-1	No	No	No	No
Br0942_abclekka-1	No	No	No	No
Br0942_abcpocbe-1	No	No	No	No
Br0942_abdajahf-1	No	No	No	No
Br0942_abdckpih-1	No	No	No	No
Br0942_abdfcfdb-1	No	No	No	No
Br0942_abdgkmdm-1	No	No	No	No
Br0942_abdmoppg-1	No	No	No	No
Br0942_abecjbne-1	No	No	No	No
Br0942_abegmkgi-1	No	No	No	No
Br0942_abejhlph-1	No	No	No	No
Br0942_abeohegf-1	No	No	No	No
Br0942_abeolcol-1	No	No	No	No
Br0942_abeomaid-1	No	No	No	No
Br0942_abfempil-1	No	No	No	No
Br0942_abffaoil-1	No	No	No	No
Br0942_abfghkad-1	No	No	No	No
Br0942_abfieoaa-1	No	No	No	No
Br0942_abfjelfd-1	No	No	No	No
Br0942_abfjljbl-1	No	No	No	No
Br0942_abfjmamo-1	No	No	No	No
Br0942_abfnpjfc-1	No	No	No	No
Br0942_abgeppmh-1	No	No	No	No
Br0942_abgjabag-1	No	No	No	No
Br0942_abgkfgbo-1	No	No	No	No
Br0942_abgldpjb-1	No	No	No	No
Br0942_abgneanm-1	No	No	No	No
Br0942_abhcfdik-1	No	No	No	No
Br0942_abhdlhad-1	No	No	No	No
Br0942_abhebffh-1	No	No	No	No
Br0942_abhedgkm-1	No	No	No	No
Br0942_abheinkc-1	No	No	No	No
Br0942_abhekame-1	No	No	No	No
Br0942_abhggbmh-1	No	No	No	No
Br0942_abhhdfbg-1	No	No	No	No
Br0942_abhimkhl-1	No	No	No	No
Br0942_abhjikhg-1	No	No	No	No
Br0942_abhlgabj-1	No	No	No	No
Br0942_abhpkdom-1	No	No	No	No
Br0942_abibkpmn-1	No	No	No	No
Br0942_abicdlhb-1	No	No	No	No
Br0942_abideplj-1	No	No	No	No
Br0942_abifahkk-1	No	No	No	No
Br0942_abigbmmk-1	No	No	No	No
Br0942_abiiegmo-1	No	No	No	No
Br0942_abilifkn-1	No	No	No	No
Br0942_abinpkhj-1	No	No	No	No
Br0942_abjigffh-1	No	No	No	No
Br0942_abjjlpdo-1	No	No	No	No
Br0942_abjncooj-1	No	No	No	No
Br0942_abjpmjeg-1	No	No	No	No
Br0942_abkdcgpm-1	No	No	No	No
Br0942_abkioddf-1	No	No	No	No
Br0942_abkjnpcj-1	No	No	No	No
Br0942_abkkncfc-1	No	No	No	No
Br0942_abkmmlgp-1	No	No	No	No
Br0942_abknipjo-1	No	No	No	No
Br0942_ablcelik-1	No	No	No	No
Br0942_ablfabgc-1	No	No	No	No
Br0942_ablinknj-1	No	No	No	No
Br0942_ablkhelm-1	No	No	No	No
Br0942_ablknglh-1	No	No	No	No
Br0942_ablnldhe-1	No	No	No	No
Br0942_abloiipg-1	No	No	No	No
Br0942_ablomodl-1	No	No	No	No
Br0942_ablpbecm-1	No	No	No	No
Br0942_abmcanhc-1	No	No	No	No
Br0942_abmdmdbl-1	No	No	No	No
Br0942_abmfpbld-1	No	No	No	No
Br0942_abmgnieb-1	No	No	No	No
Br0942_abmjadng-1	No	No	No	No
Br0942_abmkddad-1	No	No	No	No
Br0942_abmlfcom-1	No	No	No	No
Br0942_abmmkicf-1	No	No	No	No
Br0942_abmmlmhg-1	No	No	No	No
Br0942_abmnmifp-1	No	No	No	No
Br0942_abmplflm-1	No	No	No	No
Br0942_abncjkeg-1	No	No	No	No
