contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	3	2	0.0869565217391304	0.333333333333333
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	6	5	0.192307692307692	0.166666666666667
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	14	13	0.26	0.0714285714285714
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	4	4	0.5	0
ACHE_SERT_Npep_E4vE2	10				
ACHE_SERT_Npep_Sex	57	26	24	0.421052631578947	0.0769230769230769
Astro_E2YRI_vs_E2CEU	20	5	5	0.25	0
Astro_E4CEU_vs_E2CEU	53	19	19	0.358490566037736	0
Astro_E4YRI_vs_E2YRI	39	20	20	0.512820512820513	0
Astro_E4YRI_vs_E4CEU	34	13	13	0.382352941176471	0
Astro_E4vE2	17	4	4	0.235294117647059	0
Astro_Sex	69	42	41	0.594202898550725	0.0238095238095238
LC_E2YRI_vs_E2CEU	7	3	3	0.428571428571429	0
LC_E4CEU_vs_E2CEU	21	6	6	0.285714285714286	0
LC_E4YRI_vs_E2YRI	13	3	3	0.230769230769231	0
LC_E4YRI_vs_E4CEU	15	5	5	0.333333333333333	0
LC_E4vE2	26	9	9	0.346153846153846	0
LC_Sex	57	28	26	0.456140350877193	0.0714285714285714
Oligo_Astro_E2YRI_vs_E2CEU	25	5	3	0.12	0.4
Oligo_Astro_E4CEU_vs_E2CEU	49	15	14	0.285714285714286	0.0666666666666667
Oligo_Astro_E4YRI_vs_E2YRI	29	11	9	0.310344827586207	0.181818181818182
Oligo_Astro_E4YRI_vs_E4CEU	38	11	11	0.289473684210526	0
Oligo_Astro_E4vE2	26	10	9	0.346153846153846	0.1
Oligo_Astro_Sex	50	24	24	0.48	0
