contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	3	2	0.0869565217391304	0.333333333333333
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	5	3	0.115384615384615	0.4
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	14	12	0.24	0.142857142857143
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10				
ACHE_SERT_Npep_Sex	57	29	26	0.456140350877193	0.103448275862069
Astro_E2YRI_vs_E2CEU	20	3	2	0.1	0.333333333333333
Astro_E4CEU_vs_E2CEU	53	17	17	0.320754716981132	0
Astro_E4YRI_vs_E2YRI	39	20	20	0.512820512820513	0
Astro_E4YRI_vs_E4CEU	34	19	19	0.558823529411765	0
Astro_E4vE2	17	4	4	0.235294117647059	0
Astro_Sex	69	42	41	0.594202898550725	0.0238095238095238
LC_E2YRI_vs_E2CEU	7	5	4	0.571428571428571	0.2
LC_E4CEU_vs_E2CEU	21	5	5	0.238095238095238	0
LC_E4YRI_vs_E2YRI	13	3	3	0.230769230769231	0
LC_E4YRI_vs_E4CEU	15	6	6	0.4	0
LC_E4vE2	26	7	7	0.269230769230769	0
LC_Sex	57	30	27	0.473684210526316	0.1
Oligo_Astro_E2YRI_vs_E2CEU	25	5	3	0.12	0.4
Oligo_Astro_E4CEU_vs_E2CEU	49	9	9	0.183673469387755	0
Oligo_Astro_E4YRI_vs_E2YRI	29	11	10	0.344827586206897	0.0909090909090909
Oligo_Astro_E4YRI_vs_E4CEU	38	9	9	0.236842105263158	0
Oligo_Astro_E4vE2	26	10	9	0.346153846153846	0.1
Oligo_Astro_Sex	50	24	23	0.46	0.0416666666666667
