contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23				
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	1	1	0.0384615384615385	0
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	6	6	0.12	0
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10	2	2	0.2	0
ACHE_SERT_Npep_Sex	57	23	16	0.280701754385965	0.304347826086957
Astro_E2YRI_vs_E2CEU	20	1	1	0.05	0
Astro_E4CEU_vs_E2CEU	53	5	5	0.0943396226415094	0
Astro_E4YRI_vs_E2YRI	39	3	2	0.0512820512820513	0.333333333333333
Astro_E4YRI_vs_E4CEU	34	4	4	0.117647058823529	0
Astro_E4vE2	17	4	1	0.0588235294117647	0.75
Astro_Sex	69	39	38	0.550724637681159	0.0256410256410256
LC_E2YRI_vs_E2CEU	7	3	1	0.142857142857143	0.666666666666667
LC_E4CEU_vs_E2CEU	21				
LC_E4YRI_vs_E2YRI	13	2	2	0.153846153846154	0
LC_E4YRI_vs_E4CEU	15				
LC_E4vE2	26	1	1	0.0384615384615385	0
LC_Sex	57	17	15	0.263157894736842	0.117647058823529
Oligo_Astro_E2YRI_vs_E2CEU	25	9	8	0.32	0.111111111111111
Oligo_Astro_E4CEU_vs_E2CEU	49	10	8	0.163265306122449	0.2
Oligo_Astro_E4YRI_vs_E2YRI	29	1			
Oligo_Astro_E4YRI_vs_E4CEU	38	7	4	0.105263157894737	0.428571428571429
Oligo_Astro_E4vE2	26	3	3	0.115384615384615	0
Oligo_Astro_Sex	50	25	20	0.4	0.2
