	contrast	VisFDR05_tested	reprate8426	reprate12199	reprate16119	reprate20079
1	ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	0.0869565217391304	0.0869565217391304	0.0869565217391304	0.0869565217391304
2	ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	0.153846153846154	0.115384615384615	0.153846153846154	0.115384615384615
3	ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	0.24	0.26	0.24	0.26
4	ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	0.5	0.25	0.5	0.375
5	ACHE_SERT_Npep_E4vE2	10	0.1		0.1	
6	ACHE_SERT_Npep_Sex	57	0.456140350877193	0.456140350877193	0.456140350877193	0.421052631578947
7	Astro_E2YRI_vs_E2CEU	20	0.1	0.1	0.1	0.1
8	Astro_E4CEU_vs_E2CEU	53	0.358490566037736	0.30188679245283	0.358490566037736	0.339622641509434
9	Astro_E4YRI_vs_E2YRI	39	0.538461538461538	0.512820512820513	0.538461538461538	0.461538461538462
10	Astro_E4YRI_vs_E4CEU	34	0.411764705882353	0.5	0.411764705882353	0.529411764705882
11	Astro_E4vE2	17	0.235294117647059	0.352941176470588	0.235294117647059	0.235294117647059
12	Astro_Sex	69	0.608695652173913	0.608695652173913	0.608695652173913	0.608695652173913
13	LC_E2YRI_vs_E2CEU	7	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571
14	LC_E4CEU_vs_E2CEU	21	0.285714285714286	0.380952380952381	0.285714285714286	0.142857142857143
15	LC_E4YRI_vs_E2YRI	13	0.230769230769231	0.384615384615385	0.230769230769231	0.307692307692308
16	LC_E4YRI_vs_E4CEU	15	0.4	0.4	0.4	0.333333333333333
17	LC_E4vE2	26	0.269230769230769	0.0384615384615385	0.269230769230769	0.0384615384615385
18	LC_Sex	57	0.491228070175439	0.456140350877193	0.491228070175439	0.456140350877193
19	Oligo_Astro_E2YRI_vs_E2CEU	25	0.16	0.12	0.16	0.12
20	Oligo_Astro_E4CEU_vs_E2CEU	49	0.285714285714286	0.26530612244898	0.285714285714286	0.204081632653061
21	Oligo_Astro_E4YRI_vs_E2YRI	29	0.275862068965517	0.310344827586207	0.275862068965517	0.310344827586207
22	Oligo_Astro_E4YRI_vs_E4CEU	38	0.236842105263158	0.184210526315789	0.236842105263158	0.184210526315789
23	Oligo_Astro_E4vE2	26	0.307692307692308	0.230769230769231	0.307692307692308	0.230769230769231
24	Oligo_Astro_Sex	50	0.48	0.44	0.48	0.44
