contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23				
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	1	1	0.0384615384615385	0
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	6	6	0.12	0
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10				
ACHE_SERT_Npep_Sex	57	26	20	0.350877192982456	0.230769230769231
Astro_E2YRI_vs_E2CEU	20	1	1	0.05	0
Astro_E4CEU_vs_E2CEU	53	12	12	0.226415094339623	0
Astro_E4YRI_vs_E2YRI	39	4	3	0.0769230769230769	0.25
Astro_E4YRI_vs_E4CEU	34	5	4	0.117647058823529	0.2
Astro_E4vE2	17	5	1	0.0588235294117647	0.8
Astro_Sex	69	40	39	0.565217391304348	0.025
LC_E2YRI_vs_E2CEU	7				
LC_E4CEU_vs_E2CEU	21				
LC_E4YRI_vs_E2YRI	13	4	3	0.230769230769231	0.25
LC_E4YRI_vs_E4CEU	15				
LC_E4vE2	26	1	1	0.0384615384615385	0
LC_Sex	57	23	21	0.368421052631579	0.0869565217391304
Oligo_Astro_E2YRI_vs_E2CEU	25	13	10	0.4	0.230769230769231
Oligo_Astro_E4CEU_vs_E2CEU	49	10	9	0.183673469387755	0.1
Oligo_Astro_E4YRI_vs_E2YRI	29	3			
Oligo_Astro_E4YRI_vs_E4CEU	38	7	4	0.105263157894737	0.428571428571429
Oligo_Astro_E4vE2	26	3	3	0.115384615384615	0
Oligo_Astro_Sex	50	26	21	0.42	0.192307692307692
