contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23				
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26				
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	1	1	0.02	0
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10				
ACHE_SERT_Npep_Sex	57	23	19	0.333333333333333	0.173913043478261
Astro_E2YRI_vs_E2CEU	20				
Astro_E4CEU_vs_E2CEU	53	6	6	0.113207547169811	0
Astro_E4YRI_vs_E2YRI	39	4	2	0.0512820512820513	0.5
Astro_E4YRI_vs_E4CEU	34	3	2	0.0588235294117647	0.333333333333333
Astro_E4vE2	17				
Astro_Sex	69	44	42	0.608695652173913	0.0454545454545455
LC_E2YRI_vs_E2CEU	7				
LC_E4CEU_vs_E2CEU	21				
LC_E4YRI_vs_E2YRI	13	4	3	0.230769230769231	0.25
LC_E4YRI_vs_E4CEU	15				
LC_E4vE2	26	1	1	0.0384615384615385	0
LC_Sex	57	20	19	0.333333333333333	0.05
Oligo_Astro_E2YRI_vs_E2CEU	25	7	6	0.24	0.142857142857143
Oligo_Astro_E4CEU_vs_E2CEU	49	8	6	0.122448979591837	0.25
Oligo_Astro_E4YRI_vs_E2YRI	29				
Oligo_Astro_E4YRI_vs_E4CEU	38	9	5	0.131578947368421	0.444444444444444
Oligo_Astro_E4vE2	26	2	1	0.0384615384615385	0.5
Oligo_Astro_Sex	50	31	24	0.48	0.225806451612903
