contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	1	1	0.0434782608695652	0
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	2	1	0.0384615384615385	0.5
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	2	2	0.04	0
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	1	1	0.125	0
ACHE_SERT_Npep_E4vE2	10	2	2	0.2	0
ACHE_SERT_Npep_Sex	57	26	19	0.333333333333333	0.269230769230769
Astro_E2YRI_vs_E2CEU	20	1	1	0.05	0
Astro_E4CEU_vs_E2CEU	53	4	4	0.0754716981132076	0
Astro_E4YRI_vs_E2YRI	39	3	2	0.0512820512820513	0.333333333333333
Astro_E4YRI_vs_E4CEU	34	3	2	0.0588235294117647	0.333333333333333
Astro_E4vE2	17	4	1	0.0588235294117647	0.75
Astro_Sex	69	37	36	0.521739130434783	0.027027027027027
LC_E2YRI_vs_E2CEU	7	1	1	0.142857142857143	0
LC_E4CEU_vs_E2CEU	21				
LC_E4YRI_vs_E2YRI	13	2	2	0.153846153846154	0
LC_E4YRI_vs_E4CEU	15				
LC_E4vE2	26	1	1	0.0384615384615385	0
LC_Sex	57	22	21	0.368421052631579	0.0454545454545455
Oligo_Astro_E2YRI_vs_E2CEU	25	10	9	0.36	0.1
Oligo_Astro_E4CEU_vs_E2CEU	49	10	9	0.183673469387755	0.1
Oligo_Astro_E4YRI_vs_E2YRI	29	3	1	0.0344827586206897	0.666666666666667
Oligo_Astro_E4YRI_vs_E4CEU	38	5	2	0.0526315789473684	0.6
Oligo_Astro_E4vE2	26	1	1	0.0384615384615385	0
Oligo_Astro_Sex	50	28	21	0.42	0.25
