contrast	VisFDR05_tested	XenP05sig	XenP05sig_concord	reprate	discordrate
ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	3	2	0.0869565217391304	0.333333333333333
ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	4	3	0.115384615384615	0.25
ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	15	13	0.26	0.133333333333333
ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	2	2	0.25	0
ACHE_SERT_Npep_E4vE2	10				
ACHE_SERT_Npep_Sex	57	27	25	0.43859649122807	0.0740740740740741
Astro_E2YRI_vs_E2CEU	20	3	2	0.1	0.333333333333333
Astro_E4CEU_vs_E2CEU	53	16	16	0.30188679245283	0
Astro_E4YRI_vs_E2YRI	39	19	18	0.461538461538462	0.0526315789473684
Astro_E4YRI_vs_E4CEU	34	19	19	0.558823529411765	0
Astro_E4vE2	17	4	4	0.235294117647059	0
Astro_Sex	69	43	42	0.608695652173913	0.0232558139534884
LC_E2YRI_vs_E2CEU	7	3	3	0.428571428571429	0
LC_E4CEU_vs_E2CEU	21	6	6	0.285714285714286	0
LC_E4YRI_vs_E2YRI	13	4	4	0.307692307692308	0
LC_E4YRI_vs_E4CEU	15	6	6	0.4	0
LC_E4vE2	26	10	10	0.384615384615385	0
LC_Sex	57	28	26	0.456140350877193	0.0714285714285714
Oligo_Astro_E2YRI_vs_E2CEU	25	5	3	0.12	0.4
Oligo_Astro_E4CEU_vs_E2CEU	49	10	10	0.204081632653061	0
Oligo_Astro_E4YRI_vs_E2YRI	29	9	7	0.241379310344828	0.222222222222222
Oligo_Astro_E4YRI_vs_E4CEU	38	8	7	0.184210526315789	0.125
Oligo_Astro_E4vE2	26	9	8	0.307692307692308	0.111111111111111
Oligo_Astro_Sex	50	24	23	0.46	0.0416666666666667
