gene_name	variable	coef	var_group	Chisq	Df	pval	logLik	NMvar	fdr_gene	bonf_gene	randomIntercept_Coef	randomIntercept_SD
ABCC9	Age	-0.000821211395053363		0.233061232292789	1	0.629263202664723		NM_mean_intensity				
ABCC9	E4carrier	0.0120250917982096	Yes	0.156553272749625	1	0.692349865975537		NM_mean_intensity				
ABCC9	Sex	-0.0425711918010352	M	1.480723462036	1	0.223661364258676		NM_mean_intensity				
ABCC9	YRI	0.00409800809459765		0.00966892906230636	1	0.921669691131633		NM_mean_intensity				
ABCC9	ABCC9	-0.00741824077434651		33.99250359268	1	5.53248157323454e-09		NM_mean_intensity	1.15707900331648e-08	2.02488825580384e-06		
ABCC9	LRTvs_no_gene_coef			33.9742795697603	1	5.58454381128329e-09	22465.8570732469	NM_mean_intensity				
ACHE	Age	-0.00100101433190027		0.408620647108475	1	0.522670441900442		NM_mean_intensity				
ACHE	E4carrier	0.0155524465039694	Yes	0.30899779257684	1	0.578295831924034		NM_mean_intensity				
ACHE	Sex	-0.0365229612550478	M	1.28599101804094	1	0.256788071508641		NM_mean_intensity				
ACHE	YRI	0.00288936490414557		0.00567239354695755	1	0.939963852997673		NM_mean_intensity				
ACHE	ACHE	0.0117722297127582		1105.75005860437	1	1.85842608188911e-242		NM_mean_intensity	2.42922837846934e-241	6.80183945971415e-240		
ACHE	LRTvs_no_gene_coef			1065.52200174677	1	1.02941231972586e-233	22981.6309343354	NM_mean_intensity				
ADAMTS12	Age	-0.00082172283581476		0.232733917895576	1	0.629504037694896		NM_mean_intensity				
ADAMTS12	E4carrier	0.0119637646399204	Yes	0.154550367339706	1	0.694224246702438		NM_mean_intensity				
ADAMTS12	Sex	-0.0426098888455283	M	1.47949010873981	1	0.223854316559092		NM_mean_intensity				
ADAMTS12	YRI	0.00405266078783226		0.0094310867685887	1	0.922636035675578		NM_mean_intensity				
ADAMTS12	ADAMTS12	-0.00588449891764195		8.13809689631184	1	0.00433447526131383		NM_mean_intensity	0.00583241891779728	1		
ADAMTS12	LRTvs_no_gene_coef			8.14326345752488	1	0.00432214264515781	22452.9415651908	NM_mean_intensity				
ADAMTS16	Age	-0.000822223604354202		0.232726274964998	1	0.629509663789202		NM_mean_intensity				
ADAMTS16	E4carrier	0.0119716531180131	Yes	0.154560712587555	1	0.694214529363114		NM_mean_intensity				
ADAMTS16	Sex	-0.0426447047073154	M	1.48005604788388	1	0.223765753297412		NM_mean_intensity				
ADAMTS16	YRI	0.00404864920317995		0.00940064415735339	1	0.922760606792584		NM_mean_intensity				
ADAMTS16	ADAMTS16	-0.00272163542994887		0.790891558301076	1	0.37383067395158		NM_mean_intensity	0.404798895462361	1		
ADAMTS16	LRTvs_no_gene_coef			0.791599057469284	1	0.373617043229257	22449.2657329908	NM_mean_intensity				
ADAMTS3	Age	-0.000821636169551526		0.232440436502091	1	0.629720156280144		NM_mean_intensity				
ADAMTS3	E4carrier	0.0119735170251937	Yes	0.154639851089114	1	0.6941402066205		NM_mean_intensity				
ADAMTS3	Sex	-0.0426492004594692	M	1.48066496202848	1	0.22367051180538		NM_mean_intensity				
ADAMTS3	YRI	0.00405029835232596		0.00941019411872749	1	0.922721506477498		NM_mean_intensity				
ADAMTS3	ADAMTS3	-0.00261121784657196		1.40591416857687	1	0.235735850434769		NM_mean_intensity	0.261452488664016	1		
ADAMTS3	LRTvs_no_gene_coef			1.4076244274911	1	0.235451152400721	22449.5737456758	NM_mean_intensity				
ADCYAP1	Age	-0.000823662039225455		0.234810403743856	1	0.627979700933506		NM_mean_intensity				
ADCYAP1	E4carrier	0.0119601622139407	Yes	0.155102424210538	1	0.693706220830546		NM_mean_intensity				
ADCYAP1	Sex	-0.0424756299196005	M	1.47632088707772	1	0.224351042015242		NM_mean_intensity				
ADCYAP1	YRI	0.00428054262194568		0.0105654967975955	1	0.91813075126012		NM_mean_intensity				
ADCYAP1	ADCYAP1	-0.00449992338554719		33.2384464130713	1	8.15226776992179e-09		NM_mean_intensity	1.66688827027451e-08	2.98373000379138e-06		
ADCYAP1	LRTvs_no_gene_coef			33.2295269086098	1	8.18974706773091e-09	22465.4846969163	NM_mean_intensity				
ADRA1A	Age	-0.000815547874902299		0.230619409851307	1	0.631064925326029		NM_mean_intensity				
ADRA1A	E4carrier	0.0119257817865104	Yes	0.154488421037313	1	0.694282441009055		NM_mean_intensity				
ADRA1A	Sex	-0.0425198606361298	M	1.48204962559743	1	0.223454114521874		NM_mean_intensity				
ADRA1A	YRI	0.00404787390047142		0.00946508892867265	1	0.922497138580517		NM_mean_intensity				
ADRA1A	ADRA1A	-0.0047468593800176		48.8569710347541	1	2.7532512257671e-12		NM_mean_intensity	6.50122547503716e-12	1.00768994863076e-09		
ADRA1A	LRTvs_no_gene_coef			48.8129301728404	1	2.81577351318446e-12	22473.2763985484	NM_mean_intensity				
ADRA1B	Age	-0.000828579100684533		0.236525955430936	1	0.626726589911232		NM_mean_intensity				
ADRA1B	E4carrier	0.0121658429188061	Yes	0.159741887647379	1	0.689394265720144		NM_mean_intensity				
ADRA1B	Sex	-0.0426401700128428	M	1.48092103596114	1	0.223630473273203		NM_mean_intensity				
ADRA1B	YRI	0.00397998184993588		0.00909171179506208	1	0.924036457359632		NM_mean_intensity				
ADRA1B	ADRA1B	0.00363512320219116		7.45413646467673	1	0.00632908344653702		NM_mean_intensity	0.00842343469611837	1		
ADRA1B	LRTvs_no_gene_coef			7.45733317375562	1	0.00631785354962104	22452.5986000489	NM_mean_intensity				
ADRA2A	Age	-0.000741612513301415		0.272759543223223	1	0.601486625793388		NM_mean_intensity				
ADRA2A	E4carrier	0.014852162702214	Yes	0.343057767387901	1	0.558069515920163		NM_mean_intensity				
ADRA2A	Sex	-0.0366195301159721	M	1.57325595472983	1	0.209734799516919		NM_mean_intensity				
ADRA2A	YRI	0.00116056697181643		0.00111297740207948	1	0.973386457876847		NM_mean_intensity				
ADRA2A	ADRA2A	0.0202425685824909		2621.44250862044	1	0		NM_mean_intensity	0	0		
ADRA2A	LRTvs_no_gene_coef			2406.66161275766	1	0	23652.2007398409	NM_mean_intensity				
AIF1	Age	-0.000823479165227671		0.235845432736525	1	0.62722299810919		NM_mean_intensity				
AIF1	E4carrier	0.011742215582392	Yes	0.150226730326809	1	0.698318780806145		NM_mean_intensity				
AIF1	Sex	-0.0418180964887388	M	1.43790447294552	1	0.23047874347488		NM_mean_intensity				
AIF1	YRI	0.00379004211097726		0.00832307764635169	1	0.927309120360565		NM_mean_intensity				
AIF1	AIF1	-0.0074297241522598		86.8098465059202	1	1.19473224101397e-20		NM_mean_intensity	3.73736752317192e-20	4.37272000211114e-18		
AIF1	LRTvs_no_gene_coef			86.60286000622	1	1.32655172053796e-20	22492.1713634651	NM_mean_intensity				
ALDOC	Age	-0.000832978139244378		0.240889884263168	1	0.623564131019666		NM_mean_intensity				
ALDOC	E4carrier	0.0122144389101832	Yes	0.162264117065248	1	0.687080496579311		NM_mean_intensity				
ALDOC	Sex	-0.0425082449470604	M	1.48313377456697	1	0.223284857159972		NM_mean_intensity				
ALDOC	YRI	0.00392120813379108		0.00889339121506198	1	0.924867054278902		NM_mean_intensity				
ALDOC	ALDOC	0.00110488031954787		14.4257319944124	1	0.000145796463771288		NM_mean_intensity	0.000218694695656932	0.0533615057402914		
ALDOC	LRTvs_no_gene_coef			14.4617798003601	1	0.00014303249031997	22456.1008233622	NM_mean_intensity				
ALK	Age	-0.00080894484781437		0.291345999497422	1	0.589359270561194		NM_mean_intensity				
ALK	E4carrier	0.0121371435002374	Yes	0.205456968702118	1	0.650351730687098		NM_mean_intensity				
ALK	Sex	-0.041207958382246	M	1.78733050267105	1	0.1812517531832		NM_mean_intensity				
ALK	YRI	0.00252951705430876		0.00474661394867261	1	0.945072661682147		NM_mean_intensity				
ALK	ALK	0.0275252677141642		1838.97492323234	1	0		NM_mean_intensity	0	0		
ALK	LRTvs_no_gene_coef			1730.19887616069	1	0	23313.9693715424	NM_mean_intensity				
ANGPT1	Age	-0.000822163811507835		0.232645204198813	1	0.629569348403952		NM_mean_intensity				
ANGPT1	E4carrier	0.0119526976255628	Yes	0.154040330860153	1	0.694703792669471		NM_mean_intensity				
ANGPT1	Sex	-0.0426656791873805	M	1.48120880590486	1	0.223585489146895		NM_mean_intensity				
ANGPT1	YRI	0.00406809172415776		0.00948922437156533	1	0.922398699293608		NM_mean_intensity				
ANGPT1	ANGPT1	0.000408177561875562		0.142968391087782	1	0.705347682487529		NM_mean_intensity	0.717103477195655	1		
ANGPT1	LRTvs_no_gene_coef			0.142637908807956	1	0.705672530429922	22448.9412524164	NM_mean_intensity				
ANK1	Age	-0.000820071095045052		0.231502665483123	1	0.630411856299126		NM_mean_intensity				
ANK1	E4carrier	0.0118881545843491	Yes	0.152407663204344	1	0.696245045912994		NM_mean_intensity				
ANK1	Sex	-0.0426396068432579	M	1.4796601273504	1	0.223827706100147		NM_mean_intensity				
ANK1	YRI	0.00405492326343312		0.00942953467070906	1	0.922642381943525		NM_mean_intensity				
ANK1	ANK1	-0.00132092301028829		3.73965285844149	1	0.053135483386952		NM_mean_intensity	0.0648252897320814	1		
ANK1	LRTvs_no_gene_coef			3.73995554503927	1	0.0531258586102678	22450.7399112345	NM_mean_intensity				
ANKRD18A	Age	-0.000822119496488998		0.23271226109908	1	0.629519979935815		NM_mean_intensity				
ANKRD18A	E4carrier	0.0119390014770522	Yes	0.153748414795881	1	0.694978670051963		NM_mean_intensity				
ANKRD18A	Sex	-0.0425982469827925	M	1.47711654660013	1	0.224226210840787		NM_mean_intensity				
ANKRD18A	YRI	0.00408598629144315		0.00957668362157234	1	0.922043040819429		NM_mean_intensity				
ANKRD18A	ANKRD18A	-0.00159148237590672		1.84416094180838	1	0.174464041446257		NM_mean_intensity	0.195870672298558	1		
ANKRD18A	LRTvs_no_gene_coef			1.84582069489261	1	0.174270255705805	22449.7928438095	NM_mean_intensity				
ANO3	Age	-0.000821606464155082		0.232459481070839	1	0.629706126831464		NM_mean_intensity				
ANO3	E4carrier	0.0119473363253568	Yes	0.153988078614656	1	0.694752972935964		NM_mean_intensity				
ANO3	Sex	-0.0426313132321969	M	1.47965119695463	1	0.223829103746504		NM_mean_intensity				
ANO3	YRI	0.00409252922199068		0.00960893331522235	1	0.921912309430549		NM_mean_intensity				
ANO3	ANO3	-0.00162983213663825		1.43504600254194	1	0.230942690293871		NM_mean_intensity	0.256914968533607	1		
ANO3	LRTvs_no_gene_coef			1.4375221646842	1	0.230540729262327	22449.5886945444	NM_mean_intensity				
ANXA1	Age	-0.000817702532519784		0.232832192013343	1	0.629431706549472		NM_mean_intensity				
ANXA1	E4carrier	0.0120921398539204	Yes	0.159508416190083	1	0.68960950972758		NM_mean_intensity				
ANXA1	Sex	-0.042383683799639	M	1.47887475843991	1	0.223950659796148		NM_mean_intensity				
ANXA1	YRI	0.00420342463934445		0.0102502314962924	1	0.919357224097006		NM_mean_intensity				
ANXA1	ANXA1	-0.0054889075325609		74.1068175070619	1	7.40023156769071e-18		NM_mean_intensity	2.083449810596e-17	2.7084847537748e-15		
ANXA1	LRTvs_no_gene_coef			73.9764926604985	1	7.90528469342206e-18	22485.8581797923	NM_mean_intensity				
APLP1	Age	-0.000839625781311279		0.245610328483422	1	0.620183082775864		NM_mean_intensity				
APLP1	E4carrier	0.0129098319611578	Yes	0.181902253611204	1	0.669743544928265		NM_mean_intensity				
APLP1	Sex	-0.0426618189099134	M	1.49911983275498	1	0.220806839699733		NM_mean_intensity				
APLP1	YRI	0.00380586512264687		0.0084072879475358	1	0.926943338238316		NM_mean_intensity				
APLP1	APLP1	0.0032758233597066		113.751478482883	1	1.4770812594728e-26		NM_mean_intensity	5.19818981699081e-26	5.40611740967044e-24		
APLP1	LRTvs_no_gene_coef			113.365757961255	1	1.79426943628349e-26	22505.5528124427	NM_mean_intensity				
APOC1	Age	-0.000815051365210983		0.229494148178684	1	0.631899163887074		NM_mean_intensity				
APOC1	E4carrier	0.0119072995376318	Yes	0.153445353311858	1	0.695264361031238		NM_mean_intensity				
APOC1	Sex	-0.0426616546600609	M	1.48648187302665	1	0.222763120409425		NM_mean_intensity				
APOC1	YRI	0.00400106135947723		0.0092135089130608	1	0.923530877756201		NM_mean_intensity				
APOC1	APOC1	-0.00402102714601752		26.1722585995985	1	3.12276638654265e-07		NM_mean_intensity	5.60261028173829e-07	0.000114293249747461		
APOC1	LRTvs_no_gene_coef			26.1682434579998	1	3.12926632523358e-07	22461.954055191	NM_mean_intensity				
APOE	Age	-0.000793830880774274		0.247935544197191	1	0.618532490091007		NM_mean_intensity				
APOE	E4carrier	0.012767291310547	Yes	0.200910330001999	1	0.653987055101827		NM_mean_intensity				
APOE	Sex	-0.0413622534692492	M	1.59136294163905	1	0.207131515529916		NM_mean_intensity				
APOE	YRI	0.00396991141247602		0.0103309736643636	1	0.919041319216973		NM_mean_intensity				
APOE	APOE	-0.00874963438007335		1190.72347923676	1	6.329251908875e-261		NM_mean_intensity	9.06039260287336e-260	2.31650619864825e-258		
APOE	LRTvs_no_gene_coef			1144.04113811607	1	8.85041785102488e-251	23020.8905025201	NM_mean_intensity				
APOLD1	Age	-0.00082417327513021		0.234793201911898	1	0.62799229446375		NM_mean_intensity				
APOLD1	E4carrier	0.0119366831272656	Yes	0.154291155933048	1	0.694467847849937		NM_mean_intensity				
APOLD1	Sex	-0.0425490952953843	M	1.47948710490254	1	0.223854786738696		NM_mean_intensity				
APOLD1	YRI	0.00415920453893888		0.00996189933732879	1	0.920495712774642		NM_mean_intensity				
