DE_model	contrast	gene_name	gene_id	domain8426_logFC	domain8426_tstat	domain8426_P.Value	domain8426_adj.P.Val	domain12199_logFC	domain12199_tstat	domain12199_P.Value	domain12199_adj.P.Val	domain16119_logFC	domain16119_tstat	domain16119_P.Value	domain16119_adj.P.Val	domain20079_logFC	domain20079_tstat	domain20079_P.Value	domain20079_adj.P.Val	domain8492_logFC	domain8492_tstat	domain8492_P.Value	domain8492_adj.P.Val	domain12412_logFC	domain12412_tstat	domain12412_P.Value	domain12412_adj.P.Val
E2E4label	LCdom_E4vE2	ABCC9	ENSG00000069431	0.04823	0.33089	0.74104	0.89267	0.02314	0.15901	0.87381	0.93806	0.04823	0.33089	0.74104	0.89267	-0.04349	-0.28481	0.77606	0.89775	-0.00167	-0.00936	0.99254	0.99796	-0.02696	-0.15346	0.8781	0.96299
E2E4label	LCdom_E4vE2	ACHE	ENSG00000087085	-0.08224	-0.70385	0.48226	0.77971	-0.04707	-0.40262	0.68762	0.84717	-0.08224	-0.70385	0.48226	0.77971	-0.1818	-1.51485	0.13125	0.38324	0.10313	0.96743	0.33378	0.60537	-0.02188	-0.20022	0.84138	0.93712
E2E4label	LCdom_E4vE2	ADAMTS12	ENSG00000151388	0.38454	2.08673	0.03805	0.2277	0.39288	2.17442	0.03073	0.15158	0.38454	2.08673	0.03805	0.2277	0.35306	1.84636	0.06619	0.24905	0.45646	1.86224	0.06313	0.23147	0.36832	1.55943	0.1195	0.34982
E2E4label	LCdom_E4vE2	ADAMTS16	ENSG00000145536	0.09157	0.41353	0.67962	0.87158	0.00592	0.0269	0.97857	0.98125	0.09157	0.41353	0.67962	0.87158	0.33108	1.43692	0.15216	0.39447	0.07829	0.24145	0.8093	0.89001	0.07346	0.2341	0.815	0.92942
E2E4label	LCdom_E4vE2	ADAMTS3	ENSG00000156140	-0.06846	-0.30735	0.75887	0.8971	0.07732	0.35508	0.72287	0.85967	-0.06846	-0.30735	0.75887	0.8971	-0.01866	-0.08298	0.93395	0.96025	0.10108	0.34861	0.72752	0.85744	0.0358	0.12708	0.89892	0.97116
E2E4label	LCdom_E4vE2	ADCYAP1	ENSG00000141433	-0.30503	-1.31866	0.18865	0.50261	-0.25972	-1.13555	0.25738	0.5399	-0.30503	-1.31866	0.18865	0.50261	-0.64865	-2.62418	0.0093	0.0867	-0.34669	-1.59229	0.11192	0.33301	-0.42318	-1.95042	0.05166	0.20802
E2E4label	LCdom_E4vE2	ADRA1A	ENSG00000120907	-0.16984	-1.69761	0.09098	0.34324	-0.2091	-2.07465	0.03917	0.17021	-0.16984	-1.69761	0.09098	0.34324	-0.15009	-1.4316	0.15368	0.39447	-0.01855	-0.15353	0.87804	0.92924	-0.13028	-1.09274	0.27501	0.56401
E2E4label	LCdom_E4vE2	ADRA1B	ENSG00000170214	-0.15731	-0.90652	0.36564	0.71119	-0.17539	-0.99106	0.32273	0.60101	-0.15731	-0.90652	0.36564	0.71119	-0.19032	-1.07916	0.2817	0.54514	0.00987	0.0449	0.9642	0.98502	-0.05585	-0.26108	0.79413	0.9189
E2E4label	LCdom_E4vE2	ADRA2A	ENSG00000150594	0.16163	0.84075	0.40139	0.72529	0.23589	1.20919	0.22788	0.50409	0.16163	0.84075	0.40139	0.72529	0.06698	0.32764	0.7435	0.88825	0.29509	2.03984	0.04187	0.18414	0.17858	1.20049	0.23049	0.51071
E2E4label	LCdom_E4vE2	AIF1	ENSG00000204472	-0.21306	-1.46397	0.14462	0.43624	-0.27161	-1.85447	0.065	0.22382	-0.21306	-1.46397	0.14462	0.43624	-0.26269	-1.69819	0.09089	0.30957	-0.29048	-1.78677	0.07455	0.25531	-0.32575	-2.16935	0.0305	0.14964
E2E4label	LCdom_E4vE2	ALDOC	ENSG00000109107	-0.07619	-0.81749	0.41453	0.73451	-0.0701	-0.74448	0.45737	0.73494	-0.07619	-0.81749	0.41453	0.73451	-0.15583	-1.62102	0.10645	0.33785	-0.01949	-0.23854	0.81155	0.89001	-0.08019	-0.93145	0.35205	0.64542
E2E4label	LCdom_E4vE2	ALK	ENSG00000171094	0.09568	0.74028	0.45991	0.764	0.16011	1.21412	0.22599	0.50297	0.09568	0.74028	0.45991	0.764	0.03208	0.23857	0.81166	0.90663	0.25657	1.96004	0.05052	0.20092	0.13484	1.03024	0.30337	0.59561
