gene_name	variable	coef	var_group	Chisq	Df	pval	logLik	NMvar	fdr_gene	bonf_gene	randomIntercept_Coef	randomIntercept_SD
ABCC9	Age	-0.000820181598328484		0.232927025566475	1	0.629361925548466		NM_mean_intensity				
ABCC9	E4carrier	0.0121019076517049	Yes	0.158866930895368	1	0.690201855283652		NM_mean_intensity				
ABCC9	Sex	-0.042666092538278	M	1.49020970982796	1	0.222183925033944		NM_mean_intensity				
ABCC9	YRI	0.00401023923898444		0.00927722726128267	1	0.923267726459698		NM_mean_intensity				
ABCC9	ABCC9	-0.00750730543073249		34.6319702516797	1	3.98310648185821e-09		NM_mean_intensity	8.47568007186107e-09	1.4578169723601e-06		
ABCC9	LRTvs_no_gene_coef			34.6126872819004	1	4.02275842410041e-09	22502.8389581517	NM_mean_intensity				
ACHE	Age	-0.000998287606637688		0.40693637399074	1	0.523528590986052		NM_mean_intensity				
ACHE	E4carrier	0.0156070595716375	Yes	0.311584852372565	1	0.576709281126289		NM_mean_intensity				
ACHE	Sex	-0.0366257793602798	M	1.2949544378765	1	0.255136914477501		NM_mean_intensity				
ACHE	YRI	0.00285657763034777		0.00555181327074597	1	0.940604193753111		NM_mean_intensity				
ACHE	ACHE	0.0117479106015729		1096.27055825681	1	2.13529983862481e-240		NM_mean_intensity	2.79114193191672e-239	7.81519740936682e-238		
ACHE	LRTvs_no_gene_coef			1056.87508538095	1	7.79847088006015e-232	23013.9701572013	NM_mean_intensity				
ADAMTS12	Age	-0.000820870438644075		0.232601650003912	1	0.629601418465721		NM_mean_intensity				
ADAMTS12	E4carrier	0.0120390284760106	Yes	0.156737369706835	1	0.692178279567059		NM_mean_intensity				
ADAMTS12	Sex	-0.0427198766656816	M	1.48937968922795	1	0.222312729501731		NM_mean_intensity				
ADAMTS12	YRI	0.00397220869420513		0.00907413064375479	1	0.924109718272113		NM_mean_intensity				
ADAMTS12	ADAMTS12	-0.00421580580694452		4.2445301570996	1	0.0393769639540742		NM_mean_intensity	0.049020302065276	1		
ADAMTS12	LRTvs_no_gene_coef			4.24921966208058	1	0.0392683700801219	22487.6572243418	NM_mean_intensity				
ADAMTS16	Age	-0.000821217318177736		0.232659246960205	1	0.62955900915035		NM_mean_intensity				
ADAMTS16	E4carrier	0.0120471532765637	Yes	0.156855253655266	1	0.692068467784769		NM_mean_intensity				
ADAMTS16	Sex	-0.0427423734521291	M	1.49005863318105	1	0.222207362798783		NM_mean_intensity				
ADAMTS16	YRI	0.0039615578675808		0.00902013756707675	1	0.924335157014718		NM_mean_intensity				
ADAMTS16	ADAMTS16	-0.00282249529085184		0.844178102578596	1	0.358204558953748		NM_mean_intensity	0.389842077425111	1		
ADAMTS16	LRTvs_no_gene_coef			0.844904455610958	1	0.35799785080934	22485.9550667386	NM_mean_intensity				
ADAMTS3	Age	-0.000820619795146734		0.232306061368223	1	0.629819165743392		NM_mean_intensity				
ADAMTS3	E4carrier	0.0120488978193821	Yes	0.156890745699464	1	0.692035415427333		NM_mean_intensity				
ADAMTS3	Sex	-0.042746986240971	M	1.49028582786207	1	0.222172117337008		NM_mean_intensity				
ADAMTS3	YRI	0.00396346823252759		0.00902826774952726	1	0.924301167390115		NM_mean_intensity				
ADAMTS3	ADAMTS3	-0.00269172081025393		1.48271442548635	1	0.223350307728823		NM_mean_intensity	0.24922625801448	1		
ADAMTS3	LRTvs_no_gene_coef			1.484465342779	1	0.223077182783412	22486.2748471822	NM_mean_intensity				
ADCYAP1	Age	-0.000822614577161991		0.234660470627541	1	0.628089486730329		NM_mean_intensity				
ADCYAP1	E4carrier	0.0120356218318213	Yes	0.157365732890631	1	0.691593494043863		NM_mean_intensity				
ADCYAP1	Sex	-0.0425720924105344	M	1.48586232723422	1	0.22285955453814		NM_mean_intensity				
ADCYAP1	YRI	0.00419416660766635		0.0101628774016967	1	0.919700417104008		NM_mean_intensity				
ADCYAP1	ADCYAP1	-0.0045206641633161		33.4167755926273	1	7.43796146082985e-09		NM_mean_intensity	1.5467578946953e-08	2.72229389466372e-06		
ADCYAP1	LRTvs_no_gene_coef			33.4076866019459	1	7.47280318080434e-09	22502.2364578118	NM_mean_intensity				
ADRA1A	Age	-0.000814643400842976		0.230532946212518	1	0.631128938207626		NM_mean_intensity				
ADRA1A	E4carrier	0.012000444081701	Yes	0.156717892638665	1	0.692196427530382		NM_mean_intensity				
ADRA1A	Sex	-0.0426179669612375	M	1.49164365589415	1	0.221961612393065		NM_mean_intensity				
ADRA1A	YRI	0.00395984969952637		0.00907474220082125	1	0.92410716870332		NM_mean_intensity				
ADRA1A	ADRA1A	-0.00471570050662304		47.979454886802	1	4.30708779389768e-12		NM_mean_intensity	1.02363255361464e-11	1.57639413256655e-09		
ADRA1A	LRTvs_no_gene_coef			47.9384289613299	1	4.39816080171115e-12	22509.5018289915	NM_mean_intensity				
ADRA1B	Age	-0.000827687265254682		0.236461024516455	1	0.62677391572414		NM_mean_intensity				
ADRA1B	E4carrier	0.0122431851629326	Yes	0.162083997317355	1	0.687245034147755		NM_mean_intensity				
ADRA1B	Sex	-0.0427375927568761	M	1.49049294560019	1	0.222139992306907		NM_mean_intensity				
ADRA1B	YRI	0.00389405220906233		0.00871983641930994	1	0.925601627646724		NM_mean_intensity				
ADRA1B	ADRA1B	0.0036584796164758		7.51605623561582	1	0.00611514167055753		NM_mean_intensity	0.00822846268905903	1		
ADRA1B	LRTvs_no_gene_coef			7.51920799779327	1	0.00610445136897151	22489.2922185097	NM_mean_intensity				
ADRA2A	Age	-0.000735503847294894		0.268315151981518	1	0.604464228216364		NM_mean_intensity				
ADRA2A	E4carrier	0.0149154042720878	Yes	0.345857294753215	1	0.556467635562884		NM_mean_intensity				
ADRA2A	Sex	-0.0367737584161001	M	1.58622202557336	1	0.207866732459373		NM_mean_intensity				
ADRA2A	YRI	0.00103692914228375		0.000888634677249577	1	0.976218602497476		NM_mean_intensity				
ADRA2A	ADRA2A	0.0201829219098704		2590.67910355158	1	0		NM_mean_intensity	0	0		
ADRA2A	LRTvs_no_gene_coef			2381.4252035986	1	0	23676.2452163101	NM_mean_intensity				
AIF1	Age	-0.000822460547087524		0.235740553648137	1	0.627299580994937		NM_mean_intensity				
AIF1	E4carrier	0.0118151733549513	Yes	0.152408777606354	1	0.696243990669381		NM_mean_intensity				
AIF1	Sex	-0.0419029343406498	M	1.44667789456711	1	0.229061761342145		NM_mean_intensity				
AIF1	YRI	0.00369810489301012		0.00794038203095496	1	0.928995426913787		NM_mean_intensity				
AIF1	AIF1	-0.007536088908289		88.8894134212589	1	4.17511772440697e-21		NM_mean_intensity	1.31732162683875e-20	1.52809308713295e-18		
AIF1	LRTvs_no_gene_coef			88.671566902005	1	4.66117004402068e-21	22529.8683979618	NM_mean_intensity				
ALDOC	Age	-0.000831335223752502		0.240308279009007	1	0.623983548059939		NM_mean_intensity				
ALDOC	E4carrier	0.0122755006216344	Yes	0.164141985081234	1	0.685371371251385		NM_mean_intensity				
ALDOC	Sex	-0.0426103370336139	M	1.49254853842703	1	0.221821460381139		NM_mean_intensity				
ALDOC	YRI	0.00384832737586714		0.00857909887269493	1	0.926202733225443		NM_mean_intensity				
ALDOC	ALDOC	0.00106234916916429		13.3264177769254	1	0.000261692970873014		NM_mean_intensity	0.000387771770605357	0.0957796273395232		
ALDOC	LRTvs_no_gene_coef			13.3617698105299	1	0.000256805846738481	22492.2134994161	NM_mean_intensity				
ALK	Age	-0.000806863668612816		0.290063741053705	1	0.590179686410414		NM_mean_intensity				
ALK	E4carrier	0.012199723692538	Yes	0.207735444355418	1	0.648548159070536		NM_mean_intensity				
ALK	Sex	-0.0412880595059449	M	1.79561371080147	1	0.180243681683982		NM_mean_intensity				
ALK	YRI	0.00250332945518775		0.00465235622025402	1	0.945619913098258		NM_mean_intensity				
ALK	ALK	0.0274252549433794		1813.39209484707	1	0		NM_mean_intensity	0	0		
ALK	LRTvs_no_gene_coef			1707.92093414975	1	0	23339.4930815857	NM_mean_intensity				
ANGPT1	Age	-0.000821168440998745		0.232521184172021	1	0.629660677240883		NM_mean_intensity				
ANGPT1	E4carrier	0.0120281407059364	Yes	0.156286318271337	1	0.692598886610761		NM_mean_intensity				
ANGPT1	Sex	-0.0427624839440535	M	1.49075067512888	1	0.222100024888468		NM_mean_intensity				
ANGPT1	YRI	0.00398213170446109		0.00910974564031725	1	0.923961384289692		NM_mean_intensity				
ANGPT1	ANGPT1	0.000387437135382122		0.128515088824229	1	0.719976641033415		NM_mean_intensity	0.736488565165216	1		
ANGPT1	LRTvs_no_gene_coef			0.128190701638232	1	0.720315406817129	22485.5967098616	NM_mean_intensity				
ANK1	Age	-0.000819012016707588		0.231343055391697	1	0.630529756475691		NM_mean_intensity				
ANK1	E4carrier	0.0119614425836911	Yes	0.15458549160306	1	0.694191255845442		NM_mean_intensity				
ANK1	Sex	-0.0427376629894648	M	1.48929124945515	1	0.222326459052579		NM_mean_intensity				
ANK1	YRI	0.00396834068252392		0.00904838226035105	1	0.924217141526591		NM_mean_intensity				
ANK1	ANK1	-0.00136760051349844		3.99060306334148	1	0.04575468524741		NM_mean_intensity	0.0560074073597059	1		
ANK1	LRTvs_no_gene_coef			3.99092879720411	1	0.0457458409968675	22487.5280789094	NM_mean_intensity				
ANKRD18A	Age	-0.000821135640657382		0.232583196943597	1	0.629615007039673		NM_mean_intensity				
ANKRD18A	E4carrier	0.0120175238843221	Yes	0.156064647962044	1	0.69280585218804		NM_mean_intensity				
ANKRD18A	Sex	-0.0427038387466294	M	1.48718119175649	1	0.222654329404706		NM_mean_intensity				
ANKRD18A	YRI	0.00399756884905991		0.0091836965022263	1	0.923654315769877		NM_mean_intensity				
ANKRD18A	ANKRD18A	-0.00134756422096992		1.31682039191268	1	0.251163489110301		NM_mean_intensity	0.278563142467788	1		
ANKRD18A	LRTvs_no_gene_coef			1.31825652430416	1	0.250905189892113	22486.1917427729	NM_mean_intensity				
ANO3	Age	-0.000820571071009796		0.232317298790996	1	0.629810884502408		NM_mean_intensity				
ANO3	E4carrier	0.0120215984154059	Yes	0.156206708629559	1	0.692673195722952		NM_mean_intensity				
ANO3	Sex	-0.0427283368031781	M	1.48923439260968	1	0.222335286148379		NM_mean_intensity				
ANO3	YRI	0.0040073406172761		0.00923078926948971	1	0.923459420855418		NM_mean_intensity				
ANO3	ANO3	-0.00170448451767359		1.55875333574486	1	0.211847849269171		NM_mean_intensity	0.237114106521457	1		
ANO3	LRTvs_no_gene_coef			1.56133461554418	1	0.211469913855053	22486.3132818186	NM_mean_intensity				
ANXA1	Age	-0.000816695278746576		0.232636604111979	1	0.629575680573475		NM_mean_intensity				
ANXA1	E4carrier	0.0121666455092684	Yes	0.161742952059142	1	0.687556866799543		NM_mean_intensity				
ANXA1	Sex	-0.042487458399235	M	1.48854063626401	1	0.222443026473705		NM_mean_intensity				
ANXA1	YRI	0.00411930280307824		0.00986019150817586	1	0.920901271733972		NM_mean_intensity				
ANXA1	ANXA1	-0.00536458458648434		70.8945634035463	1	3.76834944474598e-17		NM_mean_intensity	1.04486052786139e-16	1.37921589677703e-14		
ANXA1	LRTvs_no_gene_coef			70.7797134008069	1	3.9942320570975e-17	22520.9224712112	NM_mean_intensity				
APLP1	Age	-0.000838197669264259		0.245206155544227	1	0.620470983692194		NM_mean_intensity				
APLP1	E4carrier	0.0129705431400065	Yes	0.183940528835307	1	0.668008456243962		NM_mean_intensity				
APLP1	Sex	-0.0427576518584068	M	1.50851018128243	1	0.21936656029956		NM_mean_intensity				
